Date,District Name,ndvi,savi,ndre,Rainfall,Skin_Tmp,Max_Tmp,Min_Tmp,APAR,Potato_Yield,Tomato_Yield,Tomato_b_Yield,Radish_Yield,Carrot_Yield,Cabbage_Yield,Cauliflower_Yield
2018-12-16,0,0.5155000000000001,0.2945,0.3215,0.0,10.87,21.61,8.05,72.62,26.46907706945765,13.83109243697479,70.3,18.254332930270053,18.28296067848882,14.954171562867216,15.410276073619633
2018-12-23,0,0.403,0.244,0.256,0.0,8.52,19.05,6.08,62.54,26.46907706945765,13.83109243697479,70.3,18.254332930270053,18.28296067848882,14.954171562867216,15.410276073619633
2018-12-30,0,0.373,0.2385,0.2535,0.0,7.86,18.87,7.06,59.8,26.46907706945765,13.83109243697479,70.3,18.254332930270053,18.28296067848882,14.954171562867216,15.410276073619633
2019-01-06,0,0.501,0.297,0.312,2.03,9.43,13.53,8.51,25.16,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-01-27,0,0.418,0.285,0.292,0.31,8.12,16.52,4.58,49.37,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-02-10,0,0.664,0.4205,0.4515,0.0,10.12,17.08,5.92,59.05,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-03-03,0,0.6930000000000001,0.454,0.485,3.47,14.89,21.94,10.1,88.95,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-03-10,0,0.6819999999999999,0.4465,0.4895,0.0,16.48,24.87,10.51,116.81,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-03-17,0,0.6185,0.373,0.4489999999999999,0.15,19.3,27.55,13.4,104.95,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-03-24,0,0.601,0.384,0.405,0.0,20.53,28.55,15.47,104.33,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-03-31,0,0.59075,0.359,0.391,0.0,24.73,33.58,18.05,132.91,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-04-07,0,0.4095,0.241,0.253,0.0,28.26,35.98,22.05,122.46,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-04-21,0,0.2845,0.17775,0.15875,0.0,28.41,35.87,20.19,132.55,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-04-28,0,0.2265,0.148,0.1395,0.0,30.44,39.21,22.0,149.5,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-05-05,0,0.2239999999999999,0.15875,0.14025,0.0,29.58,38.4,20.39,150.92,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-05-12,0,0.19,0.142,0.109,0.06,32.62,38.57,23.84,125.21,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-05-26,0,0.244,0.1574999999999999,0.1435,0.0,33.51,39.78,22.73,158.75,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-06-02,0,0.254,0.1654999999999999,0.1495,0.78,38.27,44.7,28.21,138.41,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-06-09,0,0.2496666666666666,0.165,0.1516666666666666,0.0,38.86,44.99,29.23,153.77,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-06-16,0,0.2455,0.162,0.1435,0.74,37.17,40.57,28.9,94.91,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-06-23,0,0.2465,0.162,0.1345,1.14,35.58,40.72,26.73,132.29,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-06-30,0,0.2135,0.145,0.1,2.52,37.2,42.65,29.92,134.23,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-07-28,0,0.315,0.206,0.181,1.44,28.62,32.36,25.31,104.64,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-08-25,0,0.483,0.3295,0.3545,6.0,26.52,29.69,23.65,58.88,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-09-01,0,0.704,0.4685,0.5055,8.35,27.0,29.62,25.73,69.2,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-09-08,0,0.629,0.437,0.472,0.07,27.26,31.29,23.95,106.98,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-09-22,0,0.526,0.364,0.36,9.06,26.08,29.9,22.56,79.43,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-10-06,0,0.525,0.3625,0.349,0.0,22.05,28.15,17.36,96.81,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-10-13,0,0.5595,0.347,0.3419999999999999,0.0,22.11,29.11,18.39,100.31,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-10-20,0,0.4225,0.261,0.256,0.0,20.97,29.52,16.09,96.25,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-10-27,0,0.3635,0.22225,0.229,0.0,20.14,28.56,16.18,92.09,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-11-03,0,0.177,0.114,0.123,0.01,20.11,25.83,17.34,72.15,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-11-10,0,0.3005,0.1775,0.1825,0.0,18.53,26.62,14.63,82.9,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-11-17,0,0.29,0.18,0.173,0.01,18.81,26.94,14.48,80.55,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-12-01,0,0.379,0.216,0.238,0.0,13.84,22.02,11.32,70.24,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-12-08,0,0.454,0.2535,0.267,0.0,13.34,23.4,11.15,69.69,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2019-12-15,0,0.386,0.233,0.256,0.01,11.93,18.74,8.05,63.95,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2020-01-05,0,0.3665,0.22725,0.24225,0.09,10.22,17.94,6.33,55.22,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2020-01-12,0,0.47,0.2895,0.3259999999999999,0.06,11.35,19.62,7.86,57.57,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
2020-02-02,0,0.624,0.378,0.448,0.0,9.25,18.79,4.04,81.85,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511813,15.0,18.31468531468532
