system:index,.geo
0,"{""type"":""Point"",""coordinates"":[76.99824451652158,30.261822668433727]}"
1,"{""type"":""Point"",""coordinates"":[76.91394280600895,30.492357872712933]}"
2,"{""type"":""Point"",""coordinates"":[76.72404867795458,30.379920147148784]}"
3,"{""type"":""Point"",""coordinates"":[76.73047637872487,30.332555693285094]}"
4,"{""type"":""Point"",""coordinates"":[77.15106078410888,30.399111368755545]}"
5,"{""type"":""Point"",""coordinates"":[76.84848262834151,30.270752301916644]}"
6,"{""type"":""Point"",""coordinates"":[77.05518106611689,30.312938650636085]}"
7,"{""type"":""Point"",""coordinates"":[77.1052002089589,30.297827727689334]}"
8,"{""type"":""Point"",""coordinates"":[77.19683692236805,30.439595631969777]}"
9,"{""type"":""Point"",""coordinates"":[76.87416731391643,30.32068285841981]}"
10,"{""type"":""Point"",""coordinates"":[76.99428865947232,30.26129404756682]}"
11,"{""type"":""Point"",""coordinates"":[77.04503143013915,30.292469976142407]}"
12,"{""type"":""Point"",""coordinates"":[76.77875818842648,30.29302362701791]}"
13,"{""type"":""Point"",""coordinates"":[76.87102679656532,30.268645375551728]}"
14,"{""type"":""Point"",""coordinates"":[76.72040840599789,30.376858107737092]}"
15,"{""type"":""Point"",""coordinates"":[77.03601672505798,30.221682454863636]}"
16,"{""type"":""Point"",""coordinates"":[77.107451570756,30.512522959676232]}"
17,"{""type"":""Point"",""coordinates"":[76.88198010791587,30.348106679527703]}"
18,"{""type"":""Point"",""coordinates"":[77.05176098696866,30.563892404787797]}"
19,"{""type"":""Point"",""coordinates"":[77.22959138147,30.361780702238132]}"
20,"{""type"":""Point"",""coordinates"":[76.95747393347965,30.334904424828775]}"
21,"{""type"":""Point"",""coordinates"":[77.02093061102508,30.216271272975963]}"
22,"{""type"":""Point"",""coordinates"":[77.07903613398148,30.382226087998795]}"
23,"{""type"":""Point"",""coordinates"":[77.09365539922653,30.490599278337104]}"
24,"{""type"":""Point"",""coordinates"":[77.1875833712311,30.463318718653845]}"
25,"{""type"":""Point"",""coordinates"":[77.0288428394504,30.395043465505]}"
26,"{""type"":""Point"",""coordinates"":[76.70748184099547,30.22268240966044]}"
27,"{""type"":""Point"",""coordinates"":[77.27641713002755,30.424321364882434]}"
28,"{""type"":""Point"",""coordinates"":[76.92466614305245,30.307854565921435]}"
29,"{""type"":""Point"",""coordinates"":[77.10986825086184,30.392452949291563]}"
