system:time_start,ndre
"Dec 16, 2018",0.334
"Dec 16, 2018",0.309
"Dec 21, 2018",0.298
"Dec 21, 2018",0.214
"Dec 26, 2018",0.28
"Dec 26, 2018",0.227
"Dec 31, 2018",0.32
"Dec 31, 2018",0.304
"Jan 25, 2019",0.292
"Feb 9, 2019",0.429
"Feb 9, 2019",0.474
"Mar 1, 2019",0.464
"Mar 1, 2019",0.506
"Mar 6, 2019",0.463
"Mar 6, 2019",0.516
"Mar 16, 2019",0.414
"Mar 16, 2019",0.484
"Mar 21, 2019",0.405
"Mar 26, 2019",0.381
"Mar 26, 2019",0.454
"Mar 31, 2019",0.345
"Mar 31, 2019",0.384
"Apr 5, 2019",0.244
"Apr 5, 2019",0.262
"Apr 15, 2019",0.172
"Apr 15, 2019",0.194
"Apr 20, 2019",0.133
"Apr 20, 2019",0.136
"Apr 25, 2019",0.154
"Apr 25, 2019",0.125
"Apr 30, 2019",0.071
"Apr 30, 2019",0.125
"May 5, 2019",0.196
"May 5, 2019",0.169
"May 10, 2019",0.109
"May 25, 2019",0.165
"May 25, 2019",0.122
"May 30, 2019",0.173
"May 30, 2019",0.126
"Jun 4, 2019",0.169
"Jun 9, 2019",0.176
"Jun 9, 2019",0.11
"Jun 14, 2019",0.167
"Jun 14, 2019",0.12
"Jun 19, 2019",0.166
"Jun 19, 2019",0.103
"Jun 29, 2019",0.11
"Jun 29, 2019",0.09
"Jul 24, 2019",0.181
"Aug 23, 2019",0.43
"Aug 23, 2019",0.279
"Aug 28, 2019",0.594
"Aug 28, 2019",0.417
"Sep 2, 2019",0.52
"Sep 2, 2019",0.424
"Sep 17, 2019",0.36
"Oct 2, 2019",0.407
"Oct 2, 2019",0.291
"Oct 12, 2019",0.345
"Oct 12, 2019",0.339
"Oct 17, 2019",0.282
"Oct 17, 2019",0.23
"Oct 22, 2019",0.29
"Oct 22, 2019",0.28
"Oct 27, 2019",0.171
"Oct 27, 2019",0.175
"Nov 1, 2019",0.123
"Nov 6, 2019",0.204
"Nov 6, 2019",0.161
"Nov 16, 2019",0.173
"Dec 1, 2019",0.258
"Dec 1, 2019",0.218
"Dec 6, 2019",0.282
"Dec 6, 2019",0.252
"Dec 11, 2019",0.256
"Dec 31, 2019",0.059
"Dec 31, 2019",0.209
"Jan 5, 2020",0.344
"Jan 5, 2020",0.357
"Jan 10, 2020",0.284
"Jan 10, 2020",0.368
"Jan 30, 2020",0.436
"Jan 30, 2020",0.46
"Feb 4, 2020",0.349
"Feb 9, 2020",0.426
"Feb 9, 2020",0.466
"Feb 14, 2020",0.418
"Feb 14, 2020",0.452
"Feb 24, 2020",0.407
"Feb 24, 2020",0.462
"Mar 10, 2020",0.388
"Mar 10, 2020",0.458
"Mar 15, 2020",0.346
"Mar 15, 2020",0.407
"Mar 20, 2020",0.332
"Apr 4, 2020",0.269
"Apr 4, 2020",0.297
"Apr 14, 2020",0.138
"Apr 24, 2020",0.166
"Apr 24, 2020",0.182
"Apr 29, 2020",0.183
"Apr 29, 2020",0.172
"May 4, 2020",0.108
"May 9, 2020",0.089
"May 14, 2020",0.157
"May 14, 2020",0.088
"May 24, 2020",0.191
"May 24, 2020",0.173
"Jun 3, 2020",0.223
"Jun 3, 2020",0.172
"Jun 8, 2020",0.231
"Jun 8, 2020",0.167
"Jun 13, 2020",0.201
"Jun 13, 2020",0.143
"Jun 18, 2020",0.213
"Jun 18, 2020",0.128
"Jun 23, 2020",0.061
"Jun 28, 2020",0.228
"Jun 28, 2020",0.131
"Jul 3, 2020",0.125
"Jul 13, 2020",0.308
"Jul 13, 2020",0.164
"Jul 23, 2020",0.184
"Jul 23, 2020",0.251
"Aug 2, 2020",0.31
"Aug 2, 2020",0.311
"Aug 7, 2020",0.29
"Sep 11, 2020",0.457
"Sep 11, 2020",0.418
"Sep 16, 2020",0.318
"Sep 21, 2020",0.431
"Sep 21, 2020",0.413
"Sep 26, 2020",0.433
"Oct 1, 2020",0.413
"Oct 1, 2020",0.393
"Oct 6, 2020",0.372
"Oct 6, 2020",0.366
"Oct 11, 2020",0.311
"Oct 11, 2020",0.298
"Oct 16, 2020",0.287
"Oct 16, 2020",0.25
"Oct 21, 2020",0.295
"Oct 21, 2020",0.211
"Oct 26, 2020",0.308
"Oct 26, 2020",0.205
"Oct 31, 2020",0.254
"Oct 31, 2020",0.174
"Nov 5, 2020",0.266
"Nov 5, 2020",0.195
"Nov 10, 2020",0.268
"Nov 10, 2020",0.172
"Nov 15, 2020",0.16
"Nov 20, 2020",0.286
"Nov 20, 2020",0.213
"Nov 30, 2020",0.279
"Nov 30, 2020",0.201
"Dec 5, 2020",0.253
"Dec 5, 2020",0.219
"Dec 10, 2020",0.271
"Dec 10, 2020",0.262
"Dec 15, 2020",0.261
"Dec 15, 2020",0.226
"Dec 20, 2020",0.244
"Dec 20, 2020",0.12
"Dec 25, 2020",0.319
"Jan 9, 2021",0.326
"Jan 14, 2021",0.324
"Jan 19, 2021",0.424
"Jan 19, 2021",0.381
"Feb 3, 2021",0.142
"Feb 8, 2021",0.462
"Feb 8, 2021",0.458
"Feb 18, 2021",0.482
"Feb 18, 2021",0.464
"Feb 23, 2021",0.355
"Feb 23, 2021",0.338
"Feb 28, 2021",0.53
"Feb 28, 2021",0.48
"Mar 5, 2021",0.527
"Mar 5, 2021",0.484
"Mar 15, 2021",0.365
"Mar 15, 2021",0.404
"Mar 20, 2021",0.381
"Mar 20, 2021",0.372
"Mar 25, 2021",0.351
"Mar 30, 2021",0.282
"Mar 30, 2021",0.231
"Apr 4, 2021",0.257
"Apr 4, 2021",0.214
"Apr 9, 2021",0.212
"Apr 9, 2021",0.211
"Apr 24, 2021",0.124
"Apr 24, 2021",0.174
"Apr 29, 2021",0.112
"Apr 29, 2021",0.15
"May 4, 2021",0.014
