system:time_start,ndvi
"Dec 16, 2018",0.525
"Dec 16, 2018",0.506
"Dec 21, 2018",0.458
"Dec 21, 2018",0.348
"Dec 26, 2018",0.408
"Dec 26, 2018",0.338
"Dec 31, 2018",0.486
"Dec 31, 2018",0.516
"Jan 25, 2019",0.418
"Feb 9, 2019",0.648
"Feb 9, 2019",0.68
"Mar 1, 2019",0.681
"Mar 1, 2019",0.705
"Mar 6, 2019",0.662
"Mar 6, 2019",0.702
"Mar 16, 2019",0.57
"Mar 16, 2019",0.667
"Mar 21, 2019",0.601
"Mar 26, 2019",0.569
"Mar 26, 2019",0.664
"Mar 31, 2019",0.535
"Mar 31, 2019",0.595
"Apr 5, 2019",0.41
"Apr 5, 2019",0.409
"Apr 15, 2019",0.33
"Apr 15, 2019",0.32
"Apr 20, 2019",0.248
"Apr 20, 2019",0.24
"Apr 25, 2019",0.25
"Apr 25, 2019",0.203
"Apr 30, 2019",0.154
"Apr 30, 2019",0.219
"May 5, 2019",0.287
"May 5, 2019",0.236
"May 10, 2019",0.19
"May 25, 2019",0.276
"May 25, 2019",0.212
"May 30, 2019",0.286
"May 30, 2019",0.222
"Jun 4, 2019",0.269
"Jun 9, 2019",0.287
"Jun 9, 2019",0.193
"Jun 14, 2019",0.287
"Jun 14, 2019",0.204
"Jun 19, 2019",0.288
"Jun 19, 2019",0.205
"Jun 29, 2019",0.23
"Jun 29, 2019",0.197
"Jul 24, 2019",0.315
"Aug 23, 2019",0.576
"Aug 23, 2019",0.39
"Aug 28, 2019",0.796
"Aug 28, 2019",0.612
"Sep 2, 2019",0.685
"Sep 2, 2019",0.573
"Sep 17, 2019",0.526
"Oct 2, 2019",0.609
"Oct 2, 2019",0.441
"Oct 12, 2019",0.551
"Oct 12, 2019",0.568
"Oct 17, 2019",0.46
"Oct 17, 2019",0.385
"Oct 22, 2019",0.455
"Oct 22, 2019",0.456
"Oct 27, 2019",0.263
"Oct 27, 2019",0.28
"Nov 1, 2019",0.177
"Nov 6, 2019",0.332
"Nov 6, 2019",0.269
"Nov 16, 2019",0.29
"Dec 1, 2019",0.4
"Dec 1, 2019",0.358
"Dec 6, 2019",0.455
"Dec 6, 2019",0.453
"Dec 11, 2019",0.386
"Dec 31, 2019",0.078
"Dec 31, 2019",0.306
"Jan 5, 2020",0.516
"Jan 5, 2020",0.566
"Jan 10, 2020",0.402
"Jan 10, 2020",0.538
"Jan 30, 2020",0.607
"Jan 30, 2020",0.641
"Feb 4, 2020",0.493
"Feb 9, 2020",0.604
"Feb 9, 2020",0.636
"Feb 14, 2020",0.603
"Feb 14, 2020",0.636
"Feb 24, 2020",0.583
"Feb 24, 2020",0.657
"Mar 10, 2020",0.572
"Mar 10, 2020",0.651
"Mar 15, 2020",0.546
"Mar 15, 2020",0.64
"Mar 20, 2020",0.53
"Apr 4, 2020",0.463
"Apr 4, 2020",0.507
"Apr 14, 2020",0.235
"Apr 24, 2020",0.316
"Apr 24, 2020",0.32
"Apr 29, 2020",0.31
"Apr 29, 2020",0.287
"May 4, 2020",0.198
"May 9, 2020",0.16
"May 14, 2020",0.258
"May 14, 2020",0.164
"May 24, 2020",0.313
"May 24, 2020",0.292
"Jun 3, 2020",0.377
"Jun 3, 2020",0.298
"Jun 8, 2020",0.376
"Jun 8, 2020",0.291
"Jun 13, 2020",0.304
"Jun 13, 2020",0.245
"Jun 18, 2020",0.307
"Jun 18, 2020",0.215
"Jun 23, 2020",0.157
"Jun 28, 2020",0.34
"Jun 28, 2020",0.23
"Jul 3, 2020",0.234
"Jul 13, 2020",0.499
"Jul 13, 2020",0.35
"Jul 23, 2020",0.304
"Jul 23, 2020",0.408
"Aug 2, 2020",0.437
"Aug 2, 2020",0.45
"Aug 7, 2020",0.434
"Sep 11, 2020",0.639
"Sep 11, 2020",0.63
"Sep 16, 2020",0.465
"Sep 21, 2020",0.642
"Sep 21, 2020",0.644
"Sep 26, 2020",0.641
"Oct 1, 2020",0.614
"Oct 1, 2020",0.636
"Oct 6, 2020",0.54
"Oct 6, 2020",0.572
"Oct 11, 2020",0.484
"Oct 11, 2020",0.49
"Oct 16, 2020",0.427
"Oct 16, 2020",0.376
"Oct 21, 2020",0.434
"Oct 21, 2020",0.326
"Oct 26, 2020",0.432
"Oct 26, 2020",0.308
"Oct 31, 2020",0.402
"Oct 31, 2020",0.3
"Nov 5, 2020",0.389
"Nov 5, 2020",0.283
"Nov 10, 2020",0.41
"Nov 10, 2020",0.276
"Nov 15, 2020",0.223
"Nov 20, 2020",0.423
"Nov 20, 2020",0.332
"Nov 30, 2020",0.427
"Nov 30, 2020",0.309
"Dec 5, 2020",0.393
"Dec 5, 2020",0.339
"Dec 10, 2020",0.419
"Dec 10, 2020",0.422
"Dec 15, 2020",0.368
"Dec 15, 2020",0.327
"Dec 20, 2020",0.362
"Dec 20, 2020",0.186
"Dec 25, 2020",0.477
"Jan 9, 2021",0.476
"Jan 14, 2021",0.436
"Jan 19, 2021",0.603
"Jan 19, 2021",0.551
"Feb 3, 2021",0.211
"Feb 8, 2021",0.662
"Feb 8, 2021",0.645
"Feb 18, 2021",0.68
"Feb 18, 2021",0.649
"Feb 23, 2021",0.46
"Feb 23, 2021",0.448
"Feb 28, 2021",0.744
"Feb 28, 2021",0.644
"Mar 5, 2021",0.722
"Mar 5, 2021",0.653
"Mar 15, 2021",0.506
"Mar 15, 2021",0.585
"Mar 20, 2021",0.583
"Mar 20, 2021",0.57
"Mar 25, 2021",0.523
"Mar 30, 2021",0.447
"Mar 30, 2021",0.364
"Apr 4, 2021",0.392
"Apr 4, 2021",0.323
"Apr 9, 2021",0.382
"Apr 9, 2021",0.33
"Apr 24, 2021",0.207
"Apr 24, 2021",0.27
"Apr 29, 2021",0.208
"Apr 29, 2021",0.244
"May 4, 2021",0.065
"May 9, 2021",0.183
"May 9, 2021",0.222
"May 14, 2021",0.207
"May 14, 2021",0.248
"May 24, 2021",0.282
"May 24, 2021",0.249
"May 29, 2021",0.219
"May 29, 2021",0.193
"Jun 3, 2021",0.022
"Jun 8, 2021",0.256
"Jun 8, 2021",0.182
"Jun 23, 2021",0.337
"Jun 23, 2021",0.245
"Jun 28, 2021",0.337
"Jun 28, 2021",0.232
"Jul 8, 2021",0.399
"Jul 8, 2021",0.261
"Aug 12, 2021",0.563
"Aug 17, 2021",0.727
"Aug 17, 2021",0.691
"Aug 27, 2021",0.599
"Sep 6, 2021",0.556
"Sep 16, 2021",0.745
"Sep 16, 2021",0.752
"Sep 26, 2021",0.603
"Sep 26, 2021",0.54
"Oct 1, 2021",0.358
"Oct 6, 2021",0.532
"Oct 6, 2021",0.562
"Oct 11, 2021",0.468
"Oct 11, 2021",0.539
"Oct 16, 2021",0.452
"Oct 16, 2021",0.481
"Oct 21, 2021",0.395
"Oct 21, 2021",0.387
"Oct 26, 2021",0.342
"Oct 26, 2021",0.396
"Oct 31, 2021",0.343
"Oct 31, 2021",0.347
"Nov 5, 2021",0.328
"Nov 10, 2021",0.343
"Nov 10, 2021",0.321
"Nov 15, 2021",0.335
"Nov 15, 2021",0.278
"Nov 20, 2021",0.386
"Nov 20, 2021",0.328
"Nov 25, 2021",0.384
"Nov 25, 2021",0.296
"Nov 30, 2021",0.428
"Nov 30, 2021",0.343
"Dec 5, 2021",0.151
"Dec 5, 2021",0.183
"Dec 10, 2021",0.525
"Dec 10, 2021",0.42
"Dec 15, 2021",0.505
"Dec 15, 2021",0.38
"Dec 20, 2021",0.475
"Dec 20, 2021",0.418
"Dec 25, 2021",0.291
"Dec 25, 2021",0.332
"Jan 29, 2022",0.547
"Feb 8, 2022",0.606
"Feb 8, 2022",0.597
"Feb 13, 2022",0.688
"Feb 13, 2022",0.609
"Feb 18, 2022",0.679
"Feb 18, 2022",0.604
"Feb 28, 2022",0.661
"Feb 28, 2022",0.603
"Mar 5, 2022",0.628
"Mar 5, 2022",0.576
"Mar 10, 2022",0.601
"Mar 10, 2022",0.578
"Mar 15, 2022",0.525
"Mar 15, 2022",0.544
"Mar 20, 2022",0.578
"Mar 20, 2022",0.508
"Mar 25, 2022",0.475
"Mar 25, 2022",0.502
"Mar 30, 2022",0.394
"Mar 30, 2022",0.419
"Apr 4, 2022",0.366
"Apr 4, 2022",0.37
"Apr 9, 2022",0.312
"Apr 9, 2022",0.315
"Apr 14, 2022",0.285
"Apr 14, 2022",0.35
"Apr 19, 2022",0.249
"Apr 19, 2022",0.28
"Apr 24, 2022",0.246
"Apr 24, 2022",0.291
"Apr 29, 2022",0.244
"Apr 29, 2022",0.252
"May 4, 2022",0.208
"May 9, 2022",0.183
"May 9, 2022",0.352
"May 14, 2022",0.216
"May 14, 2022",0.29
"May 19, 2022",0.214
"May 19, 2022",0.309
"May 29, 2022",0.341
"May 29, 2022",0.274
"Jun 3, 2022",0.335
"Jun 3, 2022",0.337
"Jun 8, 2022",0.33
"Jun 8, 2022",0.282
"Jun 13, 2022",0.295
"Jun 13, 2022",0.255
"Jun 23, 2022",0.357
"Jun 23, 2022",0.344
"Jul 18, 2022",0.581
"Jul 18, 2022",0.509
"Aug 12, 2022",0.575
"Aug 12, 2022",0.704
"Aug 17, 2022",0.604
"Sep 1, 2022",0.464
"Sep 6, 2022",0.578
"Sep 6, 2022",0.561
"Sep 11, 2022",0.679
"Sep 11, 2022",0.689
"Oct 1, 2022",0.488
"Oct 6, 2022",0.463
"Oct 6, 2022",0.567
"Oct 16, 2022",0.394
"Oct 16, 2022",0.534
"Oct 21, 2022",0.338
"Oct 21, 2022",0.406
"Oct 26, 2022",0.34
"Oct 26, 2022",0.384
"Oct 31, 2022",0.324
"Oct 31, 2022",0.347
"Nov 5, 2022",0.206
"Nov 5, 2022",0.192
"Nov 15, 2022",0.346
"Nov 15, 2022",0.312
"Nov 20, 2022",0.376
"Nov 20, 2022",0.341
"Nov 25, 2022",0.385
"Nov 25, 2022",0.352
"Nov 30, 2022",0.402
"Nov 30, 2022",0.391
"Dec 5, 2022",0.488
"Dec 5, 2022",0.412
