system:time_start,savi
"Dec 16, 2018",0.31
"Dec 16, 2018",0.279
"Dec 21, 2018",0.277
"Dec 21, 2018",0.211
"Dec 26, 2018",0.262
"Dec 26, 2018",0.215
"Dec 31, 2018",0.298
"Dec 31, 2018",0.296
"Jan 25, 2019",0.285
"Feb 9, 2019",0.411
"Feb 9, 2019",0.43
"Mar 1, 2019",0.447
"Mar 1, 2019",0.461
"Mar 6, 2019",0.433
"Mar 6, 2019",0.46
"Mar 16, 2019",0.328
"Mar 16, 2019",0.418
"Mar 21, 2019",0.384
"Mar 26, 2019",0.354
"Mar 26, 2019",0.406
"Mar 31, 2019",0.322
"Mar 31, 2019",0.354
"Apr 5, 2019",0.24
"Apr 5, 2019",0.242
"Apr 15, 2019",0.194
"Apr 15, 2019",0.201
"Apr 20, 2019",0.16
"Apr 20, 2019",0.156
"Apr 25, 2019",0.162
"Apr 25, 2019",0.134
"Apr 30, 2019",0.112
"Apr 30, 2019",0.155
"May 5, 2019",0.198
"May 5, 2019",0.17
"May 10, 2019",0.142
"May 25, 2019",0.173
"May 25, 2019",0.142
"May 30, 2019",0.183
"May 30, 2019",0.148
"Jun 4, 2019",0.173
"Jun 9, 2019",0.19
"Jun 9, 2019",0.132
"Jun 14, 2019",0.185
"Jun 14, 2019",0.139
"Jun 19, 2019",0.187
"Jun 19, 2019",0.137
"Jun 29, 2019",0.159
"Jun 29, 2019",0.131
"Jul 24, 2019",0.206
"Aug 23, 2019",0.392
"Aug 23, 2019",0.267
"Aug 28, 2019",0.537
"Aug 28, 2019",0.4
"Sep 2, 2019",0.484
"Sep 2, 2019",0.39
"Sep 17, 2019",0.364
"Oct 2, 2019",0.415
"Oct 2, 2019",0.31
"Oct 12, 2019",0.346
"Oct 12, 2019",0.348
"Oct 17, 2019",0.283
"Oct 17, 2019",0.239
"Oct 22, 2019",0.28
"Oct 22, 2019",0.273
"Oct 27, 2019",0.162
"Oct 27, 2019",0.174
"Nov 1, 2019",0.114
"Nov 6, 2019",0.195
"Nov 6, 2019",0.16
"Nov 16, 2019",0.18
"Dec 1, 2019",0.231
"Dec 1, 2019",0.201
"Dec 6, 2019",0.26
"Dec 6, 2019",0.247
"Dec 11, 2019",0.233
"Dec 31, 2019",0.071
"Dec 31, 2019",0.198
"Jan 5, 2020",0.313
"Jan 5, 2020",0.327
"Jan 10, 2020",0.26
"Jan 10, 2020",0.319
"Jan 30, 2020",0.373
"Jan 30, 2020",0.383
"Feb 4, 2020",0.333
"Feb 9, 2020",0.377
"Feb 9, 2020",0.406
"Feb 14, 2020",0.386
"Feb 14, 2020",0.401
"Feb 24, 2020",0.388
"Feb 24, 2020",0.425
"Mar 10, 2020",0.355
"Mar 10, 2020",0.417
"Mar 15, 2020",0.327
"Mar 15, 2020",0.397
"Mar 20, 2020",0.321
"Apr 4, 2020",0.289
"Apr 4, 2020",0.311
"Apr 14, 2020",0.161
"Apr 24, 2020",0.214
"Apr 24, 2020",0.214
"Apr 29, 2020",0.208
"Apr 29, 2020",0.185
"May 4, 2020",0.137
"May 9, 2020",0.112
"May 14, 2020",0.18
"May 14, 2020",0.123
"May 24, 2020",0.203
"May 24, 2020",0.191
"Jun 3, 2020",0.23
"Jun 3, 2020",0.198
"Jun 8, 2020",0.233
"Jun 8, 2020",0.181
"Jun 13, 2020",0.209
"Jun 13, 2020",0.166
"Jun 18, 2020",0.211
"Jun 18, 2020",0.143
"Jun 23, 2020",0.101
"Jun 28, 2020",0.235
