-BEGIN HEADER-,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,
Dates (month/day/year): 01/01/2017 through 12/09/2022 ,,,,,,,
Location: Latitude  30.2925   Longitude 77.045 ,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 423.74 meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,
Parameter(s): ,,,,,,,
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,
TS                     MERRA-2 Earth Skin Temperature (C) ,,,,,,,
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) ,,,,,,,
-END HEADER-,,,,,,,
YEAR,MO,DY,PRECTOTCORR,TS,T2M_MAX,T2M_MIN,ALLSKY_SFC_PAR_TOT
2017,1,1,2.46,14.02,22.1,10.74,59.81
2017,1,2,0.01,14.59,22.9,11.56,61.18
2017,1,3,0,15.62,24.23,11.05,59.95
2017,1,4,0.01,14.48,23.34,10.83,53.47
2017,1,5,0,14.9,24.48,11.4,58.27
2017,1,6,17.82,14.64,22.81,10.25,43.76
2017,1,7,28.49,9.4,12.85,8,6.88
2017,1,8,0.5,9.4,15.98,6.78,45.43
2017,1,9,0,9.11,17.3,5.27,58.41
2017,1,10,0.16,8.02,17.01,3.87,58.16
2017,1,11,0.18,7.62,17.2,3.17,63.3
2017,1,12,0.01,7.58,17.86,3.31,68.59
2017,1,13,0,7.83,18.66,5.15,68.51
2017,1,14,0,10.41,20.56,5.16,62.39
2017,1,15,0.3,11.83,19.87,9.03,58.36
2017,1,16,2.84,10.8,18.48,7.96,32.17
2017,1,17,0.01,10.85,18.62,7.74,34.41
2017,1,18,0,11.03,20.5,6.65,53.93
2017,1,19,0,11.13,20.04,5.97,71.74
2017,1,20,0,12.11,22.83,6.26,73.88
2017,1,21,0.07,12.03,23.19,9.09,38.46
2017,1,22,0.66,14.62,24.44,10.91,64.99
2017,1,23,0,14.35,24.35,9.96,70.52
2017,1,24,0.13,13.96,22.76,10.48,41.44
2017,1,25,1.6,15.5,21.45,13.25,48.98
2017,1,26,33.89,13.08,19.37,10.58,7.84
2017,1,27,5.52,11.58,17.3,8.12,51.83
2017,1,28,0,12.53,20.11,7.29,64.66
2017,1,29,0,14.9,24.28,11.14,58.84
2017,1,30,0.02,14.33,23.78,9.99,66.56
2017,1,31,0.23,14.45,22.7,10.62,72.16
2017,2,1,0,14.44,23.08,9.41,77.35
2017,2,2,0,13.84,21.87,11.08,67.48
2017,2,3,0,14.65,23.89,10.9,66.84
2017,2,4,0.09,15.85,23.94,10.82,51.85
2017,2,5,4.94,14.78,19.06,13.05,44.57
2017,2,6,0.13,13.94,21.31,9.01,75.24
2017,2,7,0,13.34,22.41,7.48,81.84
2017,2,8,0,13.75,22.56,10.55,60.89
2017,2,9,0,12.51,21.09,8.58,83.41
2017,2,10,0,13.45,23.47,7.66,92.42
2017,2,11,0,14.44,24.83,10.72,92.67
2017,2,12,0,14.18,23.65,10.49,90.26
2017,2,13,0,15.17,25.76,9.72,93.27
2017,2,14,0,15.62,25.97,10.85,87.92
2017,2,15,0,17.73,27.04,12.26,90.95
2017,2,16,0,19.65,28.69,14.18,88.32
2017,2,17,0,19.9,28.13,15.28,83.59
2017,2,18,0,20.68,29.77,14.54,80.2
2017,2,19,0.32,21.37,29.73,15.51,66.12
2017,2,20,1.76,20.23,27.94,16.12,69.59
