system:index,.geo
0,"{""type"":""Point"",""coordinates"":[76.02385020259203,28.903983242163]}"
1,"{""type"":""Point"",""coordinates"":[75.8179609398712,28.413518629518737]}"
2,"{""type"":""Point"",""coordinates"":[75.56258028981205,28.94440192642306]}"
3,"{""type"":""Point"",""coordinates"":[75.58522699533968,28.83643133709721]}"
4,"{""type"":""Point"",""coordinates"":[76.19911884020206,28.577509669621016]}"
5,"{""type"":""Point"",""coordinates"":[76.3183732164266,28.668126339001443]}"
6,"{""type"":""Point"",""coordinates"":[76.01050614506127,28.850643632059924]}"
7,"{""type"":""Point"",""coordinates"":[76.15014102669085,28.90498607417134]}"
8,"{""type"":""Point"",""coordinates"":[75.63530607448273,28.7426093060906]}"
9,"{""type"":""Point"",""coordinates"":[75.78943580780003,28.869701108004055]}"
10,"{""type"":""Point"",""coordinates"":[76.01086024913418,28.902207117285972]}"
11,"{""type"":""Point"",""coordinates"":[76.05857827680396,28.77862936588906]}"
12,"{""type"":""Point"",""coordinates"":[75.92887228192942,28.728093139709934]}"
13,"{""type"":""Point"",""coordinates"":[75.61184370056328,28.854089380010514]}"
14,"{""type"":""Point"",""coordinates"":[75.59614630737822,28.961597368609066]}"
15,"{""type"":""Point"",""coordinates"":[76.13749608611084,28.906086078326595]}"
16,"{""type"":""Point"",""coordinates"":[76.14441554864408,28.58589889874196]}"
17,"{""type"":""Point"",""coordinates"":[76.23745799687941,28.88661330061444]}"
18,"{""type"":""Point"",""coordinates"":[75.88641626290782,28.46846963398799]}"
19,"{""type"":""Point"",""coordinates"":[76.00876093656649,28.418571949673016]}"
20,"{""type"":""Point"",""coordinates"":[76.1217055521983,28.69312180099333]}"
21,"{""type"":""Point"",""coordinates"":[76.18135667084978,28.655789026947723]}"
22,"{""type"":""Point"",""coordinates"":[75.97992603009813,28.641068403823155]}"
23,"{""type"":""Point"",""coordinates"":[76.0475174183145,28.60694653198369]}"
24,"{""type"":""Point"",""coordinates"":[76.21366344934523,28.891072224112097]}"
25,"{""type"":""Point"",""coordinates"":[75.83660767311231,28.81080677804751]}"
26,"{""type"":""Point"",""coordinates"":[75.68530943395409,28.597236527052882]}"
27,"{""type"":""Point"",""coordinates"":[75.69563446277957,28.532531183353395]}"
28,"{""type"":""Point"",""coordinates"":[76.14312075929193,28.7627606511106]}"
29,"{""type"":""Point"",""coordinates"":[76.12344835090174,28.933207459684763]}"
