system:time_start,ndre
"Dec 14, 2018",0.284
"Dec 14, 2018",0.294
"Dec 16, 2018",0.398
"Dec 16, 2018",0.354
"Dec 16, 2018",0.329
"Dec 16, 2018",0.341
"Dec 19, 2018",0.315
"Dec 19, 2018",0.345
"Dec 21, 2018",0.305
"Dec 21, 2018",0.324
"Dec 21, 2018",0.299
"Dec 21, 2018",0.333
"Dec 24, 2018",0.209
"Dec 24, 2018",0.22
"Dec 26, 2018",0.366
"Dec 26, 2018",0.334
"Dec 26, 2018",0.344
"Dec 26, 2018",0.373
"Dec 29, 2018",0.315
"Dec 29, 2018",0.367
"Dec 31, 2018",0.369
"Dec 31, 2018",0.327
"Dec 31, 2018",0.363
"Dec 31, 2018",0.375
"Jan 5, 2019",0.28
"Jan 5, 2019",0.296
"Jan 8, 2019",0.319
"Jan 13, 2019",0.18
"Jan 13, 2019",0.263
"Jan 20, 2019",0.391
"Jan 20, 2019",0.418
"Jan 25, 2019",0.502
"Jan 25, 2019",0.252
"Jan 25, 2019",0.464
"Jan 25, 2019",0.371
"Jan 28, 2019",0.318
"Jan 28, 2019",0.474
"Jan 30, 2019",0.429
"Feb 4, 2019",0.37
"Feb 4, 2019",0.491
"Feb 4, 2019",0.499
"Feb 9, 2019",0.467
"Feb 9, 2019",0.374
"Feb 9, 2019",0.502
"Feb 9, 2019",0.511
"Feb 17, 2019",0.359
"Feb 17, 2019",0.511
"Feb 19, 2019",0.351
"Feb 19, 2019",0.445
"Feb 19, 2019",0.491
"Feb 22, 2019",0.165
"Feb 22, 2019",0.292
"Feb 24, 2019",0.477
"Feb 24, 2019",0.376
"Feb 24, 2019",0.524
"Feb 24, 2019",0.517
"Feb 27, 2019",0.291
"Mar 1, 2019",0.431
"Mar 1, 2019",0.352
"Mar 1, 2019",0.465
"Mar 1, 2019",0.491
"Mar 6, 2019",0.456
"Mar 6, 2019",0.358
"Mar 6, 2019",0.479
"Mar 6, 2019",0.493
"Mar 9, 2019",0.343
"Mar 9, 2019",0.469
"Mar 11, 2019",0.32
"Mar 16, 2019",0.397
"Mar 19, 2019",0.314
"Mar 19, 2019",0.42
"Mar 21, 2019",0.376
"Mar 21, 2019",0.261
"Mar 21, 2019",0.332
"Mar 21, 2019",0.372
"Mar 24, 2019",0.26
"Mar 24, 2019",0.339
"Mar 26, 2019",0.405
"Mar 26, 2019",0.257
"Mar 26, 2019",0.35
"Mar 26, 2019",0.338
"Mar 29, 2019",0.248
"Mar 29, 2019",0.282
"Mar 31, 2019",0.366
"Mar 31, 2019",0.221
"Mar 31, 2019",0.29
"Mar 31, 2019",0.256
"Apr 3, 2019",0.208
"Apr 3, 2019",0.2
"Apr 5, 2019",0.291
"Apr 5, 2019",0.167
"Apr 5, 2019",0.212
"Apr 5, 2019",0.171
"Apr 8, 2019",0.137
"Apr 8, 2019",0.131
"Apr 10, 2019",0.194
"Apr 10, 2019",0.122
"Apr 10, 2019",0.149
"Apr 10, 2019",0.118
"Apr 13, 2019",0.094
"Apr 15, 2019",0.164
"Apr 15, 2019",0.1
"Apr 18, 2019",0.101
"Apr 18, 2019",0.097
"Apr 20, 2019",0.136
"Apr 20, 2019",0.103
"Apr 20, 2019",0.115
"Apr 20, 2019",0.092
"Apr 23, 2019",0.096
"Apr 23, 2019",0.088
"Apr 25, 2019",0.073
"Apr 25, 2019",0.078
"Apr 28, 2019",0.104
"Apr 28, 2019",0.1
"Apr 30, 2019",0.098
"Apr 30, 2019",0.08
"Apr 30, 2019",0.085
"Apr 30, 2019",0.079
"May 3, 2019",0.07
"May 3, 2019",0.078
"May 5, 2019",0.117
"May 5, 2019",0.102
"May 5, 2019",0.099
"May 5, 2019",0.097
"May 8, 2019",0.081
"May 8, 2019",0.078
"May 10, 2019",0.065
"May 10, 2019",0.068
"May 10, 2019",0.06
"May 10, 2019",0.065
"May 13, 2019",0.08
"May 13, 2019",0.076
"May 15, 2019",0.086
"May 15, 2019",0.075
"May 18, 2019",0.07
"May 18, 2019",0.077
