system:time_start,ndvi
"Dec 14, 2018",0.423
"Dec 14, 2018",0.444
"Dec 16, 2018",0.558
"Dec 16, 2018",0.477
"Dec 16, 2018",0.504
"Dec 16, 2018",0.506
"Dec 19, 2018",0.449
"Dec 19, 2018",0.499
"Dec 21, 2018",0.44
"Dec 21, 2018",0.452
"Dec 21, 2018",0.446
"Dec 21, 2018",0.477
"Dec 24, 2018",0.3
"Dec 24, 2018",0.314
"Dec 26, 2018",0.527
"Dec 26, 2018",0.471
"Dec 26, 2018",0.516
"Dec 26, 2018",0.544
"Dec 29, 2018",0.454
"Dec 29, 2018",0.549
"Dec 31, 2018",0.541
"Dec 31, 2018",0.468
"Dec 31, 2018",0.569
"Dec 31, 2018",0.553
"Jan 5, 2019",0.399
"Jan 5, 2019",0.407
"Jan 8, 2019",0.465
"Jan 13, 2019",0.264
"Jan 13, 2019",0.367
"Jan 20, 2019",0.601
"Jan 20, 2019",0.596
"Jan 25, 2019",0.739
"Jan 25, 2019",0.376
"Jan 25, 2019",0.662
"Jan 25, 2019",0.513
"Jan 28, 2019",0.471
"Jan 28, 2019",0.661
"Jan 30, 2019",0.607
"Feb 4, 2019",0.521
"Feb 4, 2019",0.705
"Feb 4, 2019",0.683
"Feb 9, 2019",0.655
"Feb 9, 2019",0.526
"Feb 9, 2019",0.723
"Feb 9, 2019",0.706
"Feb 17, 2019",0.509
"Feb 17, 2019",0.705
"Feb 19, 2019",0.506
"Feb 19, 2019",0.652
"Feb 19, 2019",0.704
"Feb 22, 2019",0.192
"Feb 22, 2019",0.367
"Feb 24, 2019",0.661
"Feb 24, 2019",0.548
"Feb 24, 2019",0.754
"Feb 24, 2019",0.727
"Feb 27, 2019",0.443
"Mar 1, 2019",0.644
"Mar 1, 2019",0.561
"Mar 1, 2019",0.72
"Mar 1, 2019",0.73
"Mar 6, 2019",0.656
"Mar 6, 2019",0.544
"Mar 6, 2019",0.724
"Mar 6, 2019",0.721
"Mar 9, 2019",0.519
"Mar 9, 2019",0.694
"Mar 11, 2019",0.462
"Mar 16, 2019",0.596
"Mar 19, 2019",0.477
"Mar 19, 2019",0.634
"Mar 21, 2019",0.542
