system:time_start,savi
"Dec 14, 2018",0.268
"Dec 14, 2018",0.29
"Dec 16, 2018",0.413
"Dec 16, 2018",0.335
"Dec 16, 2018",0.352
"Dec 16, 2018",0.349
"Dec 19, 2018",0.294
"Dec 19, 2018",0.334
"Dec 21, 2018",0.306
"Dec 21, 2018",0.316
"Dec 21, 2018",0.318
"Dec 21, 2018",0.341
"Dec 24, 2018",0.21
"Dec 24, 2018",0.229
"Dec 26, 2018",0.374
"Dec 26, 2018",0.334
"Dec 26, 2018",0.357
"Dec 26, 2018",0.376
"Dec 29, 2018",0.296
"Dec 29, 2018",0.368
"Dec 31, 2018",0.373
"Dec 31, 2018",0.329
"Dec 31, 2018",0.386
"Dec 31, 2018",0.389
"Jan 5, 2019",0.281
"Jan 5, 2019",0.294
"Jan 8, 2019",0.318
"Jan 13, 2019",0.192
"Jan 13, 2019",0.27
"Jan 20, 2019",0.432
"Jan 20, 2019",0.43
"Jan 25, 2019",0.532
"Jan 25, 2019",0.275
"Jan 25, 2019",0.462
"Jan 25, 2019",0.373
"Jan 28, 2019",0.316
"Jan 28, 2019",0.457
"Jan 30, 2019",0.436
"Feb 4, 2019",0.368
"Feb 4, 2019",0.488
"Feb 4, 2019",0.483
"Feb 9, 2019",0.463
"Feb 9, 2019",0.377
"Feb 9, 2019",0.502
"Feb 9, 2019",0.501
"Feb 17, 2019",0.33
"Feb 17, 2019",0.474
"Feb 19, 2019",0.369
"Feb 19, 2019",0.464
"Feb 19, 2019",0.509
"Feb 22, 2019",0.148
"Feb 22, 2019",0.281
"Feb 24, 2019",0.474
"Feb 24, 2019",0.384
"Feb 24, 2019",0.53
"Feb 24, 2019",0.505
"Feb 27, 2019",0.301
"Mar 1, 2019",0.451
"Mar 1, 2019",0.396
"Mar 1, 2019",0.501
"Mar 1, 2019",0.509
"Mar 6, 2019",0.453
"Mar 6, 2019",0.376
"Mar 6, 2019",0.495
"Mar 6, 2019",0.49
"Mar 9, 2019",0.343
"Mar 9, 2019",0.453
"Mar 11, 2019",0.34
"Mar 16, 2019",0.418
"Mar 19, 2019",0.309
"Mar 19, 2019",0.399
"Mar 21, 2019",0.374
"Mar 21, 2019",0.299
"Mar 21, 2019",0.349
"Mar 21, 2019",0.4
"Mar 24, 2019",0.285
"Mar 24, 2019",0.351
"Mar 26, 2019",0.392
"Mar 26, 2019",0.276
"Mar 26, 2019",0.361
"Mar 26, 2019",0.354
"Mar 29, 2019",0.258
"Mar 29, 2019",0.298
"Mar 31, 2019",0.369
"Mar 31, 2019",0.24
"Mar 31, 2019",0.296
"Mar 31, 2019",0.282
"Apr 3, 2019",0.229
"Apr 3, 2019",0.218
"Apr 5, 2019",0.304
"Apr 5, 2019",0.201
"Apr 5, 2019",0.226
"Apr 5, 2019",0.2
"Apr 8, 2019",0.161
"Apr 8, 2019",0.155
"Apr 10, 2019",0.217
"Apr 10, 2019",0.149
"Apr 10, 2019",0.172
"Apr 10, 2019",0.148
"Apr 13, 2019",0.123
"Apr 15, 2019",0.188
"Apr 15, 2019",0.128
"Apr 18, 2019",0.121
"Apr 18, 2019",0.124
"Apr 20, 2019",0.162
"Apr 20, 2019",0.129
"Apr 20, 2019",0.141
"Apr 20, 2019",0.128
"Apr 23, 2019",0.114
"Apr 23, 2019",0.113
"Apr 25, 2019",0.104
