-BEGIN HEADER-,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,
Dates (month/day/year): 01/01/2017 through 12/09/2022 ,,,,,,,
Location: Latitude  28.6931   Longitude 76.1217 ,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 243.76 meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,
Parameter(s): ,,,,,,,
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,
TS                     MERRA-2 Earth Skin Temperature (C) ,,,,,,,
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) ,,,,,,,
-END HEADER-,,,,,,,
YEAR,MO,DY,PRECTOTCORR,TS,T2M_MAX,T2M_MIN,ALLSKY_SFC_PAR_TOT
2017,1,1,0,14.29,22.55,8.31,44.05
2017,1,2,0,14.83,23.25,9.02,37.88
2017,1,3,0,15.57,24.37,9.12,51.15
2017,1,4,0,15.73,25.76,9.62,52.52
2017,1,5,0,15.99,26.17,11.76,56.03
2017,1,6,0.46,15.92,25.46,9.3,59.41
2017,1,7,3.19,15.19,21.6,10.91,24.9
2017,1,8,0,13.38,20.6,7.09,39.55
2017,1,9,0,11.44,18.96,6.13,47.6
2017,1,10,0,9.15,18.37,3.13,66.23
2017,1,11,0,8.48,18.19,2.12,70
2017,1,12,0,9.71,19.31,3.35,63.62
2017,1,13,0,10.44,20.73,5.41,58.46
2017,1,14,0,11.01,21.23,6.55,47.84
2017,1,15,0.01,12.75,23.45,5.08,59.4
2017,1,16,0,12.65,21.38,7.32,52.48
2017,1,17,0,10.55,18.92,3.69,52.41
2017,1,18,0,12.12,21.64,6.67,59.69
2017,1,19,0,11.76,20.91,4.37,68.06
2017,1,20,0,11.15,20.78,3.9,68.1
2017,1,21,0.32,12.99,19.96,7.64,43.47
2017,1,22,0.21,15.98,25.5,9.11,46.84
2017,1,23,0,16.33,25.7,8.72,58.93
2017,1,24,0,17.65,26.83,11.74,58.95
2017,1,25,2.35,18.24,26.27,12.29,42.97
2017,1,26,23.18,15.39,20.44,11.58,9.84
2017,1,27,5.79,13.44,19.76,8.21,55.3
2017,1,28,0,13.4,21.58,7.06,58.03
2017,1,29,0,14.3,23.61,7.8,67.32
2017,1,30,0,15.15,25.2,10.08,68.45
2017,1,31,0,15.12,24.59,11.35,68.49
2017,2,1,0,14.41,23.29,8.66,72.1
2017,2,2,0,14.38,23.89,9.23,63.9
2017,2,3,0,15.66,25.68,8.79,66.43
2017,2,4,0,17.86,26.76,11.05,56.48
2017,2,5,0.07,16.82,24.81,11.19,54.72
2017,2,6,0,13.28,22.12,6.27,68.04
2017,2,7,0,13.23,22.36,5.08,84.77
2017,2,8,0,15.03,25.23,9.76,81.3
2017,2,9,0,13.42,22.78,8.3,82.37
2017,2,10,0,13.37,23.31,6.02,87.43
2017,2,11,0,14.26,24.63,8.36,84.55
2017,2,12,0,14,24.16,7.65,66.95
2017,2,13,0,14.01,24.69,6.28,76.72
2017,2,14,0,15.49,26.8,7.44,85.28
2017,2,15,0,18.35,28.94,10.8,85.24
2017,2,16,0,20.2,29.45,14.55,81.44
2017,2,17,0,20.4,28.75,13.59,72.75
2017,2,18,0,20.97,31.26,13.38,86.18
2017,2,19,0,22.64,32.21,15.89,86.53
2017,2,20,0,22.22,31.87,14.17,84.76
2017,2,21,0,17.45,26.41,10.83,91.55
