system:index,.geo
0,"{""type"":""Point"",""coordinates"":[77.3114721143783,28.16358730269509]}"
1,"{""type"":""Point"",""coordinates"":[77.37339870919705,28.475572146539303]}"
2,"{""type"":""Point"",""coordinates"":[77.15317291624662,28.371213830109287]}"
3,"{""type"":""Point"",""coordinates"":[77.25327687094386,28.25890308876158]}"
4,"{""type"":""Point"",""coordinates"":[77.30606448103768,27.941906788247884]}"
5,"{""type"":""Point"",""coordinates"":[77.4210336622839,27.934124356189837]}"
6,"{""type"":""Point"",""coordinates"":[77.31202089928854,28.2427441266737]}"
7,"{""type"":""Point"",""coordinates"":[77.25899330326244,28.26238349725755]}"
8,"{""type"":""Point"",""coordinates"":[77.34641218584119,28.416353667347686]}"
9,"{""type"":""Point"",""coordinates"":[77.38225722522057,28.158523974587002]}"
10,"{""type"":""Point"",""coordinates"":[77.31550122043159,28.162605655623217]}"
11,"{""type"":""Point"",""coordinates"":[77.30761945662815,28.284132830760655]}"
12,"{""type"":""Point"",""coordinates"":[77.32241941757546,28.08959701722945]}"
13,"{""type"":""Point"",""coordinates"":[77.44600668397277,28.088188390081964]}"
14,"{""type"":""Point"",""coordinates"":[77.14366357142707,28.36528047265971]}"
15,"{""type"":""Point"",""coordinates"":[77.26336119104812,28.255766266387333]}"
16,"{""type"":""Point"",""coordinates"":[77.28915307281677,27.966539715433843]}"
17,"{""type"":""Point"",""coordinates"":[77.46598054391042,28.084809701320648]}"
18,"{""type"":""Point"",""coordinates"":[77.29730249392222,27.89658907647647]}"
19,"{""type"":""Point"",""coordinates"":[77.12485508307272,28.089103763926133]}"
20,"{""type"":""Point"",""coordinates"":[77.36953760103371,28.009536346596363]}"
21,"{""type"":""Point"",""coordinates"":[77.36677048381503,27.96233119805364]}"
22,"{""type"":""Point"",""coordinates"":[77.34669640009909,28.336055991421105]}"
23,"{""type"":""Point"",""coordinates"":[77.2646617943457,28.011184733038622]}"
24,"{""type"":""Point"",""coordinates"":[77.2535803005853,28.42205820613468]}"
25,"{""type"":""Point"",""coordinates"":[77.38894064594311,28.252310245635055]}"
26,"{""type"":""Point"",""coordinates"":[77.13553757346227,28.076835200873592]}"
27,"{""type"":""Point"",""coordinates"":[77.17812414306134,28.32490921247317]}"
28,"{""type"":""Point"",""coordinates"":[77.39813069874097,28.042898436941908]}"
29,"{""type"":""Point"",""coordinates"":[77.32043836437884,28.371699869141736]}"
