system:time_start,ndre
"Dec 16, 2018",0.323
"Dec 16, 2018",0.133
"Dec 16, 2018",0.492
"Dec 21, 2018",0.298
"Dec 21, 2018",0.201
"Dec 21, 2018",0.511
"Dec 26, 2018",0.324
"Dec 26, 2018",0.199
"Dec 26, 2018",0.555
"Dec 31, 2018",0.325
"Dec 31, 2018",0.226
"Dec 31, 2018",0.607
"Jan 5, 2019",0.252
"Jan 5, 2019",0.182
"Jan 5, 2019",0.424
"Jan 10, 2019",0.361
"Jan 10, 2019",0.6
"Jan 20, 2019",0.46
"Jan 25, 2019",0.415
"Jan 25, 2019",0.419
"Jan 25, 2019",0.58
"Feb 4, 2019",0.636
"Feb 9, 2019",0.482
"Feb 9, 2019",0.756
"Feb 9, 2019",0.656
"Feb 19, 2019",0.63
"Feb 19, 2019",0.529
"Feb 24, 2019",0.416
"Feb 24, 2019",0.733
"Mar 1, 2019",0.478
"Mar 1, 2019",0.765
"Mar 1, 2019",0.612
"Mar 6, 2019",0.488
"Mar 6, 2019",0.794
"Mar 6, 2019",0.593
"Mar 11, 2019",0.404
"Mar 11, 2019",0.567
"Mar 11, 2019",0.493
"Mar 16, 2019",0.45
"Mar 16, 2019",0.741
"Mar 16, 2019",0.497
"Mar 21, 2019",0.294
"Mar 21, 2019",0.527
"Mar 26, 2019",0.353
"Mar 26, 2019",0.562
"Mar 26, 2019",0.321
"Mar 31, 2019",0.261
"Mar 31, 2019",0.357
"Apr 5, 2019",0.18
"Apr 5, 2019",0.188
"Apr 5, 2019",0.127
"Apr 10, 2019",0.126
"Apr 10, 2019",0.072
"Apr 10, 2019",0.08
"Apr 15, 2019",0.127
"Apr 20, 2019",0.097
"Apr 20, 2019",0.086
"Apr 20, 2019",0.058
"Apr 25, 2019",0.092
"Apr 25, 2019",0.062
"Apr 25, 2019",0.059
"Apr 30, 2019",0.101
"Apr 30, 2019",0.091
"Apr 30, 2019",0.058
"May 5, 2019",0.141
"May 5, 2019",0.087
"May 5, 2019",0.079
"May 10, 2019",0.087
"May 10, 2019",0.067
"May 10, 2019",0.045
"May 15, 2019",0.039
"May 20, 2019",0.111
"May 20, 2019",0.064
"May 25, 2019",0.119
"May 25, 2019",0.041
"May 25, 2019",0.064
"May 30, 2019",0.109
"May 30, 2019",0.046
"May 30, 2019",0.057
"Jun 4, 2019",0.115
"Jun 4, 2019",0.037
"Jun 4, 2019",0.058
"Jun 9, 2019",0.143
"Jun 9, 2019",0.047
"Jun 9, 2019",0.08
"Jun 14, 2019",0.156
"Jun 14, 2019",0.052
"Jun 14, 2019",0.092
"Jun 19, 2019",-0.01
"Jun 24, 2019",0.065
"Jun 29, 2019",0.131
"Jun 29, 2019",0.015
"Jun 29, 2019",0.067
"Jul 14, 2019",0.088
"Jul 14, 2019",0.115
"Aug 8, 2019",0.402
"Aug 8, 2019",0.465
"Aug 23, 2019",0.399
"Aug 23, 2019",0.633
"Aug 23, 2019",0.425
"Aug 28, 2019",0.353
"Aug 28, 2019",0.495
"Sep 2, 2019",0.317
"Sep 12, 2019",0.204
"Sep 17, 2019",-0.034
"Sep 17, 2019",0.052
"Oct 2, 2019",0.17
"Oct 2, 2019",0.133
"Oct 2, 2019",0.188
"Oct 7, 2019",0.167
"Oct 12, 2019",0.281
"Oct 12, 2019",0.075
"Oct 12, 2019",0.252
"Oct 17, 2019",0.217
"Oct 17, 2019",0.082
"Oct 17, 2019",0.23
"Oct 27, 2019",0.171
"Oct 27, 2019",0.066
"Oct 27, 2019",0.226
"Nov 1, 2019",0.159
"Nov 6, 2019",0.117
"Nov 11, 2019",0.016
"Nov 16, 2019",0.124
"Nov 16, 2019",0.05
"Nov 16, 2019",0.165
"Nov 26, 2019",0.161
"Dec 1, 2019",0.231
"Dec 1, 2019",0.087
"Jan 5, 2020",0.307
"Jan 5, 2020",0.252
"Jan 5, 2020",0.458
"Jan 10, 2020",0.373
"Jan 10, 2020",0.387
"Jan 10, 2020",0.585
"Jan 15, 2020",0.32
"Jan 15, 2020",0.432
"Jan 25, 2020",0.418
"Jan 25, 2020",0.531
"Jan 25, 2020",0.601
"Jan 30, 2020",0.453
"Jan 30, 2020",0.642
"Jan 30, 2020",0.598
"Feb 4, 2020",0.399
"Feb 4, 2020",0.615
"Feb 4, 2020",0.554
"Feb 9, 2020",0.406
"Feb 9, 2020",0.619
"Feb 9, 2020",0.542
"Feb 14, 2020",0.416
"Feb 14, 2020",0.682
"Feb 14, 2020",0.589
"Feb 19, 2020",0.542
"Feb 24, 2020",0.407
"Feb 24, 2020",0.575
"Feb 24, 2020",0.56
"Feb 29, 2020",0.523
"Feb 29, 2020",0.455
"Mar 5, 2020",0.532
"Mar 5, 2020",0.453
"Mar 10, 2020",0.374
"Mar 10, 2020",0.604
"Mar 10, 2020",0.44
"Mar 15, 2020",0.308
"Mar 15, 2020",0.326
"Mar 25, 2020",0.281
"Mar 25, 2020",0.258
"Mar 25, 2020",0.276
"Mar 30, 2020",0.259
"Mar 30, 2020",0.204
"Mar 30, 2020",0.179
"Apr 4, 2020",0.202
"Apr 4, 2020",0.065
"Apr 4, 2020",0.136
