system:time_start,ndvi
"Dec 16, 2018",0.459
"Dec 16, 2018",0.225
"Dec 16, 2018",0.665
"Dec 21, 2018",0.429
"Dec 21, 2018",0.241
"Dec 21, 2018",0.701
"Dec 26, 2018",0.452
"Dec 26, 2018",0.264
"Dec 26, 2018",0.719
"Dec 31, 2018",0.468
"Dec 31, 2018",0.314
"Dec 31, 2018",0.818
"Jan 5, 2019",0.349
"Jan 5, 2019",0.245
"Jan 5, 2019",0.546
"Jan 10, 2019",0.512
"Jan 10, 2019",0.776
"Jan 20, 2019",0.65
"Jan 25, 2019",0.567
"Jan 25, 2019",0.537
"Jan 25, 2019",0.732
"Feb 4, 2019",0.794
"Feb 9, 2019",0.644
"Feb 9, 2019",0.933
"Feb 9, 2019",0.807
"Feb 19, 2019",0.783
"Feb 19, 2019",0.665
"Feb 24, 2019",0.541
"Feb 24, 2019",0.857
"Mar 1, 2019",0.637
"Mar 1, 2019",0.921
"Mar 1, 2019",0.765
"Mar 6, 2019",0.651
"Mar 6, 2019",0.943
"Mar 6, 2019",0.764
"Mar 11, 2019",0.581
"Mar 11, 2019",0.73
"Mar 11, 2019",0.679
"Mar 16, 2019",0.615
"Mar 16, 2019",0.912
"Mar 16, 2019",0.676
"Mar 21, 2019",0.449
"Mar 21, 2019",0.728
"Mar 26, 2019",0.532
"Mar 26, 2019",0.809
"Mar 26, 2019",0.498
"Mar 31, 2019",0.429
"Mar 31, 2019",0.574
"Apr 5, 2019",0.301
"Apr 5, 2019",0.354
"Apr 5, 2019",0.226
"Apr 10, 2019",0.231
"Apr 10, 2019",0.155
"Apr 10, 2019",0.162
"Apr 15, 2019",0.204
"Apr 20, 2019",0.178
"Apr 20, 2019",0.113
"Apr 20, 2019",0.114
"Apr 25, 2019",0.157
"Apr 25, 2019",0.093
"Apr 25, 2019",0.107
"Apr 30, 2019",0.176
"Apr 30, 2019",0.108
"Apr 30, 2019",0.123
"May 5, 2019",0.203
"May 5, 2019",0.109
"May 5, 2019",0.129
"May 10, 2019",0.157
"May 10, 2019",0.095
"May 10, 2019",0.103
"May 15, 2019",0.088
"May 20, 2019",0.194
"May 20, 2019",0.119
"May 25, 2019",0.209
"May 25, 2019",0.09
"May 25, 2019",0.107
"May 30, 2019",0.185
"May 30, 2019",0.099
"May 30, 2019",0.107
"Jun 4, 2019",0.191
"Jun 4, 2019",0.082
"Jun 4, 2019",0.111
"Jun 9, 2019",0.241
"Jun 9, 2019",0.103
"Jun 9, 2019",0.122
"Jun 14, 2019",0.241
"Jun 14, 2019",0.088
"Jun 14, 2019",0.147
"Jun 19, 2019",0.027
"Jun 24, 2019",0.121
"Jun 29, 2019",0.231
"Jun 29, 2019",0.066
"Jun 29, 2019",0.129
"Jul 14, 2019",0.139
"Jul 14, 2019",0.188
"Aug 8, 2019",0.623
"Aug 8, 2019",0.707
"Aug 23, 2019",0.586
"Aug 23, 2019",0.849
"Aug 23, 2019",0.612
"Aug 28, 2019",0.531
"Aug 28, 2019",0.774
"Sep 2, 2019",0.436
"Sep 12, 2019",0.293
"Sep 17, 2019",0.02
"Sep 17, 2019",0.143
"Oct 2, 2019",0.28
"Oct 2, 2019",0.199
"Oct 2, 2019",0.329
"Oct 7, 2019",0.315
"Oct 12, 2019",0.431
"Oct 12, 2019",0.116
"Oct 12, 2019",0.394
"Oct 17, 2019",0.336
"Oct 17, 2019",0.126
"Oct 17, 2019",0.368
"Oct 27, 2019",0.257
"Oct 27, 2019",0.105
"Oct 27, 2019",0.333
"Nov 1, 2019",0.236
"Nov 6, 2019",0.163
"Nov 11, 2019",0.033
"Nov 16, 2019",0.206
"Nov 16, 2019",0.097
"Nov 16, 2019",0.247
"Nov 26, 2019",0.238
"Dec 1, 2019",0.335
"Dec 1, 2019",0.149
"Jan 5, 2020",0.444
"Jan 5, 2020",0.426
"Jan 5, 2020",0.621
"Jan 10, 2020",0.513
"Jan 10, 2020",0.591
"Jan 10, 2020",0.761
"Jan 15, 2020",0.461
"Jan 15, 2020",0.574
"Jan 25, 2020",0.584
"Jan 25, 2020",0.768
"Jan 25, 2020",0.775
"Jan 30, 2020",0.618
"Jan 30, 2020",0.848
"Jan 30, 2020",0.799
"Feb 4, 2020",0.565
"Feb 4, 2020",0.827
"Feb 4, 2020",0.716
"Feb 9, 2020",0.546
"Feb 9, 2020",0.754
"Feb 9, 2020",0.692
"Feb 14, 2020",0.56
"Feb 14, 2020",0.855
"Feb 14, 2020",0.752
"Feb 19, 2020",0.685
"Feb 24, 2020",0.552
"Feb 24, 2020",0.74
"Feb 24, 2020",0.725
"Feb 29, 2020",0.658
"Feb 29, 2020",0.602
