system:time_start,savi
"Dec 16, 2018",0.278
"Dec 16, 2018",0.124
"Dec 16, 2018",0.436
"Dec 21, 2018",0.271
"Dec 21, 2018",0.147
"Dec 21, 2018",0.481
"Dec 26, 2018",0.284
"Dec 26, 2018",0.169
"Dec 26, 2018",0.508
"Dec 31, 2018",0.295
"Dec 31, 2018",0.219
"Dec 31, 2018",0.585
"Jan 5, 2019",0.237
"Jan 5, 2019",0.186
"Jan 5, 2019",0.397
"Jan 10, 2019",0.33
"Jan 10, 2019",0.549
"Jan 20, 2019",0.387
"Jan 25, 2019",0.375
"Jan 25, 2019",0.383
"Jan 25, 2019",0.524
"Feb 4, 2019",0.544
"Feb 9, 2019",0.43
"Feb 9, 2019",0.661
"Feb 9, 2019",0.597
"Feb 19, 2019",0.573
"Feb 19, 2019",0.509
"Feb 24, 2019",0.371
"Feb 24, 2019",0.545
"Mar 1, 2019",0.424
"Mar 1, 2019",0.693
"Mar 1, 2019",0.522
"Mar 6, 2019",0.42
"Mar 6, 2019",0.699
"Mar 6, 2019",0.491
"Mar 11, 2019",0.377
"Mar 11, 2019",0.508
"Mar 11, 2019",0.439
"Mar 16, 2019",0.391
"Mar 16, 2019",0.643
"Mar 16, 2019",0.422
"Mar 21, 2019",0.293
"Mar 21, 2019",0.476
"Mar 26, 2019",0.324
"Mar 26, 2019",0.492
"Mar 26, 2019",0.303
"Mar 31, 2019",0.257
"Mar 31, 2019",0.333
"Apr 5, 2019",0.181
"Apr 5, 2019",0.207
"Apr 5, 2019",0.148
"Apr 10, 2019",0.143
"Apr 10, 2019",0.104
"Apr 10, 2019",0.11
"Apr 15, 2019",0.139
"Apr 20, 2019",0.114
"Apr 20, 2019",0.081
"Apr 20, 2019",0.072
"Apr 25, 2019",0.102
"Apr 25, 2019",0.067
"Apr 25, 2019",0.073
"Apr 30, 2019",0.117
"Apr 30, 2019",0.08
"Apr 30, 2019",0.082
"May 5, 2019",0.137
"May 5, 2019",0.083
"May 5, 2019",0.091
"May 10, 2019",0.107
"May 10, 2019",0.073
"May 10, 2019",0.072
"May 15, 2019",0.063
"May 20, 2019",0.131
"May 20, 2019",0.088
"May 25, 2019",0.145
"May 25, 2019",0.074
"May 25, 2019",0.08
"May 30, 2019",0.128
"May 30, 2019",0.08
"May 30, 2019",0.08
"Jun 4, 2019",0.129
"Jun 4, 2019",0.065
"Jun 4, 2019",0.078
"Jun 9, 2019",0.161
"Jun 9, 2019",0.081
"Jun 9, 2019",0.09
"Jun 14, 2019",0.168
"Jun 14, 2019",0.072
"Jun 14, 2019",0.102
"Jun 19, 2019",0.029
"Jun 24, 2019",0.085
"Jun 29, 2019",0.163
"Jun 29, 2019",0.053
"Jun 29, 2019",0.093
"Jul 14, 2019",0.11
"Jul 14, 2019",0.138
"Aug 8, 2019",0.415
"Aug 8, 2019",0.475
"Aug 23, 2019",0.403
"Aug 23, 2019",0.643
"Aug 23, 2019",0.406
"Aug 28, 2019",0.358
"Aug 28, 2019",0.564
"Sep 2, 2019",0.299
"Sep 12, 2019",0.231
"Sep 17, 2019",0.017
"Sep 17, 2019",0.072
"Oct 2, 2019",0.186
"Oct 2, 2019",0.149
"Oct 2, 2019",0.226
"Oct 7, 2019",0.227
"Oct 12, 2019",0.272
"Oct 12, 2019",0.08
"Oct 12, 2019",0.268
"Oct 17, 2019",0.215
"Oct 17, 2019",0.09
"Oct 17, 2019",0.241
"Oct 27, 2019",0.169
"Oct 27, 2019",0.073
"Oct 27, 2019",0.225
"Nov 1, 2019",0.164
"Nov 6, 2019",0.137
"Nov 11, 2019",0.024
"Nov 16, 2019",0.125
"Nov 16, 2019",0.066
"Nov 16, 2019",0.168
"Nov 26, 2019",0.159
"Dec 1, 2019",0.207
"Dec 1, 2019",0.086
"Jan 5, 2020",0.283
"Jan 5, 2020",0.249
"Jan 5, 2020",0.426
"Jan 10, 2020",0.323
"Jan 10, 2020",0.328
"Jan 10, 2020",0.52
"Jan 15, 2020",0.298
"Jan 15, 2020",0.389
"Jan 25, 2020",0.384
"Jan 25, 2020",0.475
"Jan 25, 2020",0.553
"Jan 30, 2020",0.409
"Jan 30, 2020",0.559
"Jan 30, 2020",0.572
"Feb 4, 2020",0.389
"Feb 4, 2020",0.552
"Feb 4, 2020",0.528
"Feb 9, 2020",0.389
"Feb 9, 2020",0.57
"Feb 9, 2020",0.509
"Feb 14, 2020",0.377
"Feb 14, 2020",0.587
"Feb 14, 2020",0.544
"Feb 19, 2020",0.515
"Feb 24, 2020",0.369
"Feb 24, 2020",0.502
"Feb 24, 2020",0.514
"Feb 29, 2020",0.443
"Feb 29, 2020",0.41
"Mar 5, 2020",0.464
"Mar 5, 2020",0.426
"Mar 10, 2020",0.346
"Mar 10, 2020",0.516
"Mar 10, 2020",0.419
"Mar 15, 2020",0.3
"Mar 15, 2020",0.192
"Mar 25, 2020",0.284
"Mar 25, 2020",0.289
"Mar 25, 2020",0.298
"Mar 30, 2020",0.241
"Mar 30, 2020",0.185
"Mar 30, 2020",0.187
"Apr 4, 2020",0.197
"Apr 4, 2020",0.139
"Apr 4, 2020",0.13
"Apr 9, 2020",0.122
"Apr 19, 2020",0.149
"Apr 19, 2020",0.091
"Apr 19, 2020",0.096
"Apr 24, 2020",0.138
"Apr 24, 2020",0.08
"Apr 24, 2020",0.084
"Apr 29, 2020",0.132
"Apr 29, 2020",0.074
"Apr 29, 2020",0.079
"May 4, 2020",0.076
"May 9, 2020",0.14
"May 9, 2020",0.073
"May 9, 2020",0.075
"May 14, 2020",0.145
"May 14, 2020",0.068
"May 14, 2020",0.089
"May 24, 2020",0.163
"May 24, 2020",0.069
"May 24, 2020",0.136
"May 29, 2020",0.06
"Jun 3, 2020",0.245
"Jun 3, 2020",0.058
"Jun 3, 2020",0.258
"Jun 8, 2020",0.255
"Jun 8, 2020",0.068
"Jun 8, 2020",0.261
"Jun 13, 2020",0.193
"Jun 13, 2020",0.186
"Jun 18, 2020",0.28
"Jun 18, 2020",0.072
"Jun 18, 2020",0.239
"Jun 23, 2020",0.081
"Jun 28, 2020",0.08
"Jul 3, 2020",0.231
"Jul 3, 2020",0.092
"Jul 3, 2020",0.233
"Jul 13, 2020",0.292
"Jul 13, 2020",0.223
"Jul 13, 2020",0.271
"Aug 2, 2020",0.33
"Aug 2, 2020",0.443
"Aug 2, 2020",0.402
"Aug 17, 2020",0.326
"Sep 1, 2020",0.506
"Sep 6, 2020",0.085
"Sep 6, 2020",0.288
"Sep 11, 2020",0.403
"Sep 11, 2020",0.433
"Sep 11, 2020",0.512
"Sep 16, 2020",0.349
"Sep 16, 2020",0.346
"Sep 16, 2020",0.326
"Sep 21, 2020",0.281
"Sep 21, 2020",0.271
"Sep 21, 2020",0.374
"Sep 26, 2020",0.208
"Sep 26, 2020",0.389
"Oct 1, 2020",0.278
"Oct 1, 2020",0.198
"Oct 1, 2020",0.355
"Oct 6, 2020",0.25
"Oct 6, 2020",0.101
"Oct 6, 2020",0.291
"Oct 11, 2020",0.214
"Oct 11, 2020",0.23
"Oct 16, 2020",0.173
"Oct 16, 2020",0.092
"Oct 16, 2020",0.168
"Oct 21, 2020",0.174
"Oct 21, 2020",0.098
"Oct 21, 2020",0.137
"Oct 26, 2020",0.136
"Oct 26, 2020",0.089
"Oct 26, 2020",0.117
"Oct 31, 2020",0.131
"Oct 31, 2020",0.089
"Oct 31, 2020",0.082
"Nov 5, 2020",0.078
"Nov 5, 2020",0.068
