-BEGIN HEADER-,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,
Dates (month/day/year): 01/01/2017 through 12/09/2022 ,,,,,,,
Location: Latitude  27.8966   Longitude 77.2973 ,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 190.87 meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,
Parameter(s): ,,,,,,,
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,
TS                     MERRA-2 Earth Skin Temperature (C) ,,,,,,,
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) ,,,,,,,
-END HEADER-,,,,,,,
YEAR,MO,DY,PRECTOTCORR,TS,T2M_MAX,T2M_MIN,ALLSKY_SFC_PAR_TOT
2017,1,1,0,14.04,22.55,8.09,40.66
2017,1,2,0,14.95,23.59,8.95,39.35
2017,1,3,0,16.01,25.26,8.31,53.98
2017,1,4,0,15.84,25.37,11.33,47.98
2017,1,5,0,16,26.67,10.58,54.55
2017,1,6,0.01,16.43,26.54,10.31,63.13
2017,1,7,3.19,17.04,23.24,12.21,23.58
2017,1,8,0.03,14.6,21.42,8.65,33.98
2017,1,9,0,12.89,20.45,7.35,53.56
2017,1,10,0,10.56,19.62,4.45,68.8
2017,1,11,0,9.3,19.4,2.19,72.59
2017,1,12,0,9.44,19.09,2.71,65.81
2017,1,13,0,10.73,20.58,4.46,60.93
2017,1,14,0,11.27,21.65,3.84,55.34
2017,1,15,0,13.7,23.84,5.9,61.75
2017,1,16,0,14.25,24.2,7.17,59.44
2017,1,17,0,11.87,19.69,4.7,62.65
2017,1,18,0,13.22,23.29,4.84,62.13
2017,1,19,0,13.37,22.99,5.8,70.51
2017,1,20,0,12.25,21.19,4.54,70.88
2017,1,21,0,13.69,21.57,7.3,41.7
2017,1,22,0,16.87,26.86,9.68,52.27
2017,1,23,0,17.35,26.81,9.39,62.3
2017,1,24,0,17.88,27.15,9.76,61.82
2017,1,25,0,19.05,27.63,12.5,52.41
2017,1,26,5.74,19.7,28.34,13.26,38.28
2017,1,27,16.99,14.87,20.22,10.26,62.22
2017,1,28,0,14.61,23.02,7.19,78.04
2017,1,29,0,15.19,25.01,8.18,68.76
2017,1,30,0,15.84,25.75,8.51,69.55
2017,1,31,0,16.08,25.67,9.13,71.09
2017,2,1,0,15.51,24.48,8.46,77.88
2017,2,2,0,15.1,24.91,8.67,68.93
2017,2,3,0,15.75,26.26,7.6,69.05
2017,2,4,0,17.7,26.32,10.78,59.49
2017,2,5,0.18,18.6,27.34,10.85,48.48
2017,2,6,0.03,16,23.94,10.21,63.49
2017,2,7,0,14.78,24.15,6.77,87.2
2017,2,8,0,15.76,25.51,8.26,81.51
2017,2,9,0,15.1,23.54,9.26,84.03
2017,2,10,0,14.26,23.98,7.06,89.33
2017,2,11,0,14.97,25.15,7.19,86.78
2017,2,12,0,15.47,25.36,6.98,68.79
2017,2,13,0,15.65,25.57,7.89,78.03
2017,2,14,0,16.08,27.67,7.23,90.5
2017,2,15,0,18.3,29.36,9.58,85.83
2017,2,16,0,20.36,30.83,13.26,90.44
2017,2,17,0,21.99,32.22,14.19,69.45
2017,2,18,0,21.91,31.88,12.94,94.63
2017,2,19,0,22.74,32.88,14.37,91.33
2017,2,20,0,22.83,32.87,15.47,89.23
2017,2,21,0,19.65,27.85,12.41,96.15
