system:index,.geo
0,"{""type"":""Point"",""coordinates"":[75.41298553520588,29.50911719173326]}"
1,"{""type"":""Point"",""coordinates"":[75.93606965939946,29.601418024544163]}"
2,"{""type"":""Point"",""coordinates"":[75.52678293480037,29.759572802709236]}"
3,"{""type"":""Point"",""coordinates"":[75.66552096977168,29.721086209163616]}"
4,"{""type"":""Point"",""coordinates"":[75.70205891228879,29.639825492836465]}"
5,"{""type"":""Point"",""coordinates"":[75.28617157253936,29.369009515492948]}"
6,"{""type"":""Point"",""coordinates"":[75.3590944634832,29.599962034777068]}"
7,"{""type"":""Point"",""coordinates"":[75.34515260240892,29.635539793421223]}"
8,"{""type"":""Point"",""coordinates"":[75.78418621556291,29.57506622667583]}"
9,"{""type"":""Point"",""coordinates"":[75.4868429386093,29.60439687457003]}"
10,"{""type"":""Point"",""coordinates"":[75.41763519222488,29.514826649587743]}"
11,"{""type"":""Point"",""coordinates"":[75.43718375651831,29.495015244083927]}"
12,"{""type"":""Point"",""coordinates"":[75.47755896873966,29.555763516781187]}"
13,"{""type"":""Point"",""coordinates"":[75.59625169364834,29.717240367156144]}"
14,"{""type"":""Point"",""coordinates"":[75.52103334549682,29.764586171049675]}"
15,"{""type"":""Point"",""coordinates"":[75.30552793809842,29.407900802841834]}"
16,"{""type"":""Point"",""coordinates"":[75.68736207196001,29.612927852133268]}"
17,"{""type"":""Point"",""coordinates"":[75.39449532521884,29.412108408685626]}"
18,"{""type"":""Point"",""coordinates"":[75.89648982066217,29.68521174167567]}"
19,"{""type"":""Point"",""coordinates"":[75.71182366595689,29.454684985550752]}"
20,"{""type"":""Point"",""coordinates"":[75.5178714978303,29.64499303069765]}"
21,"{""type"":""Point"",""coordinates"":[75.64314760954679,29.685884944175793]}"
22,"{""type"":""Point"",""coordinates"":[75.6216996196407,29.553910916488938]}"
23,"{""type"":""Point"",""coordinates"":[75.65688412220327,29.569822768893573]}"
24,"{""type"":""Point"",""coordinates"":[75.36391630238037,29.65799949552418]}"
25,"{""type"":""Point"",""coordinates"":[75.35819336817795,29.55105040403618]}"
26,"{""type"":""Point"",""coordinates"":[75.79893392681919,29.755905625390987]}"
27,"{""type"":""Point"",""coordinates"":[75.47849109638733,29.772655287355708]}"
28,"{""type"":""Point"",""coordinates"":[75.50596873003508,29.667815971619245]}"
29,"{""type"":""Point"",""coordinates"":[75.65340118060966,29.593034236357404]}"
