system:time_start,ndre
"Dec 14, 2018",0.259
"Dec 14, 2018",0.248
"Dec 16, 2018",0.306
"Dec 16, 2018",0.294
"Dec 19, 2018",0.333
"Dec 19, 2018",0.305
"Dec 21, 2018",0.393
"Dec 21, 2018",0.3
"Dec 24, 2018",0.229
"Dec 24, 2018",0.221
"Dec 26, 2018",0.414
"Dec 26, 2018",0.309
"Dec 29, 2018",0.42
"Dec 29, 2018",0.344
"Dec 31, 2018",0.487
"Dec 31, 2018",0.341
"Jan 13, 2019",0.331
"Jan 13, 2019",0.306
"Jan 23, 2019",0.62
"Jan 25, 2019",0.646
"Jan 25, 2019",0.51
"Jan 28, 2019",0.66
"Jan 28, 2019",0.556
"Feb 4, 2019",0.69
"Feb 4, 2019",0.521
"Feb 9, 2019",0.711
"Feb 9, 2019",0.552
"Feb 17, 2019",0.372
"Feb 19, 2019",0.428
"Feb 19, 2019",0.47
"Feb 22, 2019",0.417
"Feb 24, 2019",0.713
"Feb 24, 2019",0.471
"Feb 27, 2019",0.722
"Feb 27, 2019",0.553
"Mar 1, 2019",0.721
"Mar 1, 2019",0.578
"Mar 6, 2019",0.708
"Mar 6, 2019",0.581
"Mar 9, 2019",0.732
"Mar 9, 2019",0.61
"Mar 19, 2019",0.678
"Mar 19, 2019",0.555
"Mar 19, 2019",0.507
"Mar 21, 2019",0.649
"Mar 21, 2019",0.564
"Mar 24, 2019",0.621
"Mar 24, 2019",0.497
"Mar 26, 2019",0.58
"Mar 26, 2019",0.481
"Mar 29, 2019",0.426
"Mar 31, 2019",0.428
"Mar 31, 2019",0.408
"Apr 3, 2019",0.351
"Apr 5, 2019",0.173
"Apr 5, 2019",0.296
"Apr 8, 2019",0.226
"Apr 8, 2019",0.219
"Apr 10, 2019",0.114
"Apr 10, 2019",0.188
"Apr 15, 2019",0.097
"Apr 15, 2019",0.158
"Apr 18, 2019",0.081
"Apr 18, 2019",0.112
"Apr 20, 2019",-0.069
"Apr 20, 2019",0.131
"Apr 23, 2019",0.097
"Apr 23, 2019",0.098
"Apr 28, 2019",0.096
"Apr 28, 2019",0.112
"Apr 30, 2019",0.091
"Apr 30, 2019",0.097
"May 3, 2019",0.103
"May 3, 2019",0.09
"May 5, 2019",0.057
"May 5, 2019",0.102
"May 8, 2019",0.085
"May 8, 2019",0.09
"May 10, 2019",0.053
"May 10, 2019",0.071
"May 13, 2019",0.046
"May 15, 2019",0.067
"May 18, 2019",0.036
"May 18, 2019",0.063
"May 25, 2019",-0.004
"May 25, 2019",0.088
"May 28, 2019",0.063
"May 28, 2019",0.088
"May 30, 2019",0.025
"May 30, 2019",0.115
"Jun 2, 2019",0.041
"Jun 2, 2019",0.058
"Jun 7, 2019",0.049
"Jun 7, 2019",0.076
"Jun 9, 2019",-0.005
"Jun 9, 2019",0.079
"Jun 12, 2019",0.026
"Jun 12, 2019",0.043
"Jun 14, 2019",-0.011
"Jun 14, 2019",0.099
"Jun 17, 2019",0.007
"Jun 19, 2019",-0.093
"Jun 19, 2019",0.065
"Jun 22, 2019",0.003
"Jun 22, 2019",0.067
"Jun 24, 2019",-0.093
"Jun 24, 2019",0.043
"Jun 29, 2019",-0.024
"Jun 29, 2019",0.068
"Jul 2, 2019",-0.005
"Jul 2, 2019",0.064
"Jul 7, 2019",0.018
"Jul 24, 2019",0.299
"Aug 11, 2019",0.322
"Aug 11, 2019",0.218
"Aug 21, 2019",0.644
"Aug 21, 2019",0.485
"Aug 23, 2019",0.637
"Aug 23, 2019",0.45
"Aug 26, 2019",0.326
"Aug 28, 2019",0.646
"Aug 28, 2019",0.39
"Aug 31, 2019",0.495
"Aug 31, 2019",0.36
"Sep 2, 2019",0.452
"Sep 10, 2019",0.574
"Sep 10, 2019",0.474
"Sep 12, 2019",0.565
"Sep 15, 2019",0.442
"Sep 15, 2019",0.409
"Sep 17, 2019",0.534
"Sep 17, 2019",0.443
"Sep 20, 2019",0.384
"Sep 20, 2019",0.299
"Sep 25, 2019",0.403
"Sep 25, 2019",0.399
"Sep 27, 2019",0.423
"Sep 27, 2019",0.307
"Oct 2, 2019",0.365
"Oct 2, 2019",0.335
"Oct 5, 2019",0.468
"Oct 5, 2019",0.41
"Oct 7, 2019",0.361
"Oct 7, 2019",0.369
"Oct 10, 2019",0.364
"Oct 10, 2019",0.351
"Oct 12, 2019",0.27
"Oct 12, 2019",0.308
"Oct 15, 2019",0.354
"Oct 15, 2019",0.334
"Oct 17, 2019",0.207
"Oct 17, 2019",0.269
"Oct 20, 2019",0.321
"Oct 20, 2019",0.336
"Oct 22, 2019",0.203
"Oct 22, 2019",0.301
"Oct 25, 2019",0.168
"Oct 25, 2019",0.183
"Oct 27, 2019",0.124
"Oct 27, 2019",0.213
"Nov 4, 2019",0.14
"Nov 4, 2019",0.169
"Nov 6, 2019",0.06
