system:time_start,savi
"Dec 14, 2018",0.213
"Dec 14, 2018",0.22
"Dec 16, 2018",0.238
"Dec 16, 2018",0.254
"Dec 19, 2018",0.289
"Dec 19, 2018",0.267
"Dec 21, 2018",0.358
"Dec 21, 2018",0.277
"Dec 24, 2018",0.216
"Dec 24, 2018",0.214
"Dec 26, 2018",0.353
"Dec 26, 2018",0.28
"Dec 29, 2018",0.371
"Dec 29, 2018",0.309
"Dec 31, 2018",0.44
"Dec 31, 2018",0.325
"Jan 13, 2019",0.314
"Jan 13, 2019",0.291
"Jan 23, 2019",0.566
"Jan 25, 2019",0.625
"Jan 25, 2019",0.477
"Jan 28, 2019",0.582
"Jan 28, 2019",0.503
"Feb 4, 2019",0.65
"Feb 4, 2019",0.483
"Feb 9, 2019",0.683
"Feb 9, 2019",0.517
"Feb 17, 2019",0.375
"Feb 19, 2019",0.488
"Feb 19, 2019",0.472
"Feb 22, 2019",0.387
"Feb 24, 2019",0.646
"Feb 24, 2019",0.472
"Feb 27, 2019",0.648
"Feb 27, 2019",0.506
"Mar 1, 2019",0.655
"Mar 1, 2019",0.546
"Mar 6, 2019",0.616
"Mar 6, 2019",0.539
"Mar 9, 2019",0.623
"Mar 9, 2019",0.521
"Mar 19, 2019",0.587
"Mar 19, 2019",0.479
"Mar 19, 2019",0.436
"Mar 21, 2019",0.601
"Mar 21, 2019",0.529
"Mar 24, 2019",0.548
"Mar 24, 2019",0.447
"Mar 26, 2019",0.523
"Mar 26, 2019",0.447
"Mar 29, 2019",0.386
"Mar 31, 2019",0.411
"Mar 31, 2019",0.397
"Apr 3, 2019",0.336
"Apr 5, 2019",0.192
"Apr 5, 2019",0.323
"Apr 8, 2019",0.224
"Apr 8, 2019",0.223
"Apr 10, 2019",0.144
"Apr 10, 2019",0.213
"Apr 15, 2019",0.124
"Apr 15, 2019",0.186
"Apr 18, 2019",0.105
"Apr 18, 2019",0.125
"Apr 20, 2019",-0.044
"Apr 20, 2019",0.157
"Apr 23, 2019",0.104
"Apr 23, 2019",0.113
"Apr 28, 2019",0.104
"Apr 28, 2019",0.12
"Apr 30, 2019",0.094
"Apr 30, 2019",0.134
"May 3, 2019",0.101
"May 3, 2019",0.118
"May 5, 2019",0.091
"May 5, 2019",0.121
"May 8, 2019",0.092
"May 8, 2019",0.1
"May 10, 2019",0.075
"May 10, 2019",0.099
"May 13, 2019",0.071
"May 15, 2019",0.086
"May 18, 2019",0.05
"May 18, 2019",0.077
"May 25, 2019",0.062
"May 25, 2019",0.099
"May 28, 2019",0.083
"May 28, 2019",0.087
"May 30, 2019",0.056
"May 30, 2019",0.124
"Jun 2, 2019",0.053
"Jun 2, 2019",0.074
