system:index,.geo
0,"{""type"":""Point"",""coordinates"":[77.02806441243958,27.90507815505437]}"
1,"{""type"":""Point"",""coordinates"":[77.1893021945587,28.250517769536994]}"
2,"{""type"":""Point"",""coordinates"":[76.89695573105958,27.721436692013274]}"
3,"{""type"":""Point"",""coordinates"":[77.13426278119472,28.294330808933566]}"
4,"{""type"":""Point"",""coordinates"":[77.11308265891084,28.12620762307943]}"
5,"{""type"":""Point"",""coordinates"":[76.98068632856463,28.119844300939302]}"
6,"{""type"":""Point"",""coordinates"":[77.10540820303699,28.141879009813]}"
7,"{""type"":""Point"",""coordinates"":[77.01679563374485,27.836813436632788]}"
8,"{""type"":""Point"",""coordinates"":[77.14299015883702,28.282546825149026]}"
9,"{""type"":""Point"",""coordinates"":[76.99182426673958,28.01546049985384]}"
10,"{""type"":""Point"",""coordinates"":[77.0262416700628,27.91117138055421]}"
11,"{""type"":""Point"",""coordinates"":[77.06926607128187,28.28942724355681]}"
12,"{""type"":""Point"",""coordinates"":[77.05350109232226,28.23239567392914]}"
13,"{""type"":""Point"",""coordinates"":[76.98165671031096,28.097043926774358]}"
14,"{""type"":""Point"",""coordinates"":[76.89749090723595,27.718256519891995]}"
15,"{""type"":""Point"",""coordinates"":[77.02223348748748,27.854377587618753]}"
16,"{""type"":""Point"",""coordinates"":[77.1112337495822,27.845275215014123]}"
17,"{""type"":""Point"",""coordinates"":[77.0560695208366,28.00788568456023]}"
18,"{""type"":""Point"",""coordinates"":[77.10192017790376,27.962401684102307]}"
19,"{""type"":""Point"",""coordinates"":[77.29876873420783,27.89124696173854]}"
20,"{""type"":""Point"",""coordinates"":[76.96726760731741,28.23125248487652]}"
21,"{""type"":""Point"",""coordinates"":[77.12708400174093,28.170629859558407]}"
22,"{""type"":""Point"",""coordinates"":[76.92807775986081,28.335744937235773]}"
23,"{""type"":""Point"",""coordinates"":[77.09325071195104,27.864075533148]}"
24,"{""type"":""Point"",""coordinates"":[77.11146892583572,28.32361236489387]}"
25,"{""type"":""Point"",""coordinates"":[76.88631956707307,28.387781083951065]}"
26,"{""type"":""Point"",""coordinates"":[76.94068955320321,27.709469672613135]}"
27,"{""type"":""Point"",""coordinates"":[76.70625508471932,28.449594478031532]}"
28,"{""type"":""Point"",""coordinates"":[77.03320040745687,28.126112846015147]}"
29,"{""type"":""Point"",""coordinates"":[76.96921803236357,28.320482337487665]}"
