system:time_start,ndre
"Dec 16, 2018",0.3
"Dec 16, 2018",0.335
"Dec 16, 2018",0.521
"Dec 16, 2018",0.408
"Dec 21, 2018",0.273
"Dec 21, 2018",0.314
"Dec 21, 2018",0.5
"Dec 21, 2018",0.382
"Dec 26, 2018",0.309
"Dec 26, 2018",0.335
"Dec 26, 2018",0.6
"Dec 26, 2018",0.427
"Dec 31, 2018",0.274
"Dec 31, 2018",0.343
"Dec 31, 2018",0.579
"Dec 31, 2018",0.414
"Jan 5, 2019",0.144
"Jan 5, 2019",0.168
"Jan 5, 2019",0.354
"Jan 5, 2019",0.287
"Jan 10, 2019",0.326
"Jan 10, 2019",0.62
"Jan 10, 2019",0.471
"Jan 20, 2019",0.316
"Jan 20, 2019",0.425
"Jan 25, 2019",0.277
"Jan 25, 2019",0.289
"Jan 25, 2019",0.371
"Jan 25, 2019",0.35
"Jan 30, 2019",0.488
"Feb 4, 2019",0.38
"Feb 4, 2019",0.508
"Feb 9, 2019",0.402
"Feb 9, 2019",0.425
"Feb 9, 2019",0.628
"Feb 9, 2019",0.503
"Feb 19, 2019",0.302
"Feb 19, 2019",0.506
"Feb 19, 2019",0.409
"Feb 24, 2019",0.334
"Feb 24, 2019",0.362
"Mar 1, 2019",0.366
"Mar 1, 2019",0.396
"Mar 1, 2019",0.537
"Mar 1, 2019",0.454
"Mar 6, 2019",0.378
"Mar 6, 2019",0.403
"Mar 6, 2019",0.506
"Mar 6, 2019",0.44
"Mar 11, 2019",0.298
"Mar 11, 2019",0.285
"Mar 11, 2019",0.409
"Mar 11, 2019",0.372
"Mar 16, 2019",0.336
"Mar 16, 2019",0.363
"Mar 16, 2019",0.412
"Mar 21, 2019",0.179
"Mar 21, 2019",0.22
"Mar 21, 2019",0.268
"Mar 26, 2019",0.264
"Mar 26, 2019",0.265
"Mar 26, 2019",0.297
"Mar 26, 2019",0.301
"Mar 31, 2019",0.181
"Mar 31, 2019",0.187
"Apr 5, 2019",0.143
"Apr 5, 2019",0.139
"Apr 5, 2019",0.119
"Apr 5, 2019",0.14
"Apr 10, 2019",0.104
"Apr 10, 2019",0.111
"Apr 10, 2019",0.085
"Apr 10, 2019",0.107
"Apr 15, 2019",0.101
"Apr 20, 2019",0.101
"Apr 20, 2019",0.111
"Apr 20, 2019",0.079
"Apr 20, 2019",0.112
"Apr 25, 2019",0.083
"Apr 25, 2019",0.093
"Apr 25, 2019",0.065
"Apr 25, 2019",0.094
"Apr 30, 2019",0.096
"Apr 30, 2019",0.105
"Apr 30, 2019",0.079
"Apr 30, 2019",0.112
"May 5, 2019",0.123
"May 5, 2019",0.133
"May 5, 2019",0.106
"May 5, 2019",0.125
"May 10, 2019",0.079
"May 10, 2019",0.091
"May 10, 2019",0.059
"May 10, 2019",0.086
"May 15, 2019",0.037
"May 15, 2019",0.058
"May 20, 2019",0.086
"May 20, 2019",0.05
"May 20, 2019",0.052
"May 25, 2019",0.087
"May 25, 2019",0.1
"May 25, 2019",0.057
"May 25, 2019",0.084
"May 30, 2019",0.105
"May 30, 2019",0.116
"May 30, 2019",0.064
"May 30, 2019",0.088
