system:time_start,ndvi
"Dec 16, 2018",0.424
"Dec 16, 2018",0.479
"Dec 16, 2018",0.692
"Dec 16, 2018",0.579
"Dec 21, 2018",0.382
"Dec 21, 2018",0.442
"Dec 21, 2018",0.674
"Dec 21, 2018",0.516
"Dec 26, 2018",0.418
"Dec 26, 2018",0.457
"Dec 26, 2018",0.794
"Dec 26, 2018",0.59
"Dec 31, 2018",0.392
"Dec 31, 2018",0.489
"Dec 31, 2018",0.795
"Dec 31, 2018",0.56
"Jan 5, 2019",0.203
"Jan 5, 2019",0.232
"Jan 5, 2019",0.446
"Jan 5, 2019",0.384
"Jan 10, 2019",0.442
"Jan 10, 2019",0.812
"Jan 10, 2019",0.669
"Jan 20, 2019",0.44
"Jan 20, 2019",0.6
"Jan 25, 2019",0.379
"Jan 25, 2019",0.382
"Jan 25, 2019",0.479
"Jan 25, 2019",0.482
"Jan 30, 2019",0.678
"Feb 4, 2019",0.515
"Feb 4, 2019",0.691
"Feb 9, 2019",0.54
"Feb 9, 2019",0.571
"Feb 9, 2019",0.822
"Feb 9, 2019",0.684
"Feb 19, 2019",0.417
"Feb 19, 2019",0.669
"Feb 19, 2019",0.57
"Feb 24, 2019",0.472
"Feb 24, 2019",0.487
"Mar 1, 2019",0.503
"Mar 1, 2019",0.541
"Mar 1, 2019",0.699
"Mar 1, 2019",0.624
"Mar 6, 2019",0.529
"Mar 6, 2019",0.555
"Mar 6, 2019",0.652
"Mar 6, 2019",0.6
"Mar 11, 2019",0.428
"Mar 11, 2019",0.406
"Mar 11, 2019",0.578
"Mar 11, 2019",0.542
"Mar 16, 2019",0.463
"Mar 16, 2019",0.516
"Mar 16, 2019",0.538
"Mar 21, 2019",0.28
"Mar 21, 2019",0.34
"Mar 21, 2019",0.4
"Mar 26, 2019",0.377
"Mar 26, 2019",0.403
"Mar 26, 2019",0.442
"Mar 26, 2019",0.43
"Mar 31, 2019",0.288
"Mar 31, 2019",0.302
"Apr 5, 2019",0.214
"Apr 5, 2019",0.218
"Apr 5, 2019",0.179
"Apr 5, 2019",0.229
"Apr 10, 2019",0.18
"Apr 10, 2019",0.194
"Apr 10, 2019",0.154
"Apr 10, 2019",0.191
"Apr 15, 2019",0.16
"Apr 20, 2019",0.157
"Apr 20, 2019",0.178
"Apr 20, 2019",0.121
"Apr 20, 2019",0.171
"Apr 25, 2019",0.141
"Apr 25, 2019",0.153
"Apr 25, 2019",0.114
"Apr 25, 2019",0.158
"Apr 30, 2019",0.145
"Apr 30, 2019",0.162
"Apr 30, 2019",0.118
"Apr 30, 2019",0.17
"May 5, 2019",0.176
"May 5, 2019",0.191
"May 5, 2019",0.135
"May 5, 2019",0.172
"May 10, 2019",0.137
"May 10, 2019",0.157
"May 10, 2019",0.105
"May 10, 2019",0.143
"May 15, 2019",0.083
"May 15, 2019",0.112
"May 20, 2019",0.141
"May 20, 2019",0.095
"May 20, 2019",0.106
"May 25, 2019",0.156
"May 25, 2019",0.184
"May 25, 2019",0.1
"May 25, 2019",0.143
"May 30, 2019",0.164
"May 30, 2019",0.177
"May 30, 2019",0.102
"May 30, 2019",0.152
"Jun 4, 2019",0.137
"Jun 4, 2019",0.148
"Jun 4, 2019",0.063
"Jun 4, 2019",0.081
"Jun 9, 2019",0.167
"Jun 9, 2019",0.175
"Jun 9, 2019",0.112
"Jun 9, 2019",0.139
"Jun 14, 2019",0.153
"Jun 14, 2019",0.165
"Jun 14, 2019",0.105
"Jun 14, 2019",0.145
"Jun 19, 2019",0.137
"Jun 24, 2019",0.094
"Jun 24, 2019",0.096
"Jun 29, 2019",0.156
"Jun 29, 2019",0.171
"Jun 29, 2019",0.12
"Jun 29, 2019",0.126
"Jul 14, 2019",0.171
"Jul 14, 2019",0.116
"Jul 14, 2019",0.165
"Jul 19, 2019",0.148
"Aug 8, 2019",0.527
"Aug 8, 2019",0.28
"Aug 8, 2019",0.499
"Aug 23, 2019",0.511
"Aug 23, 2019",0.432
"Aug 23, 2019",0.439
"Aug 23, 2019",0.589
"Aug 28, 2019",0.324
"Aug 28, 2019",0.411
"Sep 2, 2019",0.294
"Sep 12, 2019",0.196
"Sep 17, 2019",0.114
"Sep 17, 2019",0.237
"Sep 17, 2019",0.406
"Oct 2, 2019",0.248
"Oct 2, 2019",0.243
"Oct 2, 2019",0.227
"Oct 2, 2019",0.289
"Oct 7, 2019",0.227
"Oct 12, 2019",0.358
"Oct 12, 2019",0.332
"Oct 12, 2019",0.209
"Oct 12, 2019",0.386
"Oct 17, 2019",0.258
"Oct 17, 2019",0.255
"Oct 17, 2019",0.195
"Oct 17, 2019",0.322
"Oct 27, 2019",0.215
"Oct 27, 2019",0.199
"Oct 27, 2019",0.165
"Oct 27, 2019",0.252
"Nov 1, 2019",0.122
"Nov 1, 2019",0.219
"Nov 6, 2019",0.193
"Nov 11, 2019",0.107
"Nov 11, 2019",0.113
"Nov 16, 2019",0.247
"Nov 16, 2019",0.268
"Nov 16, 2019",0.278
"Nov 16, 2019",0.283
"Nov 26, 2019",0.264
"Dec 1, 2019",0.312
"Dec 1, 2019",0.356
"Dec 1, 2019",0.393
"Dec 16, 2019",0.394
"Jan 5, 2020",0.356
"Jan 5, 2020",0.373
"Jan 5, 2020",0.566
"Jan 5, 2020",0.499
"Jan 10, 2020",0.428
"Jan 10, 2020",0.468
"Jan 10, 2020",0.734
"Jan 10, 2020",0.667
"Jan 15, 2020",0.378
"Jan 15, 2020",0.571
"Jan 15, 2020",0.535
"Jan 25, 2020",0.485
"Jan 25, 2020",0.487
"Jan 25, 2020",0.788
"Jan 25, 2020",0.645
"Jan 30, 2020",0.474
"Jan 30, 2020",0.498
"Jan 30, 2020",0.778
"Jan 30, 2020",0.687
"Feb 4, 2020",0.447
"Feb 4, 2020",0.472
"Feb 4, 2020",0.685
"Feb 4, 2020",0.619
