system:time_start,savi
"Dec 16, 2018",0.26
"Dec 16, 2018",0.294
"Dec 16, 2018",0.48
"Dec 16, 2018",0.374
"Dec 21, 2018",0.243
"Dec 21, 2018",0.287
"Dec 21, 2018",0.473
"Dec 21, 2018",0.341
"Dec 26, 2018",0.266
"Dec 26, 2018",0.295
"Dec 26, 2018",0.564
"Dec 26, 2018",0.392
"Dec 31, 2018",0.243
"Dec 31, 2018",0.309
"Dec 31, 2018",0.547
"Dec 31, 2018",0.376
"Jan 5, 2019",0.15
"Jan 5, 2019",0.169
"Jan 5, 2019",0.336
"Jan 5, 2019",0.281
"Jan 10, 2019",0.288
"Jan 10, 2019",0.572
"Jan 10, 2019",0.44
"Jan 20, 2019",0.304
"Jan 20, 2019",0.413
"Jan 25, 2019",0.263
"Jan 25, 2019",0.26
"Jan 25, 2019",0.359
"Jan 25, 2019",0.351
"Jan 30, 2019",0.47
"Feb 4, 2019",0.34
"Feb 4, 2019",0.48
"Feb 9, 2019",0.346
"Feb 9, 2019",0.365
"Feb 9, 2019",0.571
"Feb 9, 2019",0.47
"Feb 19, 2019",0.284
"Feb 19, 2019",0.462
"Feb 19, 2019",0.397
"Feb 24, 2019",0.286
"Feb 24, 2019",0.29
"Mar 1, 2019",0.316
"Mar 1, 2019",0.337
"Mar 1, 2019",0.454
"Mar 1, 2019",0.413
"Mar 6, 2019",0.312
"Mar 6, 2019",0.33
"Mar 6, 2019",0.412
"Mar 6, 2019",0.385
"Mar 11, 2019",0.269
"Mar 11, 2019",0.255
"Mar 11, 2019",0.369
"Mar 11, 2019",0.35
"Mar 16, 2019",0.28
"Mar 16, 2019",0.309
"Mar 16, 2019",0.347
"Mar 21, 2019",0.172
"Mar 21, 2019",0.209
"Mar 21, 2019",0.252
"Mar 26, 2019",0.227
"Mar 26, 2019",0.241
"Mar 26, 2019",0.271
"Mar 26, 2019",0.268
"Mar 31, 2019",0.175
"Mar 31, 2019",0.186
"Apr 5, 2019",0.134
"Apr 5, 2019",0.139
"Apr 5, 2019",0.12
"Apr 5, 2019",0.146
"Apr 10, 2019",0.116
"Apr 10, 2019",0.128
"Apr 10, 2019",0.104
"Apr 10, 2019",0.124
"Apr 15, 2019",0.111
"Apr 20, 2019",0.101
"Apr 20, 2019",0.119
"Apr 20, 2019",0.085
"Apr 20, 2019",0.112
"Apr 25, 2019",0.092
"Apr 25, 2019",0.101
"Apr 25, 2019",0.079
"Apr 25, 2019",0.105
"Apr 30, 2019",0.099
"Apr 30, 2019",0.112
"Apr 30, 2019",0.085
"Apr 30, 2019",0.116
"May 5, 2019",0.118
"May 5, 2019",0.129
"May 5, 2019",0.1
"May 5, 2019",0.119
"May 10, 2019",0.095
"May 10, 2019",0.109
"May 10, 2019",0.074
"May 10, 2019",0.1
"May 15, 2019",0.06
"May 15, 2019",0.078
"May 20, 2019",0.098
"May 20, 2019",0.071
"May 20, 2019",0.08
"May 25, 2019",0.107
"May 25, 2019",0.128
"May 25, 2019",0.074
"May 25, 2019",0.099
"May 30, 2019",0.116
"May 30, 2019",0.127
"May 30, 2019",0.077
"May 30, 2019",0.107
"Jun 4, 2019",0.094
"Jun 4, 2019",0.103
"Jun 4, 2019",0.044
"Jun 4, 2019",0.057
"Jun 9, 2019",0.113
"Jun 9, 2019",0.122
"Jun 9, 2019",0.08
"Jun 9, 2019",0.096
"Jun 14, 2019",0.109
"Jun 14, 2019",0.119
"Jun 14, 2019",0.078
"Jun 14, 2019",0.102
"Jun 19, 2019",0.103
"Jun 24, 2019",0.068
"Jun 24, 2019",0.067
"Jun 29, 2019",0.109
"Jun 29, 2019",0.121
"Jun 29, 2019",0.083
"Jun 29, 2019",0.087
"Jul 14, 2019",0.127
"Jul 14, 2019",0.085
"Jul 14, 2019",0.113
"Jul 19, 2019",0.092
"Aug 8, 2019",0.363
"Aug 8, 2019",0.172
"Aug 8, 2019",0.326
"Aug 23, 2019",0.344
"Aug 23, 2019",0.298
"Aug 23, 2019",0.289
"Aug 23, 2019",0.393
"Aug 28, 2019",0.201
"Aug 28, 2019",0.278
"Sep 2, 2019",0.208
"Sep 12, 2019",0.142
"Sep 17, 2019",0.069
"Sep 17, 2019",0.174
"Sep 17, 2019",0.268
"Oct 2, 2019",0.158
"Oct 2, 2019",0.16
"Oct 2, 2019",0.155
"Oct 2, 2019",0.191
"Oct 7, 2019",0.136
"Oct 12, 2019",0.208
"Oct 12, 2019",0.201
"Oct 12, 2019",0.116
"Oct 12, 2019",0.233
"Oct 17, 2019",0.162
"Oct 17, 2019",0.161
"Oct 17, 2019",0.116
"Oct 17, 2019",0.204
"Oct 27, 2019",0.139
"Oct 27, 2019",0.13
"Oct 27, 2019",0.105
"Oct 27, 2019",0.166
"Nov 1, 2019",0.08
"Nov 1, 2019",0.143
"Nov 6, 2019",0.114
"Nov 11, 2019",0.073
"Nov 11, 2019",0.081
"Nov 16, 2019",0.15
"Nov 16, 2019",0.162
"Nov 16, 2019",0.18
"Nov 16, 2019",0.179
"Nov 26, 2019",0.159
"Dec 1, 2019",0.19
"Dec 1, 2019",0.222
"Dec 1, 2019",0.251
"Dec 16, 2019",0.268
"Jan 5, 2020",0.226
"Jan 5, 2020",0.239
"Jan 5, 2020",0.391
"Jan 5, 2020",0.332
"Jan 10, 2020",0.271
"Jan 10, 2020",0.294
"Jan 10, 2020",0.506
"Jan 10, 2020",0.441
"Jan 15, 2020",0.249
"Jan 15, 2020",0.394
"Jan 15, 2020",0.366
"Jan 25, 2020",0.304
"Jan 25, 2020",0.305
"Jan 25, 2020",0.545
"Jan 25, 2020",0.429
"Jan 30, 2020",0.307
"Jan 30, 2020",0.314
"Jan 30, 2020",0.543
"Jan 30, 2020",0.461
"Feb 4, 2020",0.296
"Feb 4, 2020",0.305
"Feb 4, 2020",0.492
"Feb 4, 2020",0.432
"Feb 9, 2020",0.277
"Feb 9, 2020",0.254
"Feb 9, 2020",0.394
"Feb 9, 2020",0.391
"Feb 14, 2020",0.323
"Feb 14, 2020",0.331
"Feb 14, 2020",0.549
"Feb 14, 2020",0.438
"Feb 19, 2020",0.403
"Feb 19, 2020",0.372
"Feb 24, 2020",0.272
"Feb 24, 2020",0.272
"Feb 24, 2020",0.43
"Feb 24, 2020",0.35
"Feb 29, 2020",0.237
"Feb 29, 2020",0.373
"Feb 29, 2020",0.274
"Mar 5, 2020",0.241
"Mar 5, 2020",0.369
"Mar 5, 2020",0.322
"Mar 10, 2020",0.271
"Mar 10, 2020",0.287
"Mar 10, 2020",0.399
"Mar 15, 2020",0.213
"Mar 15, 2020",0.229
"Mar 25, 2020",0.245
"Mar 25, 2020",0.246
"Mar 25, 2020",0.213
"Mar 25, 2020",0.248
"Mar 30, 2020",0.208
"Mar 30, 2020",0.202
"Mar 30, 2020",0.158
"Mar 30, 2020",0.201
"Apr 4, 2020",0.197
"Apr 4, 2020",0.198
"Apr 4, 2020",0.141
"Apr 4, 2020",0.175
"Apr 9, 2020",0.122
"Apr 9, 2020",0.161
"Apr 19, 2020",0.165
"Apr 19, 2020",0.164
"Apr 19, 2020",0.117
"Apr 24, 2020",0.154
"Apr 24, 2020",0.146
"Apr 24, 2020",0.109
"Apr 24, 2020",0.135
"Apr 29, 2020",0.14
"Apr 29, 2020",0.13
"Apr 29, 2020",0.091
"Apr 29, 2020",0.114
"May 4, 2020",0.086
"May 4, 2020",0.115
"May 9, 2020",0.131
"May 9, 2020",0.125
"May 9, 2020",0.087
"May 9, 2020",0.113
"May 14, 2020",0.112
"May 14, 2020",0.116
"May 14, 2020",0.083
"May 14, 2020",0.101
"May 24, 2020",0.117
"May 24, 2020",0.12
"May 24, 2020",0.094
"May 24, 2020",0.105
"May 29, 2020",0.081
"May 29, 2020",0.052
"Jun 3, 2020",0.132
"Jun 3, 2020",0.123
"Jun 3, 2020",0.1
"Jun 3, 2020",0.115
"Jun 8, 2020",0.135
"Jun 8, 2020",0.131
"Jun 8, 2020",0.097
"Jun 8, 2020",0.136
"Jun 13, 2020",0.115
"Jun 13, 2020",0.098
"Jun 18, 2020",0.135
"Jun 18, 2020",0.143
"Jun 18, 2020",0.105
"Jun 18, 2020",0.134
"Jun 23, 2020",0.159
"Jun 23, 2020",0.156
"Jun 28, 2020",0.148
"Jun 28, 2020",0.133
"Jul 3, 2020",0.159
"Jul 3, 2020",0.168
"Jul 3, 2020",0.148
"Jul 3, 2020",0.16
"Jul 13, 2020",0.213
"Jul 13, 2020",0.25
"Jul 13, 2020",0.203
"Jul 13, 2020",0.19
"Aug 2, 2020",0.306
"Aug 2, 2020",0.318
"Aug 2, 2020",0.337
"Aug 2, 2020",0.301
"Aug 17, 2020",0.116
"Sep 1, 2020",0.237
"Sep 6, 2020",0.216
"Sep 6, 2020",0.287
"Sep 6, 2020",0.216
"Sep 11, 2020",0.312
"Sep 11, 2020",0.254
"Sep 11, 2020",0.363
"Sep 11, 2020",0.388
"Sep 16, 2020",0.266
"Sep 16, 2020",0.255
"Sep 16, 2020",0.283
"Sep 16, 2020",0.361
"Sep 16, 2020",0.435
"Sep 21, 2020",0.237
"Sep 21, 2020",0.201
"Sep 21, 2020",0.229
"Sep 21, 2020",0.243
"Sep 21, 2020",0.247
"Sep 26, 2020",0.084
"Sep 26, 2020",0.187
"Sep 26, 2020",0.212
"Oct 1, 2020",0.213
"Oct 1, 2020",0.196
"Oct 1, 2020",0.202
"Oct 1, 2020",0.276
"Oct 6, 2020",0.2
