-BEGIN HEADER-,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,
Dates (month/day/year): 01/01/2017 through 12/09/2022 ,,,,,,,
Location: Latitude  28.1706   Longitude 77.1271 ,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 249.19 meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,
Parameter(s): ,,,,,,,
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,
TS                     MERRA-2 Earth Skin Temperature (C) ,,,,,,,
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) ,,,,,,,
-END HEADER-,,,,,,,
YEAR,MO,DY,PRECTOTCORR,TS,T2M_MAX,T2M_MIN,ALLSKY_SFC_PAR_TOT
2017,1,1,0,13.89,22.21,7.98,51.22
2017,1,2,0,14.57,23.12,8.07,47.37
2017,1,3,0,15.63,24.58,8.14,55.24
2017,1,4,0,15.81,25.52,11.14,51.18
2017,1,5,0,16.36,26.8,10.48,54.6
2017,1,6,0.12,16.69,26.64,10.08,57.29
2017,1,7,1.85,16.94,23.24,11.38,14.88
2017,1,8,0,14.48,21.09,8.18,42.08
2017,1,9,0,12.47,19.95,6.65,50.36
2017,1,10,0,10.16,19.15,3.96,66.07
2017,1,11,0,9.23,19.09,2.37,69.62
2017,1,12,0,9.7,19.13,3.09,63.27
2017,1,13,0,10.95,20.89,5.12,58.51
2017,1,14,0,11.44,22.16,5.81,54.82
2017,1,15,0,13.31,23.63,5.18,59.97
2017,1,16,0,13.94,23.65,7.42,54.49
2017,1,17,0,11.3,19.19,4.24,51.34
2017,1,18,0,12.76,22.73,4.82,61.33
2017,1,19,0,12.63,22.12,5.03,67.85
2017,1,20,0,11.89,20.64,4.47,69.38
2017,1,21,0.01,13.25,20.43,7.26,41.08
2017,1,22,0,16.48,26.33,9.81,48.2
2017,1,23,0,16.96,26.45,8.79,59.35
2017,1,24,0,17.92,27.3,10.81,59.95
2017,1,25,0.13,18.9,27.11,12.46,50.67
2017,1,26,13.17,18.38,26.98,12.39,25.54
2017,1,27,11.89,14.49,20.4,9.69,55.9
2017,1,28,0,14.01,22.3,6.86,63.46
2017,1,29,0,14.56,24.17,7.82,64.12
2017,1,30,0,15.5,25.94,8.87,66.39
2017,1,31,0,15.56,25.23,10.33,69.34
2017,2,1,0,14.9,23.9,8.05,71.78
2017,2,2,0,14.74,24.57,9.42,64.91
2017,2,3,0,15.62,25.91,8.28,65.08
2017,2,4,0,17.65,26.19,10.51,59.53
2017,2,5,0.07,17.65,26.59,10.85,45.88
2017,2,6,0,14.35,22.84,8.06,62.84
2017,2,7,0,13.97,23.21,6,83.84
2017,2,8,0,15,25.35,8.14,78.34
2017,2,9,0,14.05,22.91,7.65,81.97
2017,2,10,0,13.58,23.39,6.65,86.98
2017,2,11,0,14.25,24.65,7.16,84.45
2017,2,12,0,14.51,24.72,6.55,65.3
2017,2,13,0,14.58,24.78,6.84,76.05
2017,2,14,0,15.63,27.15,7.25,87.09
2017,2,15,0,18.41,29.4,10.21,85.75
2017,2,16,0,20.67,30.32,13.73,79.91
2017,2,17,0,21.92,31.62,14.15,69.95
2017,2,18,0,21.88,31.98,13.02,87.63
2017,2,19,0,22.91,33.1,15.03,87.72
2017,2,20,0,23.02,33.08,14.6,87.15
2017,2,21,0,18.78,27.26,12.19,84.7
