system:time_start,ndre
"Dec 14, 2018",0.11
"Dec 14, 2018",0.277
"Dec 16, 2018",0.187
"Dec 16, 2018",0.254
"Dec 19, 2018",0.187
"Dec 19, 2018",0.3
"Dec 21, 2018",0.144
"Dec 21, 2018",0.237
"Dec 24, 2018",0.111
"Dec 24, 2018",0.223
"Dec 26, 2018",0.185
"Dec 26, 2018",0.253
"Dec 29, 2018",0.222
"Dec 29, 2018",0.321
"Dec 31, 2018",0.198
"Dec 31, 2018",0.256
"Jan 8, 2019",0.239
"Jan 13, 2019",0.254
"Jan 13, 2019",0.24
"Jan 23, 2019",0.47
"Jan 25, 2019",0.421
"Jan 25, 2019",0.343
"Jan 28, 2019",0.599
"Jan 28, 2019",0.446
"Feb 4, 2019",0.413
"Feb 9, 2019",0.504
"Feb 9, 2019",0.445
"Feb 17, 2019",0.573
"Feb 17, 2019",0.443
"Feb 19, 2019",0.415
"Feb 22, 2019",0.348
"Feb 24, 2019",0.531
"Feb 24, 2019",0.462
"Feb 27, 2019",0.604
"Feb 27, 2019",0.404
"Mar 1, 2019",0.556
"Mar 1, 2019",0.457
"Mar 4, 2019",0.459
"Mar 6, 2019",0.565
"Mar 6, 2019",0.466
"Mar 9, 2019",0.602
"Mar 9, 2019",0.487
"Mar 19, 2019",0.495
"Mar 19, 2019",0.598
"Mar 19, 2019",0.447
"Mar 21, 2019",0.472
"Mar 21, 2019",0.389
"Mar 24, 2019",0.529
"Mar 24, 2019",0.398
"Mar 26, 2019",0.473
"Mar 26, 2019",0.378
"Mar 29, 2019",0.449
"Mar 29, 2019",0.325
"Mar 31, 2019",0.391
"Mar 31, 2019",0.32
"Apr 3, 2019",0.299
"Apr 5, 2019",0.339
"Apr 5, 2019",0.211
"Apr 8, 2019",0.181
"Apr 10, 2019",0.187
"Apr 10, 2019",0.156
"Apr 15, 2019",0.15
"Apr 15, 2019",0.125
"Apr 18, 2019",0.077
"Apr 18, 2019",0.08
"Apr 20, 2019",0.11
"Apr 20, 2019",0.107
"Apr 23, 2019",0.084
"Apr 23, 2019",0.087
"Apr 28, 2019",0.106
"Apr 28, 2019",0.094
"Apr 30, 2019",0.089
"Apr 30, 2019",0.085
"May 3, 2019",0.079
"May 3, 2019",0.072
"May 5, 2019",0.117
"May 5, 2019",0.094
"May 8, 2019",0.097
"May 8, 2019",0.082
"May 10, 2019",0.08
"May 10, 2019",0.066
"May 13, 2019",0.085
"May 13, 2019",0.065
"May 15, 2019",0.073
"May 18, 2019",-0.002
"May 18, 2019",0.061
"May 25, 2019",0.109
"May 25, 2019",0.071
"May 28, 2019",0.042
"May 28, 2019",0.087
"May 30, 2019",0.088
"May 30, 2019",0.083
"Jun 2, 2019",0.016
"Jun 2, 2019",0.068
"Jun 4, 2019",0.09
"Jun 7, 2019",0.07
"Jun 7, 2019",0.088
"Jun 9, 2019",0.119
"Jun 9, 2019",0.078
"Jun 12, 2019",0.017
"Jun 12, 2019",0.053
"Jun 14, 2019",0.146
"Jun 14, 2019",0.093
"Jun 17, 2019",0.084
"Jun 19, 2019",0.125
"Jun 19, 2019",0.104
"Jun 22, 2019",0.145
"Jun 22, 2019",0.112
"Jun 24, 2019",0.06
"Jun 29, 2019",0.135
"Jun 29, 2019",0.083
"Jul 2, 2019",0.108
"Jul 2, 2019",0.104
"Jul 22, 2019",0.149
"Aug 11, 2019",0.431
"Aug 11, 2019",0.268
"Aug 13, 2019",0.049
"Aug 21, 2019",0.539
"Aug 21, 2019",0.394
"Aug 23, 2019",0.416
"Aug 23, 2019",0.372
"Aug 26, 2019",0.432
"Aug 28, 2019",0.445
"Aug 28, 2019",0.26
"Aug 31, 2019",0.495
"Aug 31, 2019",0.23
"Sep 2, 2019",0.47
"Sep 2, 2019",0.251
"Sep 10, 2019",0.494
"Sep 10, 2019",0.29
"Sep 15, 2019",0.463
"Sep 15, 2019",0.211
"Sep 17, 2019",0.464
"Sep 17, 2019",0.316
"Sep 20, 2019",0.161
"Sep 25, 2019",0.448
"Sep 25, 2019",0.259
"Sep 27, 2019",0.209
"Oct 2, 2019",0.31
"Oct 2, 2019",0.172
"Oct 5, 2019",0.413
"Oct 5, 2019",0.252
"Oct 7, 2019",0.209
"Oct 10, 2019",0.39
"Oct 10, 2019",0.243
"Oct 12, 2019",0.373
"Oct 12, 2019",0.227
"Oct 15, 2019",0.306
"Oct 15, 2019",0.239
"Oct 17, 2019",0.247
"Oct 17, 2019",0.173
"Oct 20, 2019",0.263
"Oct 20, 2019",0.234
"Oct 22, 2019",0.304
"Oct 22, 2019",0.204
"Oct 25, 2019",0.186
"Oct 25, 2019",0.138
"Oct 27, 2019",0.212
"Oct 27, 2019",0.14
"Nov 4, 2019",0.169
"Nov 4, 2019",0.093
"Nov 6, 2019",0.245
"Nov 6, 2019",0.136
"Nov 9, 2019",0.215
"Nov 9, 2019",0.12
"Nov 16, 2019",0.19
"Nov 16, 2019",0.088
"Nov 19, 2019",0.188
"Nov 19, 2019",0.125
"Nov 21, 2019",0.105
"Dec 1, 2019",0.165
"Dec 1, 2019",0.141
"Dec 4, 2019",0.164
"Dec 4, 2019",0.166
"Dec 9, 2019",0.129
"Dec 9, 2019",0.171
"Dec 14, 2019",0.087
"Jan 3, 2020",0.17
"Jan 3, 2020",0.238
"Jan 5, 2020",0.179
"Jan 10, 2020",0.284
"Jan 10, 2020",0.305
"Jan 23, 2020",0.365
"Jan 23, 2020",0.398
"Jan 25, 2020",0.331
"Jan 28, 2020",0.327
"Jan 30, 2020",0.394
"Jan 30, 2020",0.326
"Feb 2, 2020",0.052
"Feb 2, 2020",0.224
"Feb 7, 2020",0.479
"Feb 7, 2020",0.439
"Feb 9, 2020",0.401
"Feb 12, 2020",0.496
"Feb 12, 2020",0.419
"Feb 14, 2020",0.476
"Feb 14, 2020",0.408
"Feb 17, 2020",0.55
"Feb 17, 2020",0.474
"Feb 22, 2020",0.422
"Feb 22, 2020",0.375
"Feb 24, 2020",0.443
"Feb 24, 2020",0.368
"Mar 3, 2020",0.544
"Mar 3, 2020",0.483
"Mar 5, 2020",0.44
"Mar 8, 2020",0.588
"Mar 8, 2020",0.483
"Mar 10, 2020",0.489
"Mar 10, 2020",0.445
"Mar 13, 2020",0.496
"Mar 13, 2020",0.447
"Mar 15, 2020",0.015
"Mar 18, 2020",0.517
"Mar 18, 2020",0.441
"Mar 20, 2020",0.391
"Mar 23, 2020",0.451
"Mar 23, 2020",0.404
"Mar 28, 2020",0.403
"Mar 28, 2020",0.37
"Apr 2, 2020",0.369
"Apr 2, 2020",0.303
"Apr 4, 2020",0.29
"Apr 4, 2020",0.265
"Apr 12, 2020",0.196
"Apr 12, 2020",0.169
"Apr 14, 2020",0.147
"Apr 14, 2020",0.139
"Apr 22, 2020",0.141
"Apr 22, 2020",0.124
"Apr 24, 2020",0.116
"Apr 24, 2020",0.107
"Apr 27, 2020",0.061
"Apr 27, 2020",0.086
"Apr 29, 2020",0.112
"Apr 29, 2020",0.09
"May 2, 2020",0.081
"May 2, 2020",0.075
"May 4, 2020",0.08
"May 4, 2020",0.096
"May 7, 2020",0.027
"May 7, 2020",0.097
"May 9, 2020",0.099
"May 9, 2020",0.088
"May 12, 2020",0.076
"May 12, 2020",0.075
"May 14, 2020",0.068
"May 14, 2020",0.064
"May 22, 2020",0.066
"May 22, 2020",0.08
"May 24, 2020",0.093
"May 24, 2020",0.074
"May 27, 2020",-0.073
"May 27, 2020",0.071
"May 29, 2020",0.024
"Jun 1, 2020",-0.015
"Jun 1, 2020",0.049
"Jun 6, 2020",-0.006
"Jun 6, 2020",0.057
"Jun 8, 2020",0.108
"Jun 8, 2020",0.081
"Jun 11, 2020",0.07
"Jun 11, 2020",0.084
"Jun 13, 2020",0.033
"Jun 13, 2020",0.038
"Jun 16, 2020",-0.002
"Jun 16, 2020",0.094
"Jun 18, 2020",0.16
"Jun 18, 2020",0.103
"Jun 21, 2020",0.064
"Jun 21, 2020",0.122
"Jun 23, 2020",0.135
"Jun 23, 2020",0.095
"Jun 28, 2020",0.139
"Jun 28, 2020",0.067
"Jul 1, 2020",0.104
"Jul 3, 2020",0.163
"Jul 3, 2020",0.11
"Jul 6, 2020",0.119
"Jul 13, 2020",0.175
"Jul 13, 2020",0.177
"Jul 16, 2020",0.144
"Jul 23, 2020",0.121
"Jul 23, 2020",0.208
"Jul 26, 2020",0.246
"Jul 31, 2020",0.127
"Jul 31, 2020",0.264
"Aug 2, 2020",0.238
"Aug 2, 2020",0.24
"Aug 5, 2020",0.392
"Aug 7, 2020",0.2
"Aug 12, 2020",0.265
"Aug 22, 2020",0.329
"Aug 30, 2020",0.184
"Sep 6, 2020",0.216
"Sep 6, 2020",0.209
"Sep 9, 2020",0.371
"Sep 9, 2020",0.3
"Sep 11, 2020",0.497
"Sep 11, 2020",0.304
"Sep 14, 2020",0.49
"Sep 14, 2020",0.302
"Sep 16, 2020",0.474
"Sep 16, 2020",0.275
"Sep 19, 2020",0.468
"Sep 19, 2020",0.241
"Sep 21, 2020",0.477
"Sep 21, 2020",0.283
"Sep 24, 2020",0.503
"Sep 24, 2020",0.245
"Sep 29, 2020",0.489
"Sep 29, 2020",0.266
"Oct 1, 2020",0.47
"Oct 1, 2020",0.262
"Oct 4, 2020",0.489
"Oct 4, 2020",0.251
"Oct 6, 2020",0.448
"Oct 6, 2020",0.252
"Oct 9, 2020",0.437
"Oct 9, 2020",0.233
"Oct 11, 2020",0.455
"Oct 11, 2020",0.246
"Oct 14, 2020",0.116
"Oct 16, 2020",0.398
"Oct 16, 2020",0.229
"Oct 19, 2020",0.382
"Oct 19, 2020",0.214
"Oct 21, 2020",0.28
"Oct 21, 2020",0.169
"Oct 24, 2020",0.234
"Oct 24, 2020",0.144
"Oct 26, 2020",0.221
"Oct 26, 2020",0.133
"Oct 31, 2020",0.22
"Oct 31, 2020",0.165
"Nov 3, 2020",0.244
"Nov 3, 2020",0.14
"Nov 5, 2020",0.166
"Nov 5, 2020",0.115
"Nov 10, 2020",0.135
"Nov 10, 2020",0.078
"Nov 15, 2020",0.068
"Nov 20, 2020",0.171
"Nov 20, 2020",0.139
"Nov 23, 2020",0.147
"Nov 23, 2020",0.144
"Nov 28, 2020",0.184
"Nov 28, 2020",0.2
"Nov 30, 2020",0.191
"Nov 30, 2020",0.151
"Dec 3, 2020",0.132
"Dec 3, 2020",0.186
"Dec 5, 2020",0.155
"Dec 5, 2020",0.155
"Dec 8, 2020",0.121
"Dec 8, 2020",0.215
"Dec 10, 2020",0.176
"Dec 10, 2020",0.173
"Dec 15, 2020",0.238
"Dec 15, 2020",0.19
"Dec 18, 2020",0.149
"Dec 18, 2020",0.288
"Dec 20, 2020",0.221
"Dec 23, 2020",0.172
"Dec 23, 2020",0.251
"Dec 25, 2020",0.264
"Dec 25, 2020",0.233
"Dec 28, 2020",0.194
"Dec 28, 2020",0.284
"Jan 4, 2021",0.257
"Jan 4, 2021",0.172
"Jan 22, 2021",0.347
"Jan 27, 2021",0.565
"Jan 27, 2021",0.419
"Jan 29, 2021",0.447
"Jan 29, 2021",0.353
"Feb 1, 2021",0.612
"Feb 1, 2021",0.42
"Feb 3, 2021",0.389
"Feb 3, 2021",0.317
"Feb 6, 2021",0.643
"Feb 6, 2021",0.452
"Feb 8, 2021",0.482
"Feb 8, 2021",0.388
"Feb 11, 2021",0.68
"Feb 11, 2021",0.39
"Feb 16, 2021",0.72
"Feb 16, 2021",0.486
"Feb 21, 2021",0.67
"Feb 21, 2021",0.483
"Feb 23, 2021",0.521
"Feb 23, 2021",0.446
"Feb 26, 2021",0.693
"Feb 26, 2021",0.467
"Feb 28, 2021",0.536
"Feb 28, 2021",0.446
"Mar 3, 2021",0.709
"Mar 3, 2021",0.472
"Mar 5, 2021",0.535
"Mar 5, 2021",0.442
"Mar 8, 2021",0.688
"Mar 8, 2021",0.399
"Mar 10, 2021",0.405
"Mar 10, 2021",0.318
"Mar 15, 2021",0.292
"Mar 20, 2021",0.39
"Mar 20, 2021",0.32
"Mar 28, 2021",0.385
"Mar 28, 2021",0.216
"Mar 30, 2021",0.221
"Mar 30, 2021",0.19
"Apr 2, 2021",0.268
"Apr 2, 2021",0.207
"Apr 4, 2021",0.24
"Apr 4, 2021",0.185
"Apr 7, 2021",0.183
"Apr 7, 2021",0.147
"Apr 9, 2021",0.164
"Apr 9, 2021",0.144
"Apr 12, 2021",0.116
"Apr 12, 2021",0.103
"Apr 14, 2021",0.096
"Apr 17, 2021",0.104
"Apr 17, 2021",0.088
"Apr 19, 2021",0.103
"Apr 19, 2021",0.084
"Apr 22, 2021",0.051
"Apr 22, 2021",0.076
"Apr 24, 2021",0.177
"Apr 24, 2021",0.099
"Apr 27, 2021",0.074
"Apr 27, 2021",0.075
"Apr 29, 2021",0.04
"Apr 29, 2021",0.068
"May 7, 2021",0.028
"May 7, 2021",0.053
"May 9, 2021",0.057
"May 9, 2021",0.055
"May 14, 2021",0.081
"May 14, 2021",0.054
"May 17, 2021",-0.046
"May 17, 2021",0.035
"May 22, 2021",-0.017
"May 22, 2021",0.069
"May 24, 2021",0.069
"May 24, 2021",0.068
"May 27, 2021",0.064
"May 27, 2021",0.083
"May 29, 2021",0.044
"May 29, 2021",0.048
"Jun 3, 2021",0.067
"Jun 3, 2021",0.071
"Jun 6, 2021",0.047
"Jun 6, 2021",0.063
"Jun 8, 2021",0.042
"Jun 8, 2021",0.045
"Jun 11, 2021",0.044
"Jun 11, 2021",0.043
"Jun 23, 2021",0.098
"Jun 23, 2021",0.104
"Jun 26, 2021",0.093
"Jun 26, 2021",0.102
"Jun 28, 2021",0.075
"Jun 28, 2021",0.094
"Jul 1, 2021",0.089
"Jul 3, 2021",0.079
"Jul 6, 2021",0.085
"Jul 6, 2021",0.1
"Jul 8, 2021",0.061
"Jul 8, 2021",0.074
"Jul 11, 2021",0.071
"Jul 16, 2021",0.142
"Jul 16, 2021",0.121
"Jul 21, 2021",0.149
"Aug 5, 2021",0.191
"Aug 10, 2021",0.34
"Aug 10, 2021",0.333
"Aug 12, 2021",0.268
"Aug 12, 2021",0.279
"Aug 15, 2021",0.462
"Aug 15, 2021",0.366
"Aug 17, 2021",0.326
"Aug 17, 2021",0.334
"Aug 25, 2021",0.547
"Aug 25, 2021",0.404
"Aug 27, 2021",0.412
"Aug 27, 2021",0.357
"Aug 30, 2021",0.52
"Aug 30, 2021",0.359
"Sep 16, 2021",0.371
"Sep 19, 2021",0.516
"Sep 19, 2021",0.324
"Sep 21, 2021",0.43
"Sep 24, 2021",0.504
"Sep 26, 2021",0.226
"Sep 29, 2021",0.066
"Sep 29, 2021",0.286
"Oct 1, 2021",0.303
"Oct 4, 2021",0.284
"Oct 6, 2021",0.285
"Oct 6, 2021",0.304
"Oct 9, 2021",0.484
"Oct 9, 2021",0.319
"Oct 11, 2021",0.416
"Oct 11, 2021",0.307
"Oct 14, 2021",0.429
"Oct 14, 2021",0.311
"Oct 16, 2021",0.34
"Oct 16, 2021",0.276
"Oct 19, 2021",0.296
"Oct 19, 2021",0.169
"Oct 21, 2021",0.351
"Oct 21, 2021",0.276
"Oct 26, 2021",0.244
"Oct 26, 2021",0.214
"Oct 29, 2021",0.126
"Oct 29, 2021",0.189
"Oct 31, 2021",0.207
"Oct 31, 2021",0.2
"Nov 3, 2021",0.043
"Nov 5, 2021",0.093
"Nov 8, 2021",0.041
"Nov 8, 2021",0.145
"Nov 10, 2021",0.089
"Nov 10, 2021",0.139
"Nov 13, 2021",0.067
"Nov 13, 2021",0.155
"Nov 15, 2021",0.022
"Nov 18, 2021",0.093
"Nov 18, 2021",0.157
"Nov 20, 2021",0.137
"Nov 20, 2021",0.152
"Nov 23, 2021",0.073
"Nov 23, 2021",0.169
"Nov 25, 2021",0.097
"Nov 25, 2021",0.139
"Nov 28, 2021",0.13
"Nov 30, 2021",0.153
"Dec 3, 2021",0.071
"Dec 3, 2021",0.14
"Dec 5, 2021",0.1
"Dec 8, 2021",0.154
"Dec 8, 2021",0.218
"Dec 10, 2021",0.164
"Dec 10, 2021",0.187
"Dec 13, 2021",0.166
"Dec 13, 2021",0.21
"Dec 15, 2021",0.199
"Dec 15, 2021",0.22
"Dec 18, 2021",0.252
"Dec 18, 2021",0.266
"Dec 20, 2021",0.249
"Dec 20, 2021",0.234
"Dec 23, 2021",0.26
"Dec 23, 2021",0.225
"Dec 28, 2021",0.261
"Jan 2, 2022",0.383
"Jan 27, 2022",0.506
"Jan 27, 2022",0.438
"Jan 29, 2022",0.451
"Jan 29, 2022",0.418
"Feb 6, 2022",0.659
"Feb 6, 2022",0.431
"Feb 8, 2022",0.414
"Feb 8, 2022",0.38
"Feb 11, 2022",0.659
"Feb 11, 2022",0.491
"Feb 13, 2022",0.456
"Feb 13, 2022",0.444
"Feb 16, 2022",0.547
"Feb 16, 2022",0.489
"Feb 18, 2022",0.457
"Feb 18, 2022",0.452
"Feb 21, 2022",0.705
"Feb 21, 2022",0.521
"Feb 26, 2022",0.683
"Feb 26, 2022",0.439
"Feb 28, 2022",0.498
"Feb 28, 2022",0.476
"Mar 3, 2022",0.631
"Mar 3, 2022",0.437
"Mar 5, 2022",0.462
"Mar 5, 2022",0.452
"Mar 8, 2022",0.644
"Mar 8, 2022",0.457
"Mar 10, 2022",0.43
"Mar 10, 2022",0.436
"Mar 13, 2022",0.639
"Mar 13, 2022",0.551
"Mar 13, 2022",0.646
"Mar 13, 2022",0.45
"Mar 15, 2022",0.396
"Mar 15, 2022",0.403
"Mar 18, 2022",0.426
"Mar 18, 2022",0.35
"Mar 20, 2022",0.354
"Mar 20, 2022",0.38
"Mar 23, 2022",0.517
"Mar 23, 2022",0.338
"Mar 25, 2022",0.297
"Mar 25, 2022",0.303
"Mar 28, 2022",0.357
"Mar 28, 2022",0.251
"Mar 30, 2022",0.238
"Mar 30, 2022",0.235
"Apr 2, 2022",0.231
"Apr 2, 2022",0.201
"Apr 4, 2022",0.174
"Apr 4, 2022",0.178
"Apr 7, 2022",0.172
"Apr 7, 2022",0.159
"Apr 9, 2022",0.161
"Apr 9, 2022",0.148
"Apr 14, 2022",0.112
"Apr 14, 2022",0.119
"Apr 17, 2022",0.078
"Apr 17, 2022",0.118
"Apr 19, 2022",0.09
"Apr 19, 2022",0.096
"Apr 22, 2022",0.084
"Apr 22, 2022",0.112
"Apr 24, 2022",0.102
"Apr 24, 2022",0.102
"Apr 27, 2022",0.085
"Apr 27, 2022",0.118
"Apr 29, 2022",0.128
"Apr 29, 2022",0.1
"May 2, 2022",0.144
"May 2, 2022",0.099
"May 4, 2022",0.107
"May 4, 2022",0.07
"May 7, 2022",0.087
"May 7, 2022",0.077
"May 9, 2022",0.106
"May 9, 2022",0.08
"May 12, 2022",0.152
"May 12, 2022",0.085
"May 14, 2022",0.143
"May 14, 2022",0.095
"May 19, 2022",0.106
"May 19, 2022",0.073
"May 22, 2022",0.073
"May 22, 2022",0.079
"May 27, 2022",0.012
"May 27, 2022",0.062
"May 29, 2022",0.06
"May 29, 2022",0.064
"Jun 1, 2022",0.045
"Jun 1, 2022",0.103
"Jun 3, 2022",0.099
"Jun 3, 2022",0.113
"Jun 6, 2022",0.049
"Jun 6, 2022",0.1
"Jun 8, 2022",0.077
"Jun 8, 2022",0.09
"Jun 11, 2022",0.025
"Jun 11, 2022",0.093
"Jun 13, 2022",0.064
"Jun 13, 2022",0.068
"Jun 16, 2022",-0.017
"Jun 16, 2022",0.075
"Jun 23, 2022",0.093
"Jun 23, 2022",0.105
"Jun 26, 2022",0.051
"Jun 26, 2022",0.127
"Jul 11, 2022",0.064
"Jul 11, 2022",0.178
"Jul 18, 2022",0.051
"Aug 10, 2022",0.585
"Aug 10, 2022",0.348
"Aug 12, 2022",0.274
"Aug 12, 2022",0.319
"Aug 25, 2022",0.507
"Aug 30, 2022",0.364
"Aug 30, 2022",0.341
"Sep 1, 2022",0.373
"Sep 1, 2022",0.274
"Sep 4, 2022",0.413
"Sep 4, 2022",0.377
"Sep 6, 2022",0.392
"Sep 6, 2022",0.34
"Sep 9, 2022",0.39
"Sep 9, 2022",0.289
"Sep 11, 2022",0.197
"Sep 16, 2022",0.323
"Sep 19, 2022",-0.044
"Sep 19, 2022",0.194
"Sep 21, 2022",0.386
"Sep 29, 2022",0.432
"Sep 29, 2022",0.321
"Oct 1, 2022",0.432
"Oct 1, 2022",0.313
"Oct 4, 2022",0.353
"Oct 4, 2022",0.297
"Oct 6, 2022",0.427
"Oct 6, 2022",0.311
"Oct 14, 2022",0.462
"Oct 14, 2022",0.311
"Oct 16, 2022",0.414
"Oct 16, 2022",0.298
"Oct 19, 2022",0.273
"Oct 19, 2022",0.297
"Oct 21, 2022",0.335
"Oct 21, 2022",0.257
"Oct 24, 2022",0.267
"Oct 24, 2022",0.278
"Oct 26, 2022",0.231
"Oct 26, 2022",0.255
"Oct 29, 2022",0.135
"Oct 29, 2022",0.238
"Oct 31, 2022",0.124
"Oct 31, 2022",0.185
"Nov 3, 2022",0.014
"Nov 3, 2022",0.065
"Nov 5, 2022",0.161
"Nov 5, 2022",0.146
"Nov 10, 2022",0.157
"Nov 10, 2022",0.119
"Nov 13, 2022",0.191
"Nov 13, 2022",0.182
"Nov 15, 2022",0.172
"Nov 18, 2022",0.294
"Nov 18, 2022",0.203
"Nov 20, 2022",0.147
"Nov 23, 2022",0.266
"Nov 23, 2022",0.219
"Nov 25, 2022",0.24
"Nov 25, 2022",0.204
"Nov 28, 2022",0.546
"Nov 28, 2022",0.233
"Nov 30, 2022",0.21
"Nov 30, 2022",0.196
"Dec 3, 2022",0.421
"Dec 3, 2022",0.257
"Dec 5, 2022",0.24
"Dec 5, 2022",0.215
"Dec 8, 2022",0.417
"Dec 8, 2022",0.262
