system:time_start,ndvi
"Dec 14, 2018",0.19
"Dec 14, 2018",0.412
"Dec 16, 2018",0.263
"Dec 16, 2018",0.365
"Dec 19, 2018",0.249
"Dec 19, 2018",0.422
"Dec 21, 2018",0.212
"Dec 21, 2018",0.337
"Dec 24, 2018",0.193
"Dec 24, 2018",0.315
"Dec 26, 2018",0.273
"Dec 26, 2018",0.365
"Dec 29, 2018",0.314
"Dec 29, 2018",0.453
"Dec 31, 2018",0.331
"Dec 31, 2018",0.38
"Jan 8, 2019",0.376
"Jan 13, 2019",0.369
"Jan 13, 2019",0.336
"Jan 23, 2019",0.641
"Jan 25, 2019",0.602
"Jan 25, 2019",0.496
"Jan 28, 2019",0.814
"Jan 28, 2019",0.602
"Feb 4, 2019",0.577
"Feb 9, 2019",0.701
"Feb 9, 2019",0.617
"Feb 17, 2019",0.739
"Feb 17, 2019",0.588
"Feb 19, 2019",0.58
"Feb 22, 2019",0.463
"Feb 24, 2019",0.686
"Feb 24, 2019",0.629
"Feb 27, 2019",0.802
"Feb 27, 2019",0.563
"Mar 1, 2019",0.731
"Mar 1, 2019",0.641
"Mar 4, 2019",0.592
"Mar 6, 2019",0.745
"Mar 6, 2019",0.644
"Mar 9, 2019",0.8
"Mar 9, 2019",0.656
"Mar 19, 2019",0.6
"Mar 19, 2019",0.796
"Mar 19, 2019",0.608
"Mar 21, 2019",0.62
"Mar 21, 2019",0.556
"Mar 24, 2019",0.738
"Mar 24, 2019",0.573
"Mar 26, 2019",0.643
"Mar 26, 2019",0.519
"Mar 29, 2019",0.641
"Mar 29, 2019",0.473
"Mar 31, 2019",0.552
"Mar 31, 2019",0.459
"Apr 3, 2019",0.454
"Apr 5, 2019",0.487
"Apr 5, 2019",0.349
"Apr 8, 2019",0.289
"Apr 10, 2019",0.318
"Apr 10, 2019",0.263
"Apr 15, 2019",0.261
"Apr 15, 2019",0.213
"Apr 18, 2019",0.193
"Apr 18, 2019",0.155
"Apr 20, 2019",0.194
"Apr 20, 2019",0.189
"Apr 23, 2019",0.172
"Apr 23, 2019",0.163
"Apr 28, 2019",0.171
"Apr 28, 2019",0.153
"Apr 30, 2019",0.189
"Apr 30, 2019",0.154
"May 3, 2019",0.164
"May 3, 2019",0.13
"May 5, 2019",0.208
"May 5, 2019",0.156
"May 8, 2019",0.149
"May 8, 2019",0.132
"May 10, 2019",0.156
"May 10, 2019",0.124
"May 13, 2019",0.125
"May 13, 2019",0.122
"May 15, 2019",0.139
"May 18, 2019",0.068
"May 18, 2019",0.13
"May 25, 2019",0.185
"May 25, 2019",0.139
"May 28, 2019",0.104
"May 28, 2019",0.142
"May 30, 2019",0.171
"May 30, 2019",0.143
"Jun 2, 2019",0.088
"Jun 2, 2019",0.127
"Jun 4, 2019",0.153
"Jun 7, 2019",0.152
"Jun 7, 2019",0.144
"Jun 9, 2019",0.197
"Jun 9, 2019",0.142
"Jun 12, 2019",0.074
"Jun 12, 2019",0.114
"Jun 14, 2019",0.211
"Jun 14, 2019",0.156
"Jun 17, 2019",0.121
"Jun 19, 2019",0.19
"Jun 19, 2019",0.174
"Jun 22, 2019",0.179
"Jun 22, 2019",0.191
"Jun 24, 2019",0.129
"Jun 29, 2019",0.218
"Jun 29, 2019",0.158
"Jul 2, 2019",0.204
"Jul 2, 2019",0.185
