system:time_start,savi
"Dec 14, 2018",0.114
"Dec 14, 2018",0.272
"Dec 16, 2018",0.157
"Dec 16, 2018",0.248
"Dec 19, 2018",0.149
"Dec 19, 2018",0.282
"Dec 21, 2018",0.132
"Dec 21, 2018",0.237
"Dec 24, 2018",0.124
"Dec 24, 2018",0.222
"Dec 26, 2018",0.167
"Dec 26, 2018",0.244
"Dec 29, 2018",0.178
"Dec 29, 2018",0.301
"Dec 31, 2018",0.195
"Dec 31, 2018",0.252
"Jan 8, 2019",0.257
"Jan 13, 2019",0.251
"Jan 13, 2019",0.235
"Jan 23, 2019",0.472
"Jan 25, 2019",0.381
"Jan 25, 2019",0.34
"Jan 28, 2019",0.547
"Jan 28, 2019",0.411
"Feb 4, 2019",0.397
"Feb 9, 2019",0.457
"Feb 9, 2019",0.43
"Feb 17, 2019",0.499
"Feb 17, 2019",0.413
"Feb 19, 2019",0.419
"Feb 22, 2019",0.323
"Feb 24, 2019",0.471
"Feb 24, 2019",0.452
"Feb 27, 2019",0.554
"Feb 27, 2019",0.392
"Mar 1, 2019",0.503
"Mar 1, 2019",0.46
"Mar 4, 2019",0.437
"Mar 6, 2019",0.512
"Mar 6, 2019",0.456
"Mar 9, 2019",0.551
"Mar 9, 2019",0.443
"Mar 19, 2019",0.415
"Mar 19, 2019",0.532
"Mar 19, 2019",0.403
"Mar 21, 2019",0.42
"Mar 21, 2019",0.388
"Mar 24, 2019",0.499
"Mar 24, 2019",0.38
"Mar 26, 2019",0.43
"Mar 26, 2019",0.359
"Mar 29, 2019",0.413
"Mar 29, 2019",0.304
"Mar 31, 2019",0.363
"Mar 31, 2019",0.313
"Apr 3, 2019",0.282
"Apr 5, 2019",0.308
"Apr 5, 2019",0.226
"Apr 8, 2019",0.186
"Apr 10, 2019",0.194
"Apr 10, 2019",0.175
"Apr 15, 2019",0.167
"Apr 15, 2019",0.148
"Apr 18, 2019",0.104
"Apr 18, 2019",0.098
"Apr 20, 2019",0.131
"Apr 20, 2019",0.131
"Apr 23, 2019",0.117
"Apr 23, 2019",0.109
"Apr 28, 2019",0.123
"Apr 28, 2019",0.11
"Apr 30, 2019",0.137
"Apr 30, 2019",0.115
"May 3, 2019",0.117
"May 3, 2019",0.098
"May 5, 2019",0.149
"May 5, 2019",0.118
"May 8, 2019",0.105
"May 8, 2019",0.096
"May 10, 2019",0.112
"May 10, 2019",0.094
"May 13, 2019",0.086
"May 13, 2019",0.086
"May 15, 2019",0.098
"May 18, 2019",0.045
"May 18, 2019",0.086
"May 25, 2019",0.14
"May 25, 2019",0.106
"May 28, 2019",0.08
"May 28, 2019",0.103
"May 30, 2019",0.128
"May 30, 2019",0.11
"Jun 2, 2019",0.06
"Jun 2, 2019",0.089
"Jun 4, 2019",0.112
"Jun 7, 2019",0.093
"Jun 7, 2019",0.104
"Jun 9, 2019",0.138
"Jun 9, 2019",0.106
"Jun 12, 2019",0.053
"Jun 12, 2019",0.081
"Jun 14, 2019",0.156
"Jun 14, 2019",0.12
"Jun 17, 2019",0.085
"Jun 19, 2019",0.135
"Jun 19, 2019",0.128
"Jun 22, 2019",0.131
"Jun 22, 2019",0.139
"Jun 24, 2019",0.101
"Jun 29, 2019",0.161
"Jun 29, 2019",0.121
"Jul 2, 2019",0.151
"Jul 2, 2019",0.132
"Jul 22, 2019",0.195
"Aug 11, 2019",0.452
"Aug 11, 2019",0.266
"Aug 13, 2019",0.108
"Aug 21, 2019",0.525
"Aug 21, 2019",0.414
"Aug 23, 2019",0.425
"Aug 23, 2019",0.408
"Aug 26, 2019",0.408
"Aug 28, 2019",0.459
"Aug 28, 2019",0.288
"Aug 31, 2019",0.477
"Aug 31, 2019",0.249
"Sep 2, 2019",0.476
"Sep 2, 2019",0.266
"Sep 10, 2019",0.472
"Sep 10, 2019",0.308
"Sep 15, 2019",0.459
"Sep 15, 2019",0.232
"Sep 17, 2019",0.495
"Sep 17, 2019",0.346
"Sep 20, 2019",0.162
"Sep 25, 2019",0.312
"Sep 25, 2019",0.269
"Sep 27, 2019",0.242
"Oct 2, 2019",0.299
"Oct 2, 2019",0.193
"Oct 5, 2019",0.43
"Oct 5, 2019",0.269
"Oct 7, 2019",0.238
"Oct 10, 2019",0.443
"Oct 10, 2019",0.263
"Oct 12, 2019",0.393
"Oct 12, 2019",0.248
"Oct 15, 2019",0.346
"Oct 15, 2019",0.253
"Oct 17, 2019",0.254
"Oct 17, 2019",0.191
"Oct 20, 2019",0.228
"Oct 20, 2019",0.249
"Oct 22, 2019",0.291
"Oct 22, 2019",0.221
"Oct 25, 2019",0.203
"Oct 25, 2019",0.151
"Oct 27, 2019",0.218
"Oct 27, 2019",0.157
"Nov 4, 2019",0.17
