system:index,.geo
0,"{""type"":""Point"",""coordinates"":[76.52257034790416,28.633554915792356]}"
1,"{""type"":""Point"",""coordinates"":[76.4111406976113,28.70125857507684]}"
2,"{""type"":""Point"",""coordinates"":[76.41077678805246,28.33614883172406]}"
3,"{""type"":""Point"",""coordinates"":[76.35959949395894,28.515721410183982]}"
4,"{""type"":""Point"",""coordinates"":[76.77887738868168,28.568570247638792]}"
5,"{""type"":""Point"",""coordinates"":[76.7093035064238,28.538289507622927]}"
6,"{""type"":""Point"",""coordinates"":[76.61400614211145,28.63270253328783]}"
7,"{""type"":""Point"",""coordinates"":[76.72090007442856,28.717562188454135]}"
8,"{""type"":""Point"",""coordinates"":[76.83919248878522,28.64042600956254]}"
9,"{""type"":""Point"",""coordinates"":[76.63731472197126,28.67901297440443]}"
10,"{""type"":""Point"",""coordinates"":[76.52327795290485,28.636061998394073]}"
11,"{""type"":""Point"",""coordinates"":[76.60861475842815,28.577333481338496]}"
12,"{""type"":""Point"",""coordinates"":[76.50942907865843,28.498403786539452]}"
13,"{""type"":""Point"",""coordinates"":[76.58588057913116,28.726568433359898]}"
14,"{""type"":""Point"",""coordinates"":[76.76878722643413,28.47981350725841]}"
15,"{""type"":""Point"",""coordinates"":[76.43922132363345,28.586104567191438]}"
16,"{""type"":""Point"",""coordinates"":[76.45131997762853,28.44689976057176]}"
17,"{""type"":""Point"",""coordinates"":[76.76343950439986,28.721871620548846]}"
18,"{""type"":""Point"",""coordinates"":[76.8976253900999,28.802116195900023]}"
19,"{""type"":""Point"",""coordinates"":[76.53767468392374,28.352903958139507]}"
20,"{""type"":""Point"",""coordinates"":[76.6631293741612,28.70010538529662]}"
21,"{""type"":""Point"",""coordinates"":[76.82211814069682,28.62091277899079]}"
22,"{""type"":""Point"",""coordinates"":[76.58580477214842,28.56941947223915]}"
23,"{""type"":""Point"",""coordinates"":[76.4697303022832,28.462260498819706]}"
24,"{""type"":""Point"",""coordinates"":[76.75158765122669,28.720182577482763]}"
25,"{""type"":""Point"",""coordinates"":[76.49402986146085,28.553024074541867]}"
26,"{""type"":""Point"",""coordinates"":[76.89349798342963,28.709206642004077]}"
27,"{""type"":""Point"",""coordinates"":[76.40285137577789,28.381491640526566]}"
28,"{""type"":""Point"",""coordinates"":[76.76247062053693,28.701830534048177]}"
29,"{""type"":""Point"",""coordinates"":[76.6367438903564,28.59867721853216]}"
