system:time_start,ndre
"Dec 16, 2018",0.328
"Dec 21, 2018",0.291
"Dec 26, 2018",0.34
"Dec 31, 2018",0.351
"Jan 5, 2019",0.282
"Jan 20, 2019",0.444
"Jan 25, 2019",0.37
"Feb 4, 2019",0.292
"Feb 9, 2019",0.527
"Feb 19, 2019",0.391
"Feb 24, 2019",0.522
"Mar 1, 2019",0.511
"Mar 6, 2019",0.503
"Mar 11, 2019",0.262
"Mar 16, 2019",0.433
"Mar 21, 2019",0.328
"Mar 26, 2019",0.347
"Mar 31, 2019",0.267
"Apr 5, 2019",0.185
"Apr 10, 2019",0.118
"Apr 20, 2019",0.071
"Apr 25, 2019",0.078
"Apr 30, 2019",0.079
"May 5, 2019",0.106
"May 10, 2019",0.073
"May 25, 2019",0.074
"May 30, 2019",0.078
"Jun 4, 2019",0.057
"Jun 9, 2019",0.061
"Jun 14, 2019",0.07
"Jun 19, 2019",0.052
"Jun 29, 2019",0.053
"Jul 14, 2019",0.048
"Aug 23, 2019",0.338
"Aug 28, 2019",0.19
"Sep 12, 2019",0.302
"Sep 17, 2019",0.33
"Oct 2, 2019",0.142
"Oct 12, 2019",0.237
"Oct 17, 2019",0.178
"Oct 27, 2019",0.139
"Nov 6, 2019",0.137
"Nov 11, 2019",0.069
"Nov 16, 2019",0.075
"Dec 1, 2019",0.147
"Jan 5, 2020",0.288
"Jan 10, 2020",0.31
"Jan 25, 2020",0.473
"Jan 30, 2020",0.419
"Feb 4, 2020",0.483
"Feb 9, 2020",0.498
"Feb 14, 2020",0.538
"Feb 24, 2020",0.427
"Feb 29, 2020",0.239
"Mar 5, 2020",0.377
"Mar 10, 2020",0.496
"Mar 15, 2020",0.435
"Mar 25, 2020",0.374
"Mar 30, 2020",0.266
"Apr 4, 2020",0.209
"Apr 19, 2020",0.123
"Apr 24, 2020",0.091
"Apr 29, 2020",0.08
"May 9, 2020",0.08
"May 14, 2020",0.068
"May 24, 2020",0.08
"May 29, 2020",0.02
"Jun 3, 2020",0.055
"Jun 8, 2020",0.07
"Jun 18, 2020",0.084
"Jun 23, 2020",0.03
"Jun 28, 2020",0.1
"Jul 3, 2020",0.109
"Jul 13, 2020",0.117
"Aug 2, 2020",0.273
"Sep 6, 2020",0.313
"Sep 11, 2020",0.354
"Sep 16, 2020",0.313
"Sep 21, 2020",0.298
"Oct 1, 2020",0.277
"Oct 6, 2020",0.269
"Oct 16, 2020",0.212
"Oct 21, 2020",0.179
"Oct 26, 2020",0.133
"Oct 31, 2020",0.135
"Nov 5, 2020",0.081
"Nov 10, 2020",0.042
"Nov 15, 2020",0.046
"Nov 20, 2020",0.111
"Nov 30, 2020",0.133
"Dec 5, 2020",0.156
"Dec 10, 2020",0.175
"Dec 25, 2020",0.325
"Jan 14, 2021",0.333
"Jan 29, 2021",0.476
"Feb 3, 2021",0.499
"Feb 8, 2021",0.499
"Feb 18, 2021",0.319
"Feb 23, 2021",0.526
"Feb 28, 2021",0.469
"Mar 5, 2021",0.513
"Mar 10, 2021",0.471
"Mar 10, 2021",0.398
"Mar 20, 2021",0.325
"Mar 30, 2021",0.185
"Apr 4, 2021",0.147
"Apr 9, 2021",0.133
"Apr 14, 2021",0.105
"Apr 19, 2021",0.084
"Apr 24, 2021",0.103
"Apr 29, 2021",0.066
"May 4, 2021",0.078
"May 9, 2021",0.065
"May 14, 2021",0.059
"May 24, 2021",0.083
"May 29, 2021",0.057
"Jun 3, 2021",0.088
"Jun 8, 2021",0.061
"Jun 23, 2021",0.099
"Jun 28, 2021",0.077
"Jul 8, 2021",0.093
"Aug 12, 2021",0.256
"Aug 17, 2021",0.255
"Aug 27, 2021",0.256
"Oct 6, 2021",0.292
"Oct 11, 2021",0.277
"Oct 16, 2021",0.217
"Oct 21, 2021",0.239
"Oct 26, 2021",0.199
"Oct 31, 2021",0.178
"Nov 10, 2021",0.098
"Nov 15, 2021",0.083
"Nov 20, 2021",0.128
"Nov 25, 2021",0.15
"Dec 10, 2021",0.226
"Dec 15, 2021",0.241
"Dec 20, 2021",0.318
"Dec 25, 2021",0.244
"Dec 30, 2021",0.366
"Jan 29, 2022",0.483
"Feb 8, 2022",0.377
"Feb 13, 2022",0.491
"Feb 18, 2022",0.496
"Feb 28, 2022",0.509
"Mar 5, 2022",0.465
"Mar 10, 2022",0.436
"Mar 15, 2022",0.361
"Mar 20, 2022",0.315
"Mar 25, 2022",0.245
"Mar 30, 2022",0.192
"Apr 4, 2022",0.168
"Apr 9, 2022",0.145
"Apr 14, 2022",0.119
"Apr 19, 2022",0.11
"Apr 24, 2022",0.112
"Apr 29, 2022",0.112
"May 4, 2022",0.068
"May 9, 2022",0.098
"May 14, 2022",0.112
"May 19, 2022",0.09
"May 24, 2022",0.104
"May 29, 2022",0.082
"Jun 3, 2022",0.104
"Jun 8, 2022",0.089
"Jun 23, 2022",0.106
"Jul 8, 2022",0.124
"Jul 18, 2022",0.08
"Jul 18, 2022",0.072
"Aug 27, 2022",0.285
"Sep 1, 2022",0.282
"Sep 6, 2022",0.335
"Sep 26, 2022",0.304
"Oct 1, 2022",0.301
"Oct 16, 2022",0.257
"Oct 21, 2022",0.224
"Oct 26, 2022",0.192
"Oct 31, 2022",0.119
"Nov 5, 2022",0.098
"Nov 10, 2022",0.044
"Nov 15, 2022",0.112
"Nov 20, 2022",0.15
"Nov 25, 2022",0.187
"Nov 30, 2022",0.172
"Dec 5, 2022",0.224
