system:time_start,ndvi
"Dec 16, 2018",0.488
"Dec 21, 2018",0.421
"Dec 26, 2018",0.49
"Dec 31, 2018",0.53
"Jan 5, 2019",0.396
"Jan 20, 2019",0.644
"Jan 25, 2019",0.504
"Feb 4, 2019",0.386
"Feb 9, 2019",0.718
"Feb 19, 2019",0.534
"Feb 24, 2019",0.714
"Mar 1, 2019",0.72
"Mar 6, 2019",0.7
"Mar 11, 2019",0.374
"Mar 16, 2019",0.599
"Mar 21, 2019",0.469
"Mar 26, 2019",0.512
"Mar 31, 2019",0.403
"Apr 5, 2019",0.302
"Apr 10, 2019",0.217
"Apr 20, 2019",0.143
"Apr 25, 2019",0.138
"Apr 30, 2019",0.141
"May 5, 2019",0.164
"May 10, 2019",0.126
"May 25, 2019",0.134
"May 30, 2019",0.129
"Jun 4, 2019",0.113
"Jun 9, 2019",0.12
"Jun 14, 2019",0.13
"Jun 19, 2019",0.119
"Jun 29, 2019",0.113
"Jul 14, 2019",0.101
"Aug 23, 2019",0.532
"Aug 28, 2019",0.318
"Sep 12, 2019",0.447
"Sep 17, 2019",0.508
"Oct 2, 2019",0.248
"Oct 12, 2019",0.389
"Oct 17, 2019",0.287
"Oct 27, 2019",0.234
"Nov 6, 2019",0.235
"Nov 11, 2019",0.122
"Nov 16, 2019",0.147
"Dec 1, 2019",0.223
"Jan 5, 2020",0.451
"Jan 10, 2020",0.442
"Jan 25, 2020",0.659
"Jan 30, 2020",0.572
"Feb 4, 2020",0.669
"Feb 9, 2020",0.66
"Feb 14, 2020",0.702
"Feb 24, 2020",0.559
"Feb 29, 2020",0.34
"Mar 5, 2020",0.524
"Mar 10, 2020",0.672
"Mar 15, 2020",0.614
"Mar 25, 2020",0.597
"Mar 30, 2020",0.412
"Apr 4, 2020",0.361
"Apr 19, 2020",0.201
"Apr 24, 2020",0.169
"Apr 29, 2020",0.151
"May 9, 2020",0.141
"May 14, 2020",0.132
"May 24, 2020",0.139
"May 29, 2020",0.069
"Jun 3, 2020",0.116
"Jun 8, 2020",0.138
"Jun 18, 2020",0.148
"Jun 23, 2020",0.097
"Jun 28, 2020",0.171
"Jul 3, 2020",0.196
"Jul 13, 2020",0.215
"Aug 2, 2020",0.444
"Sep 6, 2020",0.471
"Sep 11, 2020",0.54
"Sep 16, 2020",0.46
"Sep 21, 2020",0.445
"Oct 1, 2020",0.424
"Oct 6, 2020",0.408
"Oct 16, 2020",0.327
"Oct 21, 2020",0.288
"Oct 26, 2020",0.21
"Oct 31, 2020",0.213
"Nov 5, 2020",0.124
"Nov 10, 2020",0.081
"Nov 15, 2020",0.097
"Nov 20, 2020",0.18
"Nov 30, 2020",0.213
"Dec 5, 2020",0.241
"Dec 10, 2020",0.286
"Dec 25, 2020",0.467
"Jan 14, 2021",0.45
"Jan 29, 2021",0.674
"Feb 3, 2021",0.686
"Feb 8, 2021",0.693
"Feb 18, 2021",0.432
"Feb 23, 2021",0.717
"Feb 28, 2021",0.641
"Mar 5, 2021",0.698
"Mar 10, 2021",0.658
"Mar 10, 2021",0.586
"Mar 20, 2021",0.516
"Mar 30, 2021",0.29
"Apr 4, 2021",0.231
"Apr 9, 2021",0.211
"Apr 14, 2021",0.168
"Apr 19, 2021",0.154
"Apr 24, 2021",0.173
"Apr 29, 2021",0.131
"May 4, 2021",0.133
"May 9, 2021",0.133
"May 14, 2021",0.117
"May 24, 2021",0.16
"May 29, 2021",0.123
"Jun 3, 2021",0.153
"Jun 8, 2021",0.13
"Jun 23, 2021",0.17
"Jun 28, 2021",0.153
"Jul 8, 2021",0.175
"Aug 12, 2021",0.42
"Aug 17, 2021",0.43
"Aug 27, 2021",0.401
"Oct 6, 2021",0.466
"Oct 11, 2021",0.432
"Oct 16, 2021",0.386
"Oct 21, 2021",0.372
"Oct 26, 2021",0.332
"Oct 31, 2021",0.29
"Nov 10, 2021",0.153
"Nov 15, 2021",0.133
"Nov 20, 2021",0.201
"Nov 25, 2021",0.24
"Dec 10, 2021",0.336
"Dec 15, 2021",0.363
"Dec 20, 2021",0.466
"Dec 25, 2021",0.373
"Dec 30, 2021",0.535
"Jan 29, 2022",0.713
"Feb 8, 2022",0.546
"Feb 13, 2022",0.721
"Feb 18, 2022",0.702
"Feb 28, 2022",0.726
"Mar 5, 2022",0.695
"Mar 10, 2022",0.644
"Mar 15, 2022",0.57
"Mar 20, 2022",0.491
"Mar 25, 2022",0.413
"Mar 30, 2022",0.299
"Apr 4, 2022",0.267
"Apr 9, 2022",0.237
"Apr 14, 2022",0.207
"Apr 19, 2022",0.189
"Apr 24, 2022",0.19
"Apr 29, 2022",0.18
"May 4, 2022",0.137
"May 9, 2022",0.176
"May 14, 2022",0.189
"May 19, 2022",0.165
"May 24, 2022",0.203
"May 29, 2022",0.148
"Jun 3, 2022",0.189
"Jun 8, 2022",0.156
"Jun 23, 2022",0.19
"Jul 8, 2022",0.22
"Jul 18, 2022",0.18
"Jul 18, 2022",0.142
"Aug 27, 2022",0.446
"Sep 1, 2022",0.453
"Sep 6, 2022",0.501
"Sep 26, 2022",0.48
"Oct 1, 2022",0.482
"Oct 16, 2022",0.432
"Oct 21, 2022",0.409
"Oct 26, 2022",0.327
"Oct 31, 2022",0.215
"Nov 5, 2022",0.177
"Nov 10, 2022",0.118
"Nov 15, 2022",0.201
"Nov 20, 2022",0.251
"Nov 25, 2022",0.273
"Nov 30, 2022",0.275
"Dec 5, 2022",0.335
