system:time_start,savi
"Dec 16, 2018",0.31
"Dec 21, 2018",0.281
"Dec 26, 2018",0.314
"Dec 31, 2018",0.347
"Jan 5, 2019",0.267
"Jan 20, 2019",0.425
"Jan 25, 2019",0.353
"Feb 4, 2019",0.29
"Feb 9, 2019",0.49
"Feb 19, 2019",0.39
"Feb 24, 2019",0.487
"Mar 1, 2019",0.488
"Mar 6, 2019",0.462
"Mar 11, 2019",0.268
"Mar 16, 2019",0.404
"Mar 21, 2019",0.306
"Mar 26, 2019",0.323
"Mar 31, 2019",0.253
"Apr 5, 2019",0.186
"Apr 10, 2019",0.136
"Apr 20, 2019",0.096
"Apr 25, 2019",0.095
"Apr 30, 2019",0.103
"May 5, 2019",0.121
"May 10, 2019",0.093
"May 25, 2019",0.097
"May 30, 2019",0.096
"Jun 4, 2019",0.081
"Jun 9, 2019",0.087
"Jun 14, 2019",0.095
"Jun 19, 2019",0.089
"Jun 29, 2019",0.084
"Jul 14, 2019",0.079
"Aug 23, 2019",0.356
"Aug 28, 2019",0.216
"Sep 12, 2019",0.303
"Sep 17, 2019",0.337
"Oct 2, 2019",0.166
"Oct 12, 2019",0.251
"Oct 17, 2019",0.187
"Oct 27, 2019",0.155
"Nov 6, 2019",0.145
"Nov 11, 2019",0.083
"Nov 16, 2019",0.093
"Dec 1, 2019",0.142
"Jan 5, 2020",0.281
"Jan 10, 2020",0.286
"Jan 25, 2020",0.419
"Jan 30, 2020",0.404
"Feb 4, 2020",0.448
"Feb 9, 2020",0.453
"Feb 14, 2020",0.475
"Feb 24, 2020",0.394
"Feb 29, 2020",0.219
"Mar 5, 2020",0.356
"Mar 10, 2020",0.468
"Mar 15, 2020",0.426
"Mar 25, 2020",0.373
"Mar 30, 2020",0.272
"Apr 4, 2020",0.22
"Apr 19, 2020",0.147
"Apr 24, 2020",0.126
"Apr 29, 2020",0.11
"May 9, 2020",0.098
"May 14, 2020",0.095
"May 24, 2020",0.103
"May 29, 2020",0.051
"Jun 3, 2020",0.085
"Jun 8, 2020",0.098
"Jun 18, 2020",0.107
"Jun 23, 2020",0.075
"Jun 28, 2020",0.127
"Jul 3, 2020",0.147
"Jul 13, 2020",0.167
"Aug 2, 2020",0.304
"Sep 6, 2020",0.31
"Sep 11, 2020",0.353
"Sep 16, 2020",0.298
"Sep 21, 2020",0.29
"Oct 1, 2020",0.279
"Oct 6, 2020",0.268
"Oct 16, 2020",0.213
"Oct 21, 2020",0.189
"Oct 26, 2020",0.141
"Oct 31, 2020",0.141
"Nov 5, 2020",0.085
"Nov 10, 2020",0.056
"Nov 15, 2020",0.063
"Nov 20, 2020",0.113
"Nov 30, 2020",0.138
"Dec 5, 2020",0.157
"Dec 10, 2020",0.18
"Dec 25, 2020",0.299
"Jan 14, 2021",0.305
"Jan 29, 2021",0.453
"Feb 3, 2021",0.454
"Feb 8, 2021",0.469
"Feb 18, 2021",0.326
"Feb 23, 2021",0.462
"Feb 28, 2021",0.433
"Mar 5, 2021",0.456
"Mar 10, 2021",0.445
"Mar 10, 2021",0.39
"Mar 20, 2021",0.331
"Mar 30, 2021",0.193
"Apr 4, 2021",0.157
"Apr 9, 2021",0.154
"Apr 14, 2021",0.129
"Apr 19, 2021",0.115
"Apr 24, 2021",0.132
"Apr 29, 2021",0.093
"May 4, 2021",0.094
"May 9, 2021",0.095
"May 14, 2021",0.084
"May 24, 2021",0.112
"May 29, 2021",0.089
"Jun 3, 2021",0.114
"Jun 8, 2021",0.098
"Jun 23, 2021",0.126
"Jun 28, 2021",0.113
"Jul 8, 2021",0.131
"Aug 12, 2021",0.281
"Aug 17, 2021",0.288
"Aug 27, 2021",0.276
"Oct 6, 2021",0.298
"Oct 11, 2021",0.277
"Oct 16, 2021",0.252
"Oct 21, 2021",0.25
"Oct 26, 2021",0.224
"Oct 31, 2021",0.193
"Nov 10, 2021",0.109
"Nov 15, 2021",0.093
"Nov 20, 2021",0.128
"Nov 25, 2021",0.151
"Dec 10, 2021",0.217
"Dec 15, 2021",0.242
"Dec 20, 2021",0.296
"Dec 25, 2021",0.253
"Dec 30, 2021",0.341
"Jan 29, 2022",0.458
"Feb 8, 2022",0.37
"Feb 13, 2022",0.467
"Feb 18, 2022",0.465
"Feb 28, 2022",0.485
"Mar 5, 2022",0.459
"Mar 10, 2022",0.429
"Mar 15, 2022",0.365
"Mar 20, 2022",0.305
"Mar 25, 2022",0.248
"Mar 30, 2022",0.188
"Apr 4, 2022",0.176
"Apr 9, 2022",0.167
"Apr 14, 2022",0.152
"Apr 19, 2022",0.144
"Apr 24, 2022",0.142
"Apr 29, 2022",0.135
"May 4, 2022",0.102
"May 9, 2022",0.125
"May 14, 2022",0.135
"May 19, 2022",0.123
"May 24, 2022",0.137
"May 29, 2022",0.113
"Jun 3, 2022",0.142
"Jun 8, 2022",0.122
"Jun 23, 2022",0.147
"Jul 8, 2022",0.161
"Jul 18, 2022",0.114
"Jul 18, 2022",0.111
"Aug 27, 2022",0.306
"Sep 1, 2022",0.293
"Sep 6, 2022",0.337
"Sep 26, 2022",0.295
"Oct 1, 2022",0.298
"Oct 16, 2022",0.263
"Oct 21, 2022",0.24
"Oct 26, 2022",0.202
"Oct 31, 2022",0.148
"Nov 5, 2022",0.117
"Nov 10, 2022",0.072
"Nov 15, 2022",0.127
"Nov 20, 2022",0.159
"Nov 25, 2022",0.175
"Nov 30, 2022",0.178
"Dec 5, 2022",0.216
