-BEGIN HEADER-,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,
Dates (month/day/year): 01/01/2017 through 12/09/2022 ,,,,,,,
Location: Latitude  28.6209   Longitude 76.8221 ,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,
Parameter(s): ,,,,,,,
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,
TS                     MERRA-2 Earth Skin Temperature (C) ,,,,,,,
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) ,,,,,,,
-END HEADER-,,,,,,,
YEAR,MO,DY,PRECTOTCORR,TS,T2M_MAX,T2M_MIN,ALLSKY_SFC_PAR_TOT
2017,1,1,0,13.91,22.41,8.01,44.05
2017,1,2,0.01,14.94,23.72,8.52,37.88
2017,1,3,0,15.82,25,8.38,51.15
2017,1,4,0,15.61,25.37,10.77,52.52
2017,1,5,0,15.81,26.19,11.25,56.03
2017,1,6,0.18,16.22,26.18,8.83,59.41
2017,1,7,4.5,16.1,22.26,11.09,24.9
2017,1,8,0,13.71,20.8,7.63,39.55
2017,1,9,0,11.75,19.28,6.39,47.6
2017,1,10,0,9.4,18.77,3.12,66.23
2017,1,11,0,8.47,18.4,1.43,70
2017,1,12,0,9.12,18.94,2.65,63.62
2017,1,13,0,9.95,20.42,4.12,58.46
2017,1,14,0,10.65,20.91,5.09,47.84
2017,1,15,0.03,13.05,23.57,5.57,59.4
2017,1,16,0,13.04,22.46,7.1,52.48
2017,1,17,0,10.61,18.84,3.65,52.41
2017,1,18,0,12.3,22.07,4.76,59.69
2017,1,19,0,12.19,21.49,4.9,68.06
2017,1,20,0,11.38,21.09,3.96,68.1
2017,1,21,0.05,13.04,20.71,7.08,43.47
2017,1,22,0.04,16.26,25.9,8.94,46.84
2017,1,23,0,16.34,25.78,8.55,58.93
2017,1,24,0,17.37,26.49,9.97,58.95
2017,1,25,0.27,18.82,27,12.51,42.97
2017,1,26,15.43,17.79,25.8,12.38,9.84
2017,1,27,10.46,14.2,19.87,9.69,55.3
2017,1,28,0,13.94,22.15,6.58,58.03
2017,1,29,0,14.77,24.37,8.19,67.32
2017,1,30,0,15.3,25.02,8.5,68.45
2017,1,31,0,15.27,24.73,10.22,68.49
2017,2,1,0,14.58,23.56,7.7,72.1
2017,2,2,0,14.3,24.08,9.4,63.9
2017,2,3,0,15.3,25.58,7.62,66.43
2017,2,4,0,17.54,26.06,10.68,56.48
2017,2,5,0.24,17,24.98,11.17,54.72
2017,2,6,0,14.29,22.8,8.34,68.04
2017,2,7,0,13.62,22.95,5.48,84.77
2017,2,8,0,14.87,24.99,8.4,81.3
2017,2,9,0,13.79,22.89,7.51,82.37
2017,2,10,0,13.6,23.5,6.08,87.43
2017,2,11,0,14.49,25.03,6.78,84.55
2017,2,12,0,14.37,24.49,6.77,66.95
2017,2,13,0,14.48,24.99,6.59,76.72
2017,2,14,0,15.65,27.05,7.01,85.28
2017,2,15,0,18.15,28.89,9.55,85.24
2017,2,16,0,20.12,29.2,13.51,81.44
2017,2,17,0,20.67,29.28,13.91,72.75
2017,2,18,0,21.11,31.24,12.49,86.18
2017,2,19,0,22.55,32.12,15.29,86.53
2017,2,20,0,22.38,32.08,14.47,84.76
2017,2,21,0,17.93,26.54,10.96,91.55
