system:index,.geo
0,"{""type"":""Point"",""coordinates"":[76.35616914884467,29.458656316368035]}"
1,"{""type"":""Point"",""coordinates"":[76.35710728373871,29.55492046914863]}"
2,"{""type"":""Point"",""coordinates"":[76.3287988373727,29.57303009276366]}"
3,"{""type"":""Point"",""coordinates"":[76.48984817668044,29.4658992058564]}"
4,"{""type"":""Point"",""coordinates"":[76.13689470581463,29.536187243482026]}"
5,"{""type"":""Point"",""coordinates"":[76.21974049294961,29.52919240197936]}"
6,"{""type"":""Point"",""coordinates"":[76.42753578556591,29.42085681057503]}"
7,"{""type"":""Point"",""coordinates"":[76.50084658231475,29.45460590714853]}"
8,"{""type"":""Point"",""coordinates"":[76.23566005100103,29.361383730998675]}"
9,"{""type"":""Point"",""coordinates"":[76.30246039313084,29.43511930960574]}"
10,"{""type"":""Point"",""coordinates"":[76.35234799982209,29.4574600052072]}"
11,"{""type"":""Point"",""coordinates"":[76.43990316662835,29.379164822691617]}"
12,"{""type"":""Point"",""coordinates"":[76.5485446620243,29.375260414615617]}"
13,"{""type"":""Point"",""coordinates"":[76.18177760091491,29.427318431350784]}"
14,"{""type"":""Point"",""coordinates"":[76.32498894547744,29.578314192338503]}"
15,"{""type"":""Point"",""coordinates"":[76.49023426750936,29.456310838637606]}"
16,"{""type"":""Point"",""coordinates"":[76.58810621805283,29.303109651467004]}"
17,"{""type"":""Point"",""coordinates"":[76.53927121149944,29.444976208627526]}"
18,"{""type"":""Point"",""coordinates"":[76.18658639062298,29.63006348607744]}"
19,"{""type"":""Point"",""coordinates"":[76.29345569059464,29.569888010259135]}"
20,"{""type"":""Point"",""coordinates"":[76.31598292246187,29.51574812883319]}"
21,"{""type"":""Point"",""coordinates"":[76.20961406545283,29.579774717675527]}"
22,"{""type"":""Point"",""coordinates"":[76.08367495464569,29.5930432116005]}"
23,"{""type"":""Point"",""coordinates"":[76.08473032876468,29.567746847818896]}"
24,"{""type"":""Point"",""coordinates"":[76.53286127803595,29.2889354728049]}"
25,"{""type"":""Point"",""coordinates"":[76.32694635017788,29.349413939500614]}"
26,"{""type"":""Point"",""coordinates"":[76.13157985714025,29.751697056751272]}"
27,"{""type"":""Point"",""coordinates"":[76.43859320197387,29.112419772639406]}"
28,"{""type"":""Point"",""coordinates"":[76.22237987595527,29.50489164727075]}"
29,"{""type"":""Point"",""coordinates"":[76.43614441238223,29.3034999124112]}"
