system:time_start,ndre
"Dec 14, 2018",0.091
"Dec 14, 2018",0.108
"Dec 14, 2018",0.175
"Dec 14, 2018",0.238
"Dec 16, 2018",0.16
"Dec 16, 2018",0.171
"Dec 16, 2018",0.251
"Dec 16, 2018",0.253
"Dec 19, 2018",0.169
"Dec 19, 2018",0.179
"Dec 19, 2018",0.23
"Dec 19, 2018",0.243
"Dec 21, 2018",0.15
"Dec 21, 2018",0.148
"Dec 21, 2018",0.253
"Dec 21, 2018",0.264
"Dec 24, 2018",0.123
"Dec 24, 2018",0.128
"Dec 24, 2018",0.215
"Dec 24, 2018",0.237
"Dec 26, 2018",0.219
"Dec 26, 2018",0.215
"Dec 26, 2018",0.262
"Dec 26, 2018",0.283
"Dec 29, 2018",0.234
"Dec 29, 2018",0.228
"Dec 29, 2018",0.273
"Dec 29, 2018",0.294
"Dec 31, 2018",0.222
"Dec 31, 2018",0.213
"Dec 31, 2018",0.312
"Dec 31, 2018",0.317
"Jan 8, 2019",0.313
"Jan 8, 2019",0.299
"Jan 13, 2019",0.338
"Jan 13, 2019",0.338
"Jan 13, 2019",0.302
"Jan 13, 2019",0.376
"Jan 23, 2019",0.51
"Jan 23, 2019",0.497
"Jan 23, 2019",0.55
"Jan 25, 2019",0.558
"Jan 25, 2019",0.546
"Jan 25, 2019",0.501
"Jan 25, 2019",0.598
"Jan 28, 2019",0.581
"Jan 28, 2019",0.587
"Jan 28, 2019",0.597
"Jan 28, 2019",0.64
"Feb 2, 2019",-0.023
"Feb 4, 2019",0.539
"Feb 4, 2019",0.638
"Feb 9, 2019",0.66
"Feb 9, 2019",0.668
"Feb 9, 2019",0.598
"Feb 9, 2019",0.665
"Feb 17, 2019",0.562
"Feb 17, 2019",0.41
"Feb 19, 2019",0.583
"Feb 19, 2019",0.562
"Feb 22, 2019",0.277
"Feb 24, 2019",0.459
"Feb 24, 2019",0.632
"Feb 24, 2019",0.62
"Feb 27, 2019",0.739
"Feb 27, 2019",0.737
"Feb 27, 2019",0.701
"Feb 27, 2019",0.721
"Mar 1, 2019",0.699
"Mar 1, 2019",0.707
"Mar 1, 2019",0.623
"Mar 1, 2019",0.704
"Mar 4, 2019",0.607
"Mar 6, 2019",0.706
"Mar 6, 2019",0.715
"Mar 6, 2019",0.632
"Mar 6, 2019",0.71
"Mar 9, 2019",0.73
"Mar 9, 2019",0.728
"Mar 9, 2019",0.702
"Mar 9, 2019",0.722
"Mar 16, 2019",0.354
"Mar 19, 2019",0.705
"Mar 19, 2019",0.714
"Mar 19, 2019",0.654
"Mar 19, 2019",0.687
"Mar 19, 2019",0.623
"Mar 21, 2019",0.658
"Mar 21, 2019",0.656
"Mar 21, 2019",0.501
"Mar 21, 2019",0.637
"Mar 24, 2019",0.672
"Mar 24, 2019",0.678
"Mar 24, 2019",0.598
"Mar 24, 2019",0.64
"Mar 26, 2019",0.674
"Mar 26, 2019",0.674
"Mar 26, 2019",0.549
"Mar 26, 2019",0.624
"Mar 29, 2019",0.519
"Mar 29, 2019",0.525
"Mar 31, 2019",0.6
"Mar 31, 2019",0.594
"Mar 31, 2019",0.471
"Mar 31, 2019",0.575
"Apr 3, 2019",0.388
"Apr 3, 2019",0.447
"Apr 5, 2019",0.397
"Apr 5, 2019",0.397
"Apr 5, 2019",0.331
"Apr 5, 2019",0.399
"Apr 8, 2019",0.282
"Apr 8, 2019",0.246
"Apr 10, 2019",0.227
"Apr 10, 2019",0.204
"Apr 10, 2019",0.259
"Apr 15, 2019",0.162
"Apr 15, 2019",0.162
"Apr 15, 2019",0.161
"Apr 15, 2019",0.191
"Apr 18, 2019",0.123
"Apr 18, 2019",0.123
"Apr 18, 2019",0.128
"Apr 18, 2019",0.196
"Apr 20, 2019",-0.05
