system:time_start,ndvi
"Dec 14, 2018",0.22
"Dec 14, 2018",0.245
"Dec 14, 2018",0.282
"Dec 14, 2018",0.369
"Dec 16, 2018",0.272
"Dec 16, 2018",0.278
"Dec 16, 2018",0.383
"Dec 16, 2018",0.374
"Dec 19, 2018",0.276
"Dec 19, 2018",0.287
"Dec 19, 2018",0.335
"Dec 19, 2018",0.34
"Dec 21, 2018",0.286
"Dec 21, 2018",0.288
"Dec 21, 2018",0.372
"Dec 21, 2018",0.4
"Dec 24, 2018",0.225
"Dec 24, 2018",0.231
"Dec 24, 2018",0.327
"Dec 24, 2018",0.355
"Dec 26, 2018",0.341
"Dec 26, 2018",0.344
"Dec 26, 2018",0.392
"Dec 26, 2018",0.409
"Dec 29, 2018",0.358
"Dec 29, 2018",0.357
"Dec 29, 2018",0.401
"Dec 29, 2018",0.434
"Dec 31, 2018",0.355
"Dec 31, 2018",0.349
"Dec 31, 2018",0.472
"Dec 31, 2018",0.473
"Jan 8, 2019",0.466
"Jan 8, 2019",0.434
"Jan 13, 2019",0.53
"Jan 13, 2019",0.529
"Jan 13, 2019",0.424
"Jan 13, 2019",0.531
"Jan 23, 2019",0.745
"Jan 23, 2019",0.723
"Jan 23, 2019",0.767
"Jan 25, 2019",0.762
"Jan 25, 2019",0.748
"Jan 25, 2019",0.678
"Jan 25, 2019",0.799
"Jan 28, 2019",0.742
"Jan 28, 2019",0.755
"Jan 28, 2019",0.785
"Jan 28, 2019",0.829
"Feb 2, 2019",0.004
"Feb 4, 2019",0.681
"Feb 4, 2019",0.824
"Feb 9, 2019",0.853
"Feb 9, 2019",0.868
"Feb 9, 2019",0.789
"Feb 9, 2019",0.871
"Feb 17, 2019",0.718
"Feb 17, 2019",0.541
"Feb 19, 2019",0.722
"Feb 19, 2019",0.701
"Feb 22, 2019",0.344
"Feb 24, 2019",0.555
"Feb 24, 2019",0.807
"Feb 24, 2019",0.788
"Feb 27, 2019",0.93
"Feb 27, 2019",0.929
"Feb 27, 2019",0.902
"Feb 27, 2019",0.933
"Mar 1, 2019",0.89
"Mar 1, 2019",0.907
"Mar 1, 2019",0.815
"Mar 1, 2019",0.922
"Mar 4, 2019",0.773
"Mar 6, 2019",0.887
"Mar 6, 2019",0.903
"Mar 6, 2019",0.812
"Mar 6, 2019",0.916
"Mar 9, 2019",0.907
"Mar 9, 2019",0.903
"Mar 9, 2019",0.899
"Mar 9, 2019",0.918
"Mar 16, 2019",0.401
"Mar 19, 2019",0.865
"Mar 19, 2019",0.878
"Mar 19, 2019",0.848
"Mar 19, 2019",0.873
"Mar 19, 2019",0.826
"Mar 21, 2019",0.844
"Mar 21, 2019",0.841
"Mar 21, 2019",0.663
"Mar 21, 2019",0.837
"Mar 24, 2019",0.863
"Mar 24, 2019",0.871
"Mar 24, 2019",0.804
"Mar 24, 2019",0.866
"Mar 26, 2019",0.846
"Mar 26, 2019",0.842
"Mar 26, 2019",0.751
"Mar 26, 2019",0.835
"Mar 29, 2019",0.72
"Mar 29, 2019",0.705
"Mar 31, 2019",0.769
"Mar 31, 2019",0.761
"Mar 31, 2019",0.674
"Mar 31, 2019",0.792
"Apr 3, 2019",0.544
"Apr 3, 2019",0.647
"Apr 5, 2019",0.566
"Apr 5, 2019",0.566
"Apr 5, 2019",0.549
"Apr 5, 2019",0.599
"Apr 8, 2019",0.429
"Apr 8, 2019",0.368
"Apr 10, 2019",0.378
"Apr 10, 2019",0.348
"Apr 10, 2019",0.44
"Apr 15, 2019",0.268
"Apr 15, 2019",0.265
"Apr 15, 2019",0.276
"Apr 15, 2019",0.327
"Apr 18, 2019",0.245
"Apr 18, 2019",0.243
"Apr 18, 2019",0.234
"Apr 18, 2019",0.329
"Apr 20, 2019",-0.015
"Apr 20, 2019",-0.013
"Apr 20, 2019",0.216
"Apr 20, 2019",0.247
"Apr 23, 2019",0.167
"Apr 23, 2019",0.169
"Apr 23, 2019",0.198
"Apr 23, 2019",0.263
"Apr 25, 2019",0.119
"Apr 28, 2019",0.18
"Apr 28, 2019",0.181
"Apr 28, 2019",0.194
"Apr 28, 2019",0.226
"Apr 30, 2019",0.15
"Apr 30, 2019",0.15
"Apr 30, 2019",0.179
"Apr 30, 2019",0.229
"May 3, 2019",0.147
"May 3, 2019",0.149
"May 3, 2019",0.172
"May 3, 2019",0.236
"May 5, 2019",0.133
"May 5, 2019",0.136
"May 5, 2019",0.182
"May 5, 2019",0.188
"May 8, 2019",0.153
"May 8, 2019",0.154
"May 8, 2019",0.156
"May 8, 2019",0.164
"May 10, 2019",0.113
"May 10, 2019",0.138
"May 10, 2019",0.159
"May 13, 2019",0.118
"May 13, 2019",0.153
"May 15, 2019",0.166
"May 18, 2019",0.064
"May 18, 2019",0.064
"May 18, 2019",0.122
"May 18, 2019",0.138
"May 25, 2019",0.149
"May 25, 2019",0.149
"May 25, 2019",0.144
"May 25, 2019",0.177
"May 28, 2019",0.159
"May 28, 2019",0.157
"May 28, 2019",0.138
"May 28, 2019",0.145
"May 30, 2019",0.124
"May 30, 2019",0.125
"May 30, 2019",0.138
"May 30, 2019",0.134
"Jun 2, 2019",0.098
"Jun 2, 2019",0.099
"Jun 2, 2019",0.095
"Jun 2, 2019",0.098
"Jun 4, 2019",0.087
"Jun 7, 2019",0.234
"Jun 7, 2019",0.235
"Jun 7, 2019",0.136
"Jun 7, 2019",0.15
"Jun 9, 2019",0.326
"Jun 9, 2019",0.326
"Jun 9, 2019",0.156
"Jun 9, 2019",0.178
"Jun 12, 2019",0.175
"Jun 12, 2019",0.177
"Jun 12, 2019",0.101
"Jun 12, 2019",0.119
"Jun 14, 2019",0.324
"Jun 14, 2019",0.321
"Jun 14, 2019",0.177
"Jun 14, 2019",0.184
"Jun 17, 2019",0.227
"Jun 17, 2019",0.228
"Jun 17, 2019",0.126
"Jun 19, 2019",0.23
"Jun 19, 2019",0.229
"Jun 19, 2019",0.161
"Jun 19, 2019",0.164
"Jun 22, 2019",0.326
"Jun 22, 2019",0.323
"Jun 22, 2019",0.167
"Jun 22, 2019",0.195
"Jun 24, 2019",0.296
"Jun 24, 2019",0.174
"Jun 29, 2019",0.193
"Jun 29, 2019",0.19
"Jun 29, 2019",0.145
"Jun 29, 2019",0.134
"Jul 2, 2019",0.224
"Jul 2, 2019",0.223
"Jul 2, 2019",0.137
"Jul 2, 2019",0.156
"Jul 7, 2019",0.059
"Jul 7, 2019",0.057
"Jul 22, 2019",0.136
"Jul 22, 2019",0.172
"Jul 24, 2019",0.231
"Jul 24, 2019",0.226
"Aug 11, 2019",0.75
"Aug 11, 2019",0.732
"Aug 11, 2019",0.506
"Aug 11, 2019",0.517
"Aug 13, 2019",0.373
"Aug 21, 2019",0.813
"Aug 21, 2019",0.825
"Aug 21, 2019",0.726
"Aug 21, 2019",0.744
"Aug 23, 2019",0.759
"Aug 23, 2019",0.762
"Aug 23, 2019",0.493
"Aug 23, 2019",0.701
"Aug 26, 2019",0.778
"Aug 26, 2019",0.668
"Aug 28, 2019",0.814
"Aug 28, 2019",0.793
"Aug 28, 2019",0.55
"Aug 28, 2019",0.725
"Aug 31, 2019",0.092
"Aug 31, 2019",0.092
"Aug 31, 2019",0.351
"Aug 31, 2019",0.336
"Sep 2, 2019",0.741
"Sep 2, 2019",0.558
"Sep 2, 2019",0.72
"Sep 10, 2019",0.722
"Sep 10, 2019",0.748
"Sep 10, 2019",0.539
"Sep 10, 2019",0.525
"Sep 12, 2019",0.692
"Sep 15, 2019",0.629
"Sep 15, 2019",0.63
"Sep 15, 2019",0.412
"Sep 15, 2019",0.629
"Sep 17, 2019",0.757
"Sep 17, 2019",0.678
"Sep 17, 2019",0.697
"Sep 17, 2019",0.743
"Sep 20, 2019",0.807
"Sep 20, 2019",0.798
"Sep 20, 2019",0.492
"Sep 25, 2019",0.135
"Sep 25, 2019",0.136
"Sep 25, 2019",0.631
"Sep 25, 2019",0.55
"Sep 27, 2019",0.26
"Sep 27, 2019",0.221
"Oct 2, 2019",-0.004
"Oct 2, 2019",-0.008
"Oct 2, 2019",0.363
"Oct 2, 2019",0.203
"Oct 5, 2019",0.718
"Oct 5, 2019",0.748
"Oct 5, 2019",0.699
"Oct 5, 2019",0.721
"Oct 7, 2019",0.694
"Oct 7, 2019",0.715
