system:time_start,savi
"Dec 14, 2018",0.102
"Dec 14, 2018",0.113
"Dec 14, 2018",0.161
"Dec 14, 2018",0.212
"Dec 16, 2018",0.139
"Dec 16, 2018",0.14
"Dec 16, 2018",0.231
"Dec 16, 2018",0.232
"Dec 19, 2018",0.148
"Dec 19, 2018",0.153
"Dec 19, 2018",0.196
"Dec 19, 2018",0.203
"Dec 21, 2018",0.161
"Dec 21, 2018",0.157
"Dec 21, 2018",0.236
"Dec 21, 2018",0.265
"Dec 24, 2018",0.137
"Dec 24, 2018",0.14
"Dec 24, 2018",0.21
"Dec 24, 2018",0.238
"Dec 26, 2018",0.205
"Dec 26, 2018",0.201
"Dec 26, 2018",0.246
"Dec 26, 2018",0.263
"Dec 29, 2018",0.207
"Dec 29, 2018",0.207
"Dec 29, 2018",0.243
"Dec 29, 2018",0.262
"Dec 31, 2018",0.212
"Dec 31, 2018",0.205
"Dec 31, 2018",0.296
"Dec 31, 2018",0.304
"Jan 8, 2019",0.258
"Jan 8, 2019",0.277
"Jan 13, 2019",0.328
"Jan 13, 2019",0.33
"Jan 13, 2019",0.282
"Jan 13, 2019",0.349
"Jan 23, 2019",0.461
"Jan 23, 2019",0.449
"Jan 23, 2019",0.501
"Jan 25, 2019",0.493
"Jan 25, 2019",0.473
"Jan 25, 2019",0.454
"Jan 25, 2019",0.535
"Jan 28, 2019",0.464
"Jan 28, 2019",0.468
"Jan 28, 2019",0.513
"Jan 28, 2019",0.541
"Feb 2, 2019",0.004
"Feb 4, 2019",0.425
"Feb 4, 2019",0.536
"Feb 9, 2019",0.612
"Feb 9, 2019",0.611
"Feb 9, 2019",0.546
"Feb 9, 2019",0.62
"Feb 17, 2019",0.532
"Feb 17, 2019",0.45
"Feb 19, 2019",0.568
"Feb 19, 2019",0.555
"Feb 22, 2019",0.3
"Feb 24, 2019",0.515
"Feb 24, 2019",0.576
"Feb 24, 2019",0.619
"Feb 27, 2019",0.67
"Feb 27, 2019",0.666
"Feb 27, 2019",0.625
"Feb 27, 2019",0.661
"Mar 1, 2019",0.681
"Mar 1, 2019",0.685
"Mar 1, 2019",0.584
"Mar 1, 2019",0.687
"Mar 4, 2019",0.582
"Mar 6, 2019",0.663
"Mar 6, 2019",0.668
"Mar 6, 2019",0.573
"Mar 6, 2019",0.659
"Mar 9, 2019",0.644
"Mar 9, 2019",0.638
"Mar 9, 2019",0.612
"Mar 9, 2019",0.639
"Mar 16, 2019",0.326
"Mar 19, 2019",0.575
"Mar 19, 2019",0.582
"Mar 19, 2019",0.559
"Mar 19, 2019",0.594
"Mar 19, 2019",0.533
"Mar 21, 2019",0.584
"Mar 21, 2019",0.575
"Mar 21, 2019",0.462
"Mar 21, 2019",0.579
"Mar 24, 2019",0.556
"Mar 24, 2019",0.559
"Mar 24, 2019",0.522
"Mar 24, 2019",0.577
"Mar 26, 2019",0.558
"Mar 26, 2019",0.548
"Mar 26, 2019",0.49
"Mar 26, 2019",0.569
"Mar 29, 2019",0.454
"Mar 29, 2019",0.463
"Mar 31, 2019",0.486
"Mar 31, 2019",0.475
"Mar 31, 2019",0.432
"Mar 31, 2019",0.537
"Apr 3, 2019",0.31
"Apr 3, 2019",0.415
"Apr 5, 2019",0.344
"Apr 5, 2019",0.341
"Apr 5, 2019",0.333
"Apr 5, 2019",0.37
"Apr 8, 2019",0.258
"Apr 8, 2019",0.239
"Apr 10, 2019",0.216
"Apr 10, 2019",0.215
"Apr 10, 2019",0.276
"Apr 15, 2019",0.167
"Apr 15, 2019",0.164
"Apr 15, 2019",0.178
