-BEGIN HEADER-,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,
Dates (month/day/year): 01/01/2017 through 12/09/2022 ,,,,,,,
Location: Latitude  29.3753   Longitude 75.5485 ,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 215.2 meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,
Parameter(s): ,,,,,,,
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,
TS                     MERRA-2 Earth Skin Temperature (C) ,,,,,,,
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) ,,,,,,,
-END HEADER-,,,,,,,
YEAR,MO,DY,PRECTOTCORR,TS,T2M_MAX,T2M_MIN,ALLSKY_SFC_PAR_TOT
2017,1,1,0,13.26,22.01,7.83,46.9
2017,1,2,0,14.95,23.7,10.38,51.56
2017,1,3,0,15.25,24.05,9.9,48.41
2017,1,4,0,14.7,24.7,8.9,50.48
2017,1,5,0,15,24.95,11.22,39.37
2017,1,6,5.54,14.61,23.79,8.34,24.7
2017,1,7,3.83,12.74,19.58,9.8,30.42
2017,1,8,0.03,11.69,19.06,6.84,32.12
2017,1,9,0,9.94,18.27,5.51,57.09
2017,1,10,0,7.85,18.01,1.42,69.05
2017,1,11,0,7.73,18.01,1.9,65.79
2017,1,12,0,8.63,19.23,2.3,66.08
2017,1,13,0,8.64,20.07,5.3,66.34
2017,1,14,0,9.74,20.24,4.86,39.09
2017,1,15,0.24,11.33,21.45,4.96,56.22
2017,1,16,0.12,10.83,19.4,6.55,33.52
2017,1,17,0,10.26,19.08,4.2,43.97
2017,1,18,0,11.23,20.38,7.7,57.72
2017,1,19,0,10.92,19.67,4.12,69.12
2017,1,20,0,11.05,21.14,3.46,66.42
2017,1,21,0.41,13.75,23.56,7.73,44.12
2017,1,22,2.17,15.23,24.15,9.97,55.65
2017,1,23,0,14.76,24.51,7.44,59.38
2017,1,24,0,14.9,22.73,10.52,52.97
2017,1,25,6.83,15.23,21.35,11.62,38.69
2017,1,26,38.26,12.29,15,8.45,22.95
2017,1,27,0.4,12.63,19.61,7.08,56.93
2017,1,28,0,12.89,21.01,7.24,43.55
2017,1,29,0,14.22,23.43,8.1,68.72
2017,1,30,0,14,23.28,9.83,65.11
2017,1,31,0,14.19,23.65,11.05,67.65
2017,2,1,0,13.42,22.44,8.05,78.74
2017,2,2,0,13.08,21.84,10.48,62.97
2017,2,3,0,14.23,23.93,7.69,66.44
2017,2,4,0.08,16.8,25.53,10.78,49.29
2017,2,5,0.74,15.19,21.96,11.09,54.57
2017,2,6,0,12.12,21.28,5.26,82.34
2017,2,7,0,11.76,21.61,4.42,75.84
2017,2,8,0,13.76,23.19,8.98,77.75
2017,2,9,0,12.58,22.37,8.61,79.67
2017,2,10,0,12.62,23.27,4.98,90.83
2017,2,11,0,13.12,24.36,7.27,89.05
2017,2,12,0,12.85,23.12,8.03,84.02
2017,2,13,0,13.32,24.45,6.24,85.88
2017,2,14,0,14.74,26.31,6.3,80.71
2017,2,15,0,17.62,28.18,10.91,84.86
2017,2,16,0,19.46,29.67,14.05,79.72
2017,2,17,0,18.42,28.7,12.92,79.72
2017,2,18,0,19.35,29.55,12.85,77.69
2017,2,19,0,20.75,30.02,15.76,75.71
2017,2,20,0,20.18,29.51,13.62,74.95
2017,2,21,0,16.73,25.96,11.31,81.27
