system:index,.geo
0,"{""type"":""Point"",""coordinates"":[76.32591600671515,30.060614980451366]}"
1,"{""type"":""Point"",""coordinates"":[76.19722564500795,29.720305344004085]}"
2,"{""type"":""Point"",""coordinates"":[76.21964035844088,29.826846104695832]}"
3,"{""type"":""Point"",""coordinates"":[76.4259242677502,29.96707444896135]}"
4,"{""type"":""Point"",""coordinates"":[76.48256337411475,29.867297512903612]}"
5,"{""type"":""Point"",""coordinates"":[76.2217646363563,30.000142020428925]}"
6,"{""type"":""Point"",""coordinates"":[76.30818602846955,29.781012854036803]}"
7,"{""type"":""Point"",""coordinates"":[76.25636541755917,29.83689234166693]}"
8,"{""type"":""Point"",""coordinates"":[76.61069657063453,29.801247658215356]}"
9,"{""type"":""Point"",""coordinates"":[76.31666617866463,30.075626580511997]}"
10,"{""type"":""Point"",""coordinates"":[76.36195596350025,30.01188896358504]}"
11,"{""type"":""Point"",""coordinates"":[76.25688368131624,30.11382900405625]}"
12,"{""type"":""Point"",""coordinates"":[76.3309370087142,29.999409272978383]}"
13,"{""type"":""Point"",""coordinates"":[76.2386695319184,30.033564066639215]}"
14,"{""type"":""Point"",""coordinates"":[76.22443416001535,29.847824427609545]}"
15,"{""type"":""Point"",""coordinates"":[76.41582517625781,29.98082993621409]}"
16,"{""type"":""Point"",""coordinates"":[76.56706357246793,29.82471842240023]}"
17,"{""type"":""Point"",""coordinates"":[76.2405475151229,29.88469390927951]}"
18,"{""type"":""Point"",""coordinates"":[76.39517750238521,29.60754272531506]}"
19,"{""type"":""Point"",""coordinates"":[76.30698306786104,29.5767518519971]}"
20,"{""type"":""Point"",""coordinates"":[76.27700985044945,30.00282452213656]}"
21,"{""type"":""Point"",""coordinates"":[76.44095088787843,29.850768995639122]}"
22,"{""type"":""Point"",""coordinates"":[76.3601970776286,29.784119562918587]}"
23,"{""type"":""Point"",""coordinates"":[76.54923281219813,29.793721645499698]}"
24,"{""type"":""Point"",""coordinates"":[76.26187121003213,29.862447465875913]}"
25,"{""type"":""Point"",""coordinates"":[76.35153789652372,29.71125374748392]}"
26,"{""type"":""Point"",""coordinates"":[76.60413016731614,29.66042861868709]}"
27,"{""type"":""Point"",""coordinates"":[76.22300320812231,29.80539259457101]}"
28,"{""type"":""Point"",""coordinates"":[76.26959231628888,29.962021080726444]}"
29,"{""type"":""Point"",""coordinates"":[76.34605523664564,29.8157190582243]}"
