system:time_start,ndre
"Dec 14, 2018",0.357
"Dec 14, 2018",0.25
"Dec 16, 2018",0.421
"Dec 16, 2018",0.323
"Dec 19, 2018",0.393
"Dec 19, 2018",0.339
"Dec 21, 2018",0.402
"Dec 21, 2018",0.341
"Dec 24, 2018",0.326
"Dec 24, 2018",0.319
"Dec 26, 2018",0.406
"Dec 26, 2018",0.317
"Dec 29, 2018",0.466
"Dec 29, 2018",0.383
"Dec 31, 2018",0.447
"Dec 31, 2018",0.346
"Jan 8, 2019",0.512
"Jan 8, 2019",0.523
"Jan 13, 2019",0.459
"Jan 13, 2019",0.383
"Jan 23, 2019",0.591
"Jan 23, 2019",0.608
"Jan 25, 2019",0.563
"Jan 25, 2019",0.507
"Jan 28, 2019",0.609
"Jan 28, 2019",0.641
"Feb 2, 2019",0.138
"Feb 9, 2019",0.574
"Feb 9, 2019",0.562
"Feb 17, 2019",0.338
"Feb 24, 2019",0.602
"Feb 27, 2019",0.644
"Feb 27, 2019",0.71
"Mar 1, 2019",0.58
"Mar 1, 2019",0.59
"Mar 4, 2019",0.167
"Mar 6, 2019",0.58
"Mar 6, 2019",0.592
"Mar 9, 2019",0.615
"Mar 9, 2019",0.717
"Mar 16, 2019",0.533
"Mar 19, 2019",0.55
"Mar 19, 2019",0.672
"Mar 21, 2019",0.504
"Mar 21, 2019",0.495
"Mar 24, 2019",0.483
"Mar 24, 2019",0.653
"Mar 26, 2019",0.472
"Mar 26, 2019",0.53
"Mar 29, 2019",0.565
"Mar 31, 2019",0.425
"Mar 31, 2019",0.497
"Apr 3, 2019",0.332
"Apr 5, 2019",0.267
"Apr 5, 2019",0.357
"Apr 10, 2019",0.222
"Apr 15, 2019",0.175
"Apr 15, 2019",0.18
"Apr 18, 2019",0.132
"Apr 18, 2019",0.178
"Apr 20, 2019",0.131
"Apr 20, 2019",0.139
"Apr 23, 2019",0.112
"Apr 23, 2019",0.119
"Apr 25, 2019",0.065
"Apr 28, 2019",0.132
"Apr 28, 2019",0.141
"Apr 30, 2019",0.127
"Apr 30, 2019",0.117
"May 3, 2019",0.099
"May 3, 2019",0.108
"May 5, 2019",0.13
"May 5, 2019",0.107
"May 8, 2019",0.109
"May 8, 2019",0.118
"May 10, 2019",0.075
"May 13, 2019",0.065
"May 18, 2019",0.068
"May 18, 2019",0.054
"May 25, 2019",0.092
"May 25, 2019",0.096
"May 28, 2019",0.069
"May 28, 2019",0.105
"May 30, 2019",0.092
"May 30, 2019",0.09
"Jun 2, 2019",0.052
"Jun 2, 2019",0.057
"Jun 4, 2019",0.016
"Jun 7, 2019",0.063
"Jun 7, 2019",0.104
"Jun 9, 2019",0.105
"Jun 9, 2019",0.11
"Jun 12, 2019",0.044
"Jun 12, 2019",0.085
"Jun 14, 2019",0.126
"Jun 14, 2019",0.163
"Jun 17, 2019",0.049
"Jun 17, 2019",0.11
"Jun 19, 2019",0.066
"Jun 19, 2019",0.072
"Jun 22, 2019",0.067
"Jun 22, 2019",0.139
"Jun 29, 2019",0.063
"Jun 29, 2019",0.067
"Jul 2, 2019",0.046
"Jul 2, 2019",0.002
"Jul 7, 2019",0.065
"Jul 22, 2019",0.163
"Jul 22, 2019",0.078
"Jul 24, 2019",0.177
"Aug 11, 2019",0.355
"Aug 11, 2019",0.45
"Aug 13, 2019",0.353
"Aug 21, 2019",0.568
"Aug 21, 2019",0.409
"Aug 23, 2019",0.427
"Aug 23, 2019",0.455
"Aug 26, 2019",0.322
"Aug 28, 2019",0.371
"Aug 28, 2019",0.364
"Aug 31, 2019",0.432
"Aug 31, 2019",0.359
"Sep 2, 2019",0.474
"Sep 2, 2019",0.45
"Sep 10, 2019",0.371
"Sep 10, 2019",0.548
"Sep 15, 2019",0.4
"Sep 15, 2019",0.371
"Sep 17, 2019",0.545
"Sep 17, 2019",0.503
"Sep 20, 2019",0.463
"Sep 25, 2019",0.403
"Sep 25, 2019",0.476
"Oct 2, 2019",0.249
"Oct 2, 2019",0.159
"Oct 5, 2019",0.429
"Oct 5, 2019",0.468
"Oct 10, 2019",0.315
"Oct 10, 2019",0.475
"Oct 12, 2019",0.316
"Oct 12, 2019",0.348
"Oct 15, 2019",0.227
"Oct 15, 2019",0.306
"Oct 17, 2019",0.178
"Oct 17, 2019",0.229
"Oct 20, 2019",0.298
"Oct 20, 2019",0.373
"Oct 22, 2019",0.296
"Oct 22, 2019",0.285
"Oct 25, 2019",0.13
"Oct 25, 2019",0.14
"Oct 27, 2019",0.195
"Oct 27, 2019",0.199
"Nov 4, 2019",0.139
"Nov 4, 2019",0.113
"Nov 6, 2019",0.062
"Nov 6, 2019",0.078
"Nov 9, 2019",0.139
"Nov 9, 2019",0.088
"Nov 16, 2019",0.12
"Nov 19, 2019",0.135
"Nov 19, 2019",0.13
"Nov 29, 2019",0.135
"Dec 1, 2019",0.248
"Dec 1, 2019",0.221
"Dec 4, 2019",0.355
"Dec 6, 2019",0.292
"Dec 9, 2019",0.373
"Dec 14, 2019",0.272
"Dec 14, 2019",0.324
"Dec 31, 2019",0.264
"Jan 3, 2020",0.43
"Jan 3, 2020",0.426
"Jan 5, 2020",0.445
"Jan 5, 2020",0.348
"Jan 10, 2020",0.526
"Jan 10, 2020",0.464
"Jan 23, 2020",0.571
"Jan 23, 2020",0.648
"Jan 28, 2020",0.589
"Jan 30, 2020",0.568
"Jan 30, 2020",0.556
"Feb 2, 2020",0.441
"Feb 2, 2020",0.551
"Feb 4, 2020",0.48
"Feb 7, 2020",0.519
"Feb 7, 2020",0.648
"Feb 9, 2020",0.494
"Feb 12, 2020",0.571
"Feb 12, 2020",0.634
"Feb 14, 2020",0.573
"Feb 14, 2020",0.582
"Feb 17, 2020",0.598
"Feb 17, 2020",0.654
"Feb 22, 2020",0.586
"Feb 22, 2020",0.622
"Feb 24, 2020",0.561
"Feb 24, 2020",0.573
"Mar 3, 2020",0.585
"Mar 3, 2020",0.672
"Mar 5, 2020",0.454
"Mar 8, 2020",0.562
"Mar 8, 2020",0.662
"Mar 10, 2020",0.549
"Mar 10, 2020",0.579
"Mar 13, 2020",0.468
"Mar 13, 2020",0.555
"Mar 15, 2020",0.49
"Mar 15, 2020",0.502
"Mar 18, 2020",0.495
"Mar 18, 2020",0.581
"Mar 20, 2020",0.467
"Mar 23, 2020",0.455
"Mar 23, 2020",0.551
"Mar 28, 2020",0.401
"Mar 28, 2020",0.524
"Apr 2, 2020",0.327
"Apr 2, 2020",0.478
"Apr 4, 2020",0.288
"Apr 4, 2020",0.319
"Apr 12, 2020",0.148
"Apr 14, 2020",0.148
"Apr 14, 2020",0.138
"Apr 22, 2020",0.117
"Apr 22, 2020",0.193
"Apr 24, 2020",0.148
"Apr 24, 2020",0.129
"Apr 27, 2020",0.058
"Apr 29, 2020",0.127
"Apr 29, 2020",0.119
"May 2, 2020",0.096
"May 2, 2020",0.139
"May 4, 2020",0.11
"May 7, 2020",0.089
"May 7, 2020",0.085
"May 9, 2020",0.107
"May 9, 2020",0.084
"May 12, 2020",0.085
"May 12, 2020",0.077
"May 14, 2020",0.089
"May 14, 2020",0.071
"May 22, 2020",0.108
"May 22, 2020",0.149
"May 24, 2020",0.114
"May 24, 2020",0.092
"May 27, 2020",0.081
"May 27, 2020",0.119
"Jun 1, 2020",0.099
"Jun 1, 2020",0.138
"Jun 3, 2020",0.098
"Jun 6, 2020",0.002
"Jun 6, 2020",0.01
"Jun 8, 2020",0.129
"Jun 8, 2020",0.147
"Jun 11, 2020",0.099
"Jun 11, 2020",0.153
"Jun 13, 2020",0.095
"Jun 13, 2020",0.062
"Jun 16, 2020",0.102
"Jun 16, 2020",0.123
"Jun 18, 2020",0.133
"Jun 18, 2020",0.133
"Jun 21, 2020",0.104
"Jun 21, 2020",0.083
"Jun 23, 2020",0.091
"Jun 23, 2020",0.044
"Jun 28, 2020",0.094
"Jun 28, 2020",0.082
"Jul 3, 2020",0.089
