system:time_start,ndvi
"Dec 14, 2018",0.548
"Dec 14, 2018",0.434
"Dec 16, 2018",0.625
"Dec 16, 2018",0.497
"Dec 19, 2018",0.58
"Dec 19, 2018",0.507
"Dec 21, 2018",0.593
"Dec 21, 2018",0.524
"Dec 24, 2018",0.453
"Dec 24, 2018",0.472
"Dec 26, 2018",0.585
"Dec 26, 2018",0.485
"Dec 29, 2018",0.662
"Dec 29, 2018",0.566
"Dec 31, 2018",0.648
"Dec 31, 2018",0.537
"Jan 8, 2019",0.714
"Jan 8, 2019",0.748
"Jan 13, 2019",0.618
"Jan 13, 2019",0.523
"Jan 23, 2019",0.79
"Jan 23, 2019",0.833
"Jan 25, 2019",0.758
"Jan 25, 2019",0.707
"Jan 28, 2019",0.788
"Jan 28, 2019",0.841
"Feb 2, 2019",0.183
"Feb 9, 2019",0.768
"Feb 9, 2019",0.759
"Feb 17, 2019",0.436
"Feb 24, 2019",0.772
"Feb 27, 2019",0.831
"Feb 27, 2019",0.915
"Mar 1, 2019",0.775
"Mar 1, 2019",0.787
"Mar 4, 2019",0.246
"Mar 6, 2019",0.774
"Mar 6, 2019",0.772
"Mar 9, 2019",0.802
"Mar 9, 2019",0.91
"Mar 16, 2019",0.722
"Mar 19, 2019",0.743
"Mar 19, 2019",0.878
"Mar 21, 2019",0.728
"Mar 21, 2019",0.669
"Mar 24, 2019",0.718
"Mar 24, 2019",0.879
"Mar 26, 2019",0.692
"Mar 26, 2019",0.738
"Mar 29, 2019",0.783
"Mar 31, 2019",0.652
"Mar 31, 2019",0.729
"Apr 3, 2019",0.544
"Apr 5, 2019",0.438
"Apr 5, 2019",0.578
"Apr 10, 2019",0.382
"Apr 15, 2019",0.3
"Apr 15, 2019",0.3
"Apr 18, 2019",0.232
"Apr 18, 2019",0.266
"Apr 20, 2019",0.221
"Apr 20, 2019",0.238
"Apr 23, 2019",0.176
"Apr 23, 2019",0.167
"Apr 25, 2019",0.123
"Apr 28, 2019",0.19
"Apr 28, 2019",0.188
"Apr 30, 2019",0.197
"Apr 30, 2019",0.185
"May 3, 2019",0.16
"May 3, 2019",0.16
"May 5, 2019",0.206
"May 5, 2019",0.17
"May 8, 2019",0.162
"May 8, 2019",0.172
"May 10, 2019",0.143
"May 13, 2019",0.11
"May 18, 2019",0.131
"May 18, 2019",0.137
"May 25, 2019",0.184
"May 25, 2019",0.192
"May 28, 2019",0.138
"May 28, 2019",0.171
"May 30, 2019",0.17
"May 30, 2019",0.164
"Jun 2, 2019",0.107
"Jun 2, 2019",0.127
"Jun 4, 2019",0.056
"Jun 7, 2019",0.14
"Jun 7, 2019",0.145
"Jun 9, 2019",0.182
"Jun 9, 2019",0.2
"Jun 12, 2019",0.104
"Jun 12, 2019",0.143
"Jun 14, 2019",0.212
"Jun 14, 2019",0.237
"Jun 17, 2019",0.104
"Jun 17, 2019",0.231
"Jun 19, 2019",0.149
"Jun 19, 2019",0.162
"Jun 22, 2019",0.125
"Jun 22, 2019",0.216
"Jun 29, 2019",0.161
"Jun 29, 2019",0.153
"Jul 2, 2019",0.132
"Jul 2, 2019",0.107
"Jul 7, 2019",0.157
"Jul 22, 2019",0.317
"Jul 22, 2019",0.226
"Jul 24, 2019",0.314
"Aug 11, 2019",0.491
"Aug 11, 2019",0.642
"Aug 13, 2019",0.508
"Aug 21, 2019",0.734
"Aug 21, 2019",0.592
"Aug 23, 2019",0.566
"Aug 23, 2019",0.622
"Aug 26, 2019",0.466
"Aug 28, 2019",0.488
"Aug 28, 2019",0.507
"Aug 31, 2019",0.557
"Aug 31, 2019",0.464
"Sep 2, 2019",0.617
"Sep 2, 2019",0.599
"Sep 10, 2019",0.505
"Sep 10, 2019",0.71
"Sep 15, 2019",0.54
"Sep 15, 2019",0.504
"Sep 17, 2019",0.78
"Sep 17, 2019",0.726
"Sep 20, 2019",0.646
"Sep 25, 2019",0.6
"Sep 25, 2019",0.706
"Oct 2, 2019",0.369
"Oct 2, 2019",0.263
"Oct 5, 2019",0.676
"Oct 5, 2019",0.722
"Oct 10, 2019",0.516
"Oct 10, 2019",0.75
"Oct 12, 2019",0.517
"Oct 12, 2019",0.558
"Oct 15, 2019",0.379
"Oct 15, 2019",0.551
"Oct 17, 2019",0.287
"Oct 17, 2019",0.369
"Oct 20, 2019",0.483
"Oct 20, 2019",0.672
"Oct 22, 2019",0.464
"Oct 22, 2019",0.493
"Oct 25, 2019",0.223
"Oct 25, 2019",0.255
"Oct 27, 2019",0.322
"Oct 27, 2019",0.335
"Nov 4, 2019",0.229
"Nov 4, 2019",0.272
"Nov 6, 2019",0.107
"Nov 6, 2019",0.144
"Nov 9, 2019",0.206
"Nov 9, 2019",0.161
"Nov 16, 2019",0.202
"Nov 19, 2019",0.204
"Nov 19, 2019",0.179
"Nov 29, 2019",0.241
"Dec 1, 2019",0.377
"Dec 1, 2019",0.337
"Dec 4, 2019",0.518
"Dec 6, 2019",0.452
"Dec 9, 2019",0.549
"Dec 14, 2019",0.416
"Dec 14, 2019",0.469
"Dec 31, 2019",0.359
"Jan 3, 2020",0.625
"Jan 3, 2020",0.643
"Jan 5, 2020",0.635
"Jan 5, 2020",0.526
"Jan 10, 2020",0.722
"Jan 10, 2020",0.678
"Jan 23, 2020",0.752
"Jan 23, 2020",0.849
"Jan 28, 2020",0.794
"Jan 30, 2020",0.754
"Jan 30, 2020",0.751
"Feb 2, 2020",0.58
"Feb 2, 2020",0.754
"Feb 4, 2020",0.639
"Feb 7, 2020",0.677
"Feb 7, 2020",0.888
"Feb 9, 2020",0.645
"Feb 12, 2020",0.738
"Feb 12, 2020",0.856
"Feb 14, 2020",0.75
"Feb 14, 2020",0.758
"Feb 17, 2020",0.754
"Feb 17, 2020",0.861
"Feb 22, 2020",0.754
"Feb 22, 2020",0.821
"Feb 24, 2020",0.751
"Feb 24, 2020",0.771
"Mar 3, 2020",0.755
"Mar 3, 2020",0.873
"Mar 5, 2020",0.613
"Mar 8, 2020",0.754
"Mar 8, 2020",0.866
"Mar 10, 2020",0.745
"Mar 10, 2020",0.758
"Mar 13, 2020",0.634
"Mar 13, 2020",0.792
"Mar 15, 2020",0.736
"Mar 15, 2020",0.712
"Mar 18, 2020",0.716
"Mar 18, 2020",0.834
"Mar 20, 2020",0.687
"Mar 23, 2020",0.684
"Mar 23, 2020",0.817
"Mar 28, 2020",0.638
"Mar 28, 2020",0.798
"Apr 2, 2020",0.538
"Apr 2, 2020",0.745
"Apr 4, 2020",0.488
"Apr 4, 2020",0.52
"Apr 12, 2020",0.237
"Apr 14, 2020",0.254
"Apr 14, 2020",0.241
"Apr 22, 2020",0.195
"Apr 22, 2020",0.302
"Apr 24, 2020",0.232
"Apr 24, 2020",0.217
"Apr 27, 2020",0.101
"Apr 29, 2020",0.214
"Apr 29, 2020",0.201
"May 2, 2020",0.158
"May 2, 2020",0.226
"May 4, 2020",0.188
"May 7, 2020",0.145
"May 7, 2020",0.159
"May 9, 2020",0.178
"May 9, 2020",0.155
"May 12, 2020",0.147
"May 12, 2020",0.14
"May 14, 2020",0.161
"May 14, 2020",0.138
"May 22, 2020",0.169
"May 22, 2020",0.195
"May 24, 2020",0.185
"May 24, 2020",0.154
"May 27, 2020",0.152
"May 27, 2020",0.226
"Jun 1, 2020",0.171
"Jun 1, 2020",0.231
"Jun 3, 2020",0.176
"Jun 6, 2020",0.052
"Jun 6, 2020",0.086
"Jun 8, 2020",0.231
"Jun 8, 2020",0.248
"Jun 11, 2020",0.182
"Jun 11, 2020",0.24
"Jun 13, 2020",0.17
"Jun 13, 2020",0.116
"Jun 16, 2020",0.196
"Jun 16, 2020",0.223
"Jun 18, 2020",0.235
"Jun 18, 2020",0.232
"Jun 21, 2020",0.21
"Jun 21, 2020",0.197
"Jun 23, 2020",0.191
"Jun 23, 2020",0.127
"Jun 28, 2020",0.185
"Jun 28, 2020",0.146
"Jul 3, 2020",0.214
"Jul 3, 2020",0.168
"Jul 13, 2020",0.176
"Jul 13, 2020",0.123
"Jul 23, 2020",0.259
"Jul 23, 2020",0.258
"Jul 26, 2020",0.031
"Jul 31, 2020",0.291
"Aug 2, 2020",0.487
"Aug 2, 2020",0.466
"Aug 5, 2020",0.439
"Aug 5, 2020",0.532
"Aug 7, 2020",0.387
"Aug 7, 2020",0.415
"Aug 15, 2020",0.412
"Aug 25, 2020",0.621
"Sep 6, 2020",0.695
"Sep 9, 2020",0.65
"Sep 9, 2020",0.609
"Sep 11, 2020",0.69
"Sep 11, 2020",0.745
"Sep 14, 2020",0.598
"Sep 14, 2020",0.819
"Sep 16, 2020",0.686
"Sep 16, 2020",0.74
"Sep 19, 2020",0.669
"Sep 19, 2020",0.739
"Sep 21, 2020",0.678
"Sep 21, 2020",0.689
"Sep 24, 2020",0.73
"Sep 29, 2020",0.671
"Sep 29, 2020",0.738
"Oct 1, 2020",0.658
"Oct 1, 2020",0.668
"Oct 4, 2020",0.584
"Oct 4, 2020",0.766
"Oct 6, 2020",0.561
