system:time_start,savi
"Dec 14, 2018",0.325
"Dec 14, 2018",0.239
"Dec 16, 2018",0.362
"Dec 16, 2018",0.282
"Dec 19, 2018",0.358
"Dec 19, 2018",0.301
"Dec 21, 2018",0.369
"Dec 21, 2018",0.332
"Dec 24, 2018",0.31
"Dec 24, 2018",0.311
"Dec 26, 2018",0.366
"Dec 26, 2018",0.303
"Dec 29, 2018",0.424
"Dec 29, 2018",0.362
"Dec 31, 2018",0.41
"Dec 31, 2018",0.343
"Jan 8, 2019",0.465
"Jan 8, 2019",0.399
"Jan 13, 2019",0.433
"Jan 13, 2019",0.364
"Jan 23, 2019",0.552
"Jan 23, 2019",0.571
"Jan 25, 2019",0.518
"Jan 25, 2019",0.468
"Jan 28, 2019",0.538
"Jan 28, 2019",0.571
"Feb 2, 2019",0.129
"Feb 9, 2019",0.529
"Feb 9, 2019",0.527
"Feb 17, 2019",0.326
"Feb 24, 2019",0.567
"Feb 27, 2019",0.567
"Feb 27, 2019",0.66
"Mar 1, 2019",0.53
"Mar 1, 2019",0.571
"Mar 4, 2019",0.144
"Mar 6, 2019",0.515
"Mar 6, 2019",0.542
"Mar 9, 2019",0.532
"Mar 9, 2019",0.647
"Mar 16, 2019",0.466
"Mar 19, 2019",0.468
"Mar 19, 2019",0.6
"Mar 21, 2019",0.466
"Mar 21, 2019",0.462
"Mar 24, 2019",0.443
"Mar 24, 2019",0.614
"Mar 26, 2019",0.423
"Mar 26, 2019",0.485
"Mar 29, 2019",0.521
"Mar 31, 2019",0.386
"Mar 31, 2019",0.46
"Apr 3, 2019",0.301
"Apr 5, 2019",0.259
"Apr 5, 2019",0.339
"Apr 10, 2019",0.237
"Apr 15, 2019",0.191
"Apr 15, 2019",0.194
"Apr 18, 2019",0.138
"Apr 18, 2019",0.175
"Apr 20, 2019",0.142
"Apr 20, 2019",0.155
"Apr 23, 2019",0.112
"Apr 23, 2019",0.113
"Apr 25, 2019",0.09
"Apr 28, 2019",0.132
"Apr 28, 2019",0.136
"Apr 30, 2019",0.136
"Apr 30, 2019",0.135
"May 3, 2019",0.113
"May 3, 2019",0.124
"May 5, 2019",0.142
"May 5, 2019",0.128
"May 8, 2019",0.112
"May 8, 2019",0.118
"May 10, 2019",0.103
"May 13, 2019",0.077
"May 18, 2019",0.082
"May 18, 2019",0.079
"May 25, 2019",0.115
"May 25, 2019",0.124
"May 28, 2019",0.085
"May 28, 2019",0.1
"May 30, 2019",0.103
"May 30, 2019",0.11
"Jun 2, 2019",0.065
"Jun 2, 2019",0.078
"Jun 4, 2019",0.049
"Jun 7, 2019",0.084
"Jun 7, 2019",0.089
"Jun 9, 2019",0.116
"Jun 9, 2019",0.135
"Jun 12, 2019",0.067
"Jun 12, 2019",0.097
"Jun 14, 2019",0.134
"Jun 14, 2019",0.168
"Jun 17, 2019",0.067
"Jun 17, 2019",0.146
"Jun 19, 2019",0.096
"Jun 19, 2019",0.112
"Jun 22, 2019",0.085
"Jun 22, 2019",0.152
"Jun 29, 2019",0.102
"Jun 29, 2019",0.105
"Jul 2, 2019",0.088
"Jul 2, 2019",0.073
"Jul 7, 2019",0.101
"Jul 22, 2019",0.188
"Jul 22, 2019",0.137
"Jul 24, 2019",0.194
"Aug 11, 2019",0.307
"Aug 11, 2019",0.417
"Aug 13, 2019",0.373
"Aug 21, 2019",0.493
"Aug 21, 2019",0.362
"Aug 23, 2019",0.394
"Aug 23, 2019",0.443
"Aug 26, 2019",0.32
"Aug 28, 2019",0.327
"Aug 28, 2019",0.267
"Aug 31, 2019",0.39
"Aug 31, 2019",0.363
"Sep 2, 2019",0.435
"Sep 2, 2019",0.419
"Sep 10, 2019",0.361
"Sep 10, 2019",0.46
"Sep 15, 2019",0.39
"Sep 15, 2019",0.375
"Sep 17, 2019",0.538
"Sep 17, 2019",0.494
"Sep 20, 2019",0.422
"Sep 25, 2019",0.416
