-BEGIN HEADER-,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,
Dates (month/day/year): 01/01/2017 through 12/09/2022 ,,,,,,,
Location: Latitude  30.1138   Longitude 76.2569 ,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 239.52 meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,
Parameter(s): ,,,,,,,
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,
TS                     MERRA-2 Earth Skin Temperature (C) ,,,,,,,
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) ,,,,,,,
-END HEADER-,,,,,,,
YEAR,MO,DY,PRECTOTCORR,TS,T2M_MAX,T2M_MIN,ALLSKY_SFC_PAR_TOT
2017,1,1,0.34,13.53,22.3,8.57,62.87
2017,1,2,0.02,15.29,24.37,10.37,62.55
2017,1,3,0,15.94,24.69,9.97,50.84
2017,1,4,0,14.84,24.43,10.68,56.29
2017,1,5,0,15.19,25.16,10.18,60.77
2017,1,6,9.57,14.51,23.58,8.87,35.08
2017,1,7,14.29,12.58,18.27,8.94,18.65
2017,1,8,0.09,11.58,18.43,6.59,48.89
2017,1,9,0,9.92,18.08,4.82,62.05
2017,1,10,0,7.89,17.92,1.06,65.92
2017,1,11,0,7.73,17.99,0.62,66.6
2017,1,12,0,7.87,18.48,1.45,69.6
2017,1,13,0,7.79,19.47,3.27,68.98
2017,1,14,0,9.16,19.12,4.01,53.52
2017,1,15,0.32,10.65,20.39,5.39,55.59
2017,1,16,0.5,10.84,19.49,7.07,44.06
2017,1,17,0,10.28,18.76,5.04,27.3
2017,1,18,0,10.79,20.19,5.79,54.52
2017,1,19,0,10.76,19.46,4.44,70.75
2017,1,20,0,10.93,21.34,3.41,70.02
2017,1,21,0.15,11.98,22.34,7.12,39.94
2017,1,22,1.76,14.12,24.33,9.41,68.58
2017,1,23,0,14.05,24.1,7.73,62.43
2017,1,24,0,13.79,21.98,7.95,48.31
2017,1,25,4.99,15.12,21.15,12.62,36.26
2017,1,26,38.93,13.22,16.83,9.55,11.16
2017,1,27,1.29,12.73,19.48,8.06,58.09
2017,1,28,0,13.16,21.14,6.01,53.38
2017,1,29,0,14.76,23.75,9.58,62.66
2017,1,30,0,14.27,23.87,8.12,63.12
2017,1,31,0.02,14.57,23.62,8.98,68.06
2017,2,1,0,13.8,22.87,6.82,73.96
2017,2,2,0,13.62,22.26,9.69,61.91
2017,2,3,0,14.2,23.73,7.36,62.52
2017,2,4,0.18,16.5,24.5,10.69,52.66
2017,2,5,2,14.65,19.01,12.53,48.47
2017,2,6,0.01,12.94,21.49,7.64,76.2
2017,2,7,0,12.17,22.02,4.64,83.12
2017,2,8,0,13.83,23.19,8.28,61.84
2017,2,9,0,12.72,22.05,6.4,83.41
2017,2,10,0,12.94,23.26,5.12,92.09
2017,2,11,0,13.62,24.8,6.21,92.24
2017,2,12,0,13.59,23.83,7.55,88.51
2017,2,13,0,14.05,24.8,6.46,92.13
2017,2,14,0,14.97,26.42,6.55,83.19
2017,2,15,0,17.73,27.79,10.25,89.86
2017,2,16,0,20.24,30.23,13.28,88.44
2017,2,17,0,19.71,29.78,14.1,83.21
2017,2,18,0,20.24,30.54,12.79,80.45
2017,2,19,0,21.1,29.91,14.4,70.02
2017,2,20,0.18,20.75,29.51,14.52,77.6
