system:index,.geo
0,"{""type"":""Point"",""coordinates"":[76.86845147841248,29.80390928361677]}"
1,"{""type"":""Point"",""coordinates"":[76.54496763729892,29.593334989577983]}"
2,"{""type"":""Point"",""coordinates"":[76.69554759202381,29.734659516197805]}"
3,"{""type"":""Point"",""coordinates"":[76.92270020031155,29.890614287668974]}"
4,"{""type"":""Point"",""coordinates"":[76.98863168190444,29.5873520131776]}"
5,"{""type"":""Point"",""coordinates"":[76.73072290317897,29.656526102376066]}"
6,"{""type"":""Point"",""coordinates"":[76.77650195634973,29.782610113988447]}"
7,"{""type"":""Point"",""coordinates"":[76.72697827258855,29.71480168114673]}"
8,"{""type"":""Point"",""coordinates"":[77.09271309100697,29.815872173692792]}"
9,"{""type"":""Point"",""coordinates"":[76.88238758743643,29.661393062904203]}"
10,"{""type"":""Point"",""coordinates"":[76.86874571747562,29.79602863661579]}"
11,"{""type"":""Point"",""coordinates"":[76.77110574819831,29.80821015269484]}"
12,"{""type"":""Point"",""coordinates"":[76.81788988777534,29.806205163095928]}"
13,"{""type"":""Point"",""coordinates"":[76.8477048981586,29.554738634896754]}"
14,"{""type"":""Point"",""coordinates"":[76.69047460730266,29.72372478964735]}"
15,"{""type"":""Point"",""coordinates"":[76.9229311668257,29.87113894064263]}"
16,"{""type"":""Point"",""coordinates"":[77.07801161206139,29.722689545389386]}"
17,"{""type"":""Point"",""coordinates"":[76.85025538197615,29.515131618599483]}"
18,"{""type"":""Point"",""coordinates"":[76.69955822180833,29.646228120451475]}"
19,"{""type"":""Point"",""coordinates"":[76.5256762406555,29.61165953171592]}"
20,"{""type"":""Point"",""coordinates"":[76.77203644230622,29.73668299098671]}"
21,"{""type"":""Point"",""coordinates"":[77.05231479523528,29.66129617843013]}"
22,"{""type"":""Point"",""coordinates"":[76.9530413369422,29.678111540312397]}"
23,"{""type"":""Point"",""coordinates"":[77.05690825566175,29.73596906629155]}"
24,"{""type"":""Point"",""coordinates"":[77.06423330089184,29.604408576693274]}"
25,"{""type"":""Point"",""coordinates"":[76.95368451769339,29.76921793935023]}"
26,"{""type"":""Point"",""coordinates"":[76.59869951037786,29.614407147095175]}"
27,"{""type"":""Point"",""coordinates"":[76.93870517277358,29.47905050582048]}"
28,"{""type"":""Point"",""coordinates"":[76.80320464471694,29.66732346528503]}"
29,"{""type"":""Point"",""coordinates"":[76.97138297777113,29.642646145473652]}"
