system:time_start,ndre
"Dec 16, 2018",0.266
"Dec 16, 2018",0.389
"Dec 16, 2018",0.202
"Dec 16, 2018",0.364
"Dec 21, 2018",0.198
"Dec 21, 2018",0.36
"Dec 21, 2018",0.163
"Dec 21, 2018",0.365
"Dec 26, 2018",0.269
"Dec 26, 2018",0.394
"Dec 26, 2018",0.395
"Dec 31, 2018",0.3
"Dec 31, 2018",0.423
"Dec 31, 2018",0.109
"Dec 31, 2018",0.408
"Jan 5, 2019",0.098
"Jan 25, 2019",0.284
"Jan 25, 2019",0.407
"Feb 9, 2019",0.584
"Feb 9, 2019",0.621
"Feb 9, 2019",0.192
"Feb 9, 2019",0.591
"Feb 24, 2019",0.183
"Feb 24, 2019",0.624
"Mar 1, 2019",0.711
"Mar 1, 2019",0.642
"Mar 1, 2019",0.196
"Mar 1, 2019",0.609
"Mar 6, 2019",0.746
"Mar 6, 2019",0.656
"Mar 6, 2019",0.161
"Mar 6, 2019",0.614
"Mar 11, 2019",-0.071
"Mar 16, 2019",0.722
"Mar 16, 2019",0.629
"Mar 21, 2019",0.451
"Mar 21, 2019",0.424
"Mar 26, 2019",0.653
"Mar 26, 2019",0.542
"Mar 26, 2019",0.207
"Mar 26, 2019",0.482
"Mar 31, 2019",0.631
"Mar 31, 2019",0.489
"Mar 31, 2019",0.209
"Mar 31, 2019",0.422
"Apr 5, 2019",0.484
"Apr 5, 2019",0.307
"Apr 5, 2019",0.131
"Apr 5, 2019",0.274
"Apr 10, 2019",0.166
"Apr 10, 2019",0.177
"Apr 15, 2019",0.234
"Apr 15, 2019",0.173
"Apr 15, 2019",0.128
"Apr 15, 2019",0.148
"Apr 20, 2019",0.119
"Apr 20, 2019",0.114
"Apr 20, 2019",0.2
"Apr 20, 2019",0.097
"Apr 25, 2019",0.1
"Apr 25, 2019",0.095
"Apr 25, 2019",0.085
"Apr 30, 2019",0.087
"Apr 30, 2019",0.098
"Apr 30, 2019",0.144
"Apr 30, 2019",0.103
"May 5, 2019",0.123
"May 5, 2019",0.119
"May 5, 2019",0.081
"May 5, 2019",0.107
"May 10, 2019",0.076
"May 10, 2019",0.14
"May 10, 2019",0.076
"May 20, 2019",0.094
"May 25, 2019",0.007
"May 25, 2019",0.071
"May 25, 2019",0.132
"May 25, 2019",0.071
"May 30, 2019",0.029
"May 30, 2019",0.069
"May 30, 2019",0.158
"May 30, 2019",0.072
"Jun 4, 2019",-0.008
"Jun 4, 2019",0.066
"Jun 4, 2019",0.036
"Jun 9, 2019",0.001
"Jun 9, 2019",0.043
"Jun 9, 2019",0.093
"Jun 9, 2019",0.048
"Jun 14, 2019",0.046
"Jun 14, 2019",0.072
"Jun 14, 2019",0.098
"Jun 14, 2019",0.071
"Jun 19, 2019",-0.004
"Jun 19, 2019",0.048
"Jun 19, 2019",0.107
"Jun 19, 2019",0.055
"Jun 29, 2019",-0.127
"Jun 29, 2019",0.008
"Jun 29, 2019",0
"Jun 29, 2019",0.016
"Jul 24, 2019",0.229
"Jul 29, 2019",0.172
"Aug 13, 2019",0.449
"Aug 23, 2019",0.525
"Aug 23, 2019",0.472
"Aug 23, 2019",0.2
"Aug 23, 2019",0.49
"Aug 28, 2019",0.544
"Aug 28, 2019",0.385
"Aug 28, 2019",0.243
"Aug 28, 2019",0.377
"Sep 2, 2019",0.625
"Sep 2, 2019",0.405
"Sep 2, 2019",0.165
"Sep 2, 2019",0.391
"Sep 17, 2019",0.409
"Sep 17, 2019",0.444
"Oct 2, 2019",0.394
"Oct 2, 2019",0.264
"Oct 2, 2019",0.101
"Oct 2, 2019",0.261
"Oct 12, 2019",0.328
"Oct 12, 2019",0.283
"Oct 12, 2019",0.069
"Oct 12, 2019",0.228
"Oct 17, 2019",0.211
"Oct 17, 2019",0.158
"Oct 17, 2019",0.012
"Oct 17, 2019",0.121
"Oct 22, 2019",0.237
"Oct 22, 2019",0.195
"Oct 22, 2019",0.102
"Oct 22, 2019",0.183
"Oct 27, 2019",0.151
"Oct 27, 2019",0.122
"Oct 27, 2019",0.098
"Oct 27, 2019",0.107
"Nov 1, 2019",0.08
"Nov 6, 2019",0.048
"Nov 6, 2019",0.035
"Nov 6, 2019",0.02
"Nov 6, 2019",0.023
"Nov 16, 2019",0.032
"Nov 16, 2019",0.12
"Nov 16, 2019",0.102
"Dec 1, 2019",0.109
"Dec 1, 2019",0.179
"Dec 1, 2019",0.151
"Dec 1, 2019",0.213
"Dec 6, 2019",0.11
"Dec 6, 2019",0.214
"Dec 11, 2019",0.164
"Dec 11, 2019",0.125
"Dec 31, 2019",0.401
"Dec 31, 2019",0.369
"Dec 31, 2019",0.193
"Jan 5, 2020",0.435
"Jan 5, 2020",0.438
"Jan 5, 2020",0.124
"Jan 5, 2020",0.417
"Jan 10, 2020",0.476
"Jan 10, 2020",0.526
"Jan 10, 2020",0.223
"Jan 10, 2020",0.521
"Jan 30, 2020",0.716
"Jan 30, 2020",0.623
"Jan 30, 2020",0.191
"Jan 30, 2020",0.601
"Feb 4, 2020",0.482
"Feb 9, 2020",0.678
"Feb 9, 2020",0.614
"Feb 9, 2020",0.161
"Feb 14, 2020",0.753
"Feb 14, 2020",0.632
"Feb 14, 2020",0.15
"Feb 14, 2020",0.591
"Feb 24, 2020",0.737
"Feb 24, 2020",0.629
"Feb 24, 2020",0.239
"Feb 24, 2020",0.6
"Mar 5, 2020",0.45
"Mar 10, 2020",0.669
"Mar 10, 2020",0.62
"Mar 10, 2020",0.278
"Mar 10, 2020",0.6
"Mar 15, 2020",0.599
"Mar 15, 2020",0.56
"Mar 15, 2020",0.273
"Mar 15, 2020",0.519
"Mar 20, 2020",0.451
"Mar 20, 2020",0.225
"Mar 20, 2020",0.505
"Mar 25, 2020",0.307
"Mar 30, 2020",0.225
"Apr 4, 2020",0.343
"Apr 4, 2020",0.295
"Apr 4, 2020",0.171
"Apr 4, 2020",0.297
"Apr 14, 2020",0.137
"Apr 14, 2020",0.156
"Apr 14, 2020",0.142
"Apr 24, 2020",0.076
"Apr 24, 2020",0.118
"Apr 24, 2020",0.182
"Apr 24, 2020",0.129
"Apr 29, 2020",0.073
"Apr 29, 2020",0.089
"Apr 29, 2020",0.09
"Apr 29, 2020",0.095
"May 4, 2020",0.077
"May 4, 2020",0.178
"May 4, 2020",0.117
"May 9, 2020",0.095
"May 9, 2020",0.104
"May 9, 2020",0.102
"May 14, 2020",0.057
"May 14, 2020",0.083
"May 14, 2020",0.087
"May 14, 2020",0.085
"May 24, 2020",0.055
"May 24, 2020",0.084
"May 24, 2020",0.2
"May 24, 2020",0.097
"Jun 3, 2020",0.003
"Jun 3, 2020",0.058
"Jun 3, 2020",0.199
"Jun 8, 2020",-0.002
"Jun 8, 2020",0.028
"Jun 8, 2020",0.13
"Jun 8, 2020",0.057
"Jun 13, 2020",0.036
"Jun 13, 2020",0.058
"Jun 13, 2020",0.125
"Jun 13, 2020",0.057
"Jun 18, 2020",-0.009
"Jun 18, 2020",0.049
"Jun 18, 2020",0.065
"Jun 18, 2020",0.052
"Jun 23, 2020",-0.058
"Jun 23, 2020",0.005
"Jun 28, 2020",-0.011
"Jun 28, 2020",0.036
"Jun 28, 2020",0.103
"Jun 28, 2020",0.035
"Jul 3, 2020",0.04
"Jul 3, 2020",0.146
"Jul 3, 2020",0.042
"Jul 13, 2020",-0.091
"Jul 13, 2020",0.051
"Jul 13, 2020",0.263
"Jul 13, 2020",0.048
"Jul 23, 2020",0.134
"Jul 23, 2020",0.159
"Jul 23, 2020",0.131
"Aug 2, 2020",0.34
"Aug 2, 2020",0.425
"Aug 2, 2020",0.38
"Aug 7, 2020",0.477
"Aug 7, 2020",0.394
"Sep 6, 2020",0.43
"Sep 11, 2020",0.537
"Sep 11, 2020",0.489
"Sep 11, 2020",0.298
"Sep 11, 2020",0.466
"Sep 16, 2020",0.434
"Sep 16, 2020",0.236
"Sep 16, 2020",0.42
"Sep 21, 2020",0.379
"Sep 21, 2020",0.392
"Sep 21, 2020",0.319
"Sep 21, 2020",0.382
"Sep 26, 2020",0.333
"Sep 26, 2020",0.271
"Oct 1, 2020",0.275
"Oct 1, 2020",0.321
"Oct 1, 2020",0.311
"Oct 1, 2020",0.291
"Oct 6, 2020",0.249
"Oct 6, 2020",0.297
"Oct 6, 2020",0.222
"Oct 6, 2020",0.256
"Oct 11, 2020",0.187
"Oct 11, 2020",0.208
"Oct 11, 2020",0.245
"Oct 11, 2020",0.182
"Oct 16, 2020",0.229
"Oct 16, 2020",0.189
"Oct 16, 2020",0.092
"Oct 16, 2020",0.169
"Oct 21, 2020",0.159
"Oct 21, 2020",0.138
"Oct 21, 2020",0.068
"Oct 21, 2020",0.131
"Oct 26, 2020",-0.146
"Oct 26, 2020",0.105
"Oct 26, 2020",0.006
"Oct 26, 2020",0.109
"Oct 31, 2020",0.042
"Oct 31, 2020",0.106
"Oct 31, 2020",0.121
"Oct 31, 2020",0.122
"Nov 5, 2020",0.05
"Nov 5, 2020",0.109
"Nov 5, 2020",0.112
"Nov 5, 2020",0.113
"Nov 10, 2020",0.063
"Nov 10, 2020",0.087
"Nov 10, 2020",0.116
"Nov 10, 2020",0.113
"Nov 15, 2020",0.021
"Nov 15, 2020",0.068
"Nov 15, 2020",0.042
"Nov 20, 2020",0.035
"Nov 20, 2020",0.104
"Nov 20, 2020",0.182
"Nov 20, 2020",0.146
"Nov 30, 2020",0.061
"Nov 30, 2020",0.145
"Nov 30, 2020",0.088
"Nov 30, 2020",0.171
"Dec 5, 2020",0.092
"Dec 5, 2020",0.166
"Dec 5, 2020",0.114
"Dec 5, 2020",0.182
"Dec 10, 2020",0.109
"Dec 10, 2020",0.257
"Dec 10, 2020",0.121
"Dec 10, 2020",0.281
"Dec 15, 2020",0.181
"Dec 15, 2020",0.245
"Dec 15, 2020",0.201
"Dec 15, 2020",0.286
"Dec 20, 2020",0.215
"Dec 20, 2020",0.317
"Dec 25, 2020",0.277
"Dec 25, 2020",0.123
"Dec 25, 2020",0.371
"Jan 4, 2021",0.125
"Jan 4, 2021",0.384
"Jan 9, 2021",0.402
"Jan 14, 2021",0.007
"Jan 19, 2021",0.513
"Jan 19, 2021",0.455
"Jan 19, 2021",0.143
"Jan 29, 2021",0.053
"Feb 3, 2021",0.359
"Feb 3, 2021",0.19
"Feb 3, 2021",0.366
"Feb 8, 2021",0.623
"Feb 8, 2021",0.585
"Feb 8, 2021",0.198
"Feb 8, 2021",0.531
"Feb 18, 2021",0.632
"Feb 18, 2021",0.584
"Feb 18, 2021",0.187
"Feb 23, 2021",0.631
"Feb 23, 2021",0.612
"Feb 23, 2021",0.186
"Feb 23, 2021",0.548
"Feb 28, 2021",0.712
"Feb 28, 2021",0.614
"Feb 28, 2021",0.177
"Feb 28, 2021",0.561
"Mar 5, 2021",0.717
"Mar 5, 2021",0.621
"Mar 5, 2021",0.148
"Mar 5, 2021",0.543
"Mar 10, 2021",0.22
"Mar 10, 2021",0.497
"Mar 15, 2021",0.545
"Mar 15, 2021",0.485
"Mar 15, 2021",0.217
"Mar 15, 2021",0.365
"Mar 20, 2021",0.585
"Mar 20, 2021",0.472
"Mar 20, 2021",0.206
"Mar 20, 2021",0.419
"Mar 25, 2021",0.5
"Mar 25, 2021",0.204
"Mar 30, 2021",0.336
"Mar 30, 2021",0.209
"Mar 30, 2021",0.155
"Mar 30, 2021",0.198
"Apr 4, 2021",0.327
"Apr 4, 2021",0.21
"Apr 4, 2021",0.107
"Apr 4, 2021",0.199
"Apr 9, 2021",0.197
"Apr 9, 2021",0.172
"Apr 9, 2021",0.19
"Apr 9, 2021",0.189
"Apr 9, 2021",0.132
"Apr 14, 2021",0.117
"Apr 19, 2021",0.102
"Apr 24, 2021",0.115
"Apr 24, 2021",0.142
"Apr 24, 2021",0.16
"Apr 24, 2021",0.166
"Apr 29, 2021",0.057
"Apr 29, 2021",0.082
"Apr 29, 2021",0.095
"Apr 29, 2021",0.098
"May 4, 2021",0.059
"May 4, 2021",0.062
"May 9, 2021",0.046
"May 9, 2021",0.077
"May 9, 2021",0.096
"May 9, 2021",0.091
"May 9, 2021",0.079
"May 9, 2021",0.101
"May 9, 2021",0.087
"May 14, 2021",0.04
"May 14, 2021",0.076
"May 14, 2021",0.094
"May 14, 2021",0.106
"May 24, 2021",0.014
"May 24, 2021",0.101
"May 24, 2021",0.149
"May 24, 2021",0.118
"May 29, 2021",0.023
"May 29, 2021",0.04
"May 29, 2021",0.099
"May 29, 2021",0.058
"Jun 3, 2021",0.023
"Jun 3, 2021",0.057
"Jun 3, 2021",0.032
"Jun 8, 2021",-0.004
"Jun 8, 2021",0.045
"Jun 8, 2021",0.071
"Jun 8, 2021",0.041
"Jun 8, 2021",0.047
"Jun 8, 2021",0.084
"Jun 8, 2021",0.059
"Jun 23, 2021",-0.022
"Jun 23, 2021",0.015
"Jun 23, 2021",-0.02
"Jun 23, 2021",0.035
"Jun 28, 2021",-0.024
"Jun 28, 2021",0.003
"Jun 28, 2021",0.072
"Jun 28, 2021",0.025
"Jul 8, 2021",-0.02
"Jul 8, 2021",0.038
"Jul 8, 2021",-0.045
"Jul 8, 2021",0.037
"Jul 8, 2021",0.039
"Jul 8, 2021",0.006
"Jul 8, 2021",0.07
"Aug 7, 2021",0.459
"Aug 12, 2021",0.557
"Aug 12, 2021",0.164
"Aug 12, 2021",0.505
"Aug 17, 2021",0.623
"Aug 17, 2021",0.545
