system:time_start,ndvi
"Dec 16, 2018",0.415
"Dec 16, 2018",0.569
"Dec 16, 2018",0.31
"Dec 16, 2018",0.524
"Dec 21, 2018",0.372
"Dec 21, 2018",0.539
"Dec 21, 2018",0.301
"Dec 21, 2018",0.546
"Dec 26, 2018",0.444
"Dec 26, 2018",0.566
"Dec 26, 2018",0.553
"Dec 31, 2018",0.505
"Dec 31, 2018",0.647
"Dec 31, 2018",0.253
"Dec 31, 2018",0.602
"Jan 5, 2019",0.158
"Jan 25, 2019",0.369
"Jan 25, 2019",0.521
"Feb 9, 2019",0.814
"Feb 9, 2019",0.811
"Feb 9, 2019",0.329
"Feb 9, 2019",0.775
"Feb 24, 2019",0.368
"Feb 24, 2019",0.795
"Mar 1, 2019",0.885
"Mar 1, 2019",0.824
"Mar 1, 2019",0.403
"Mar 1, 2019",0.798
"Mar 6, 2019",0.902
"Mar 6, 2019",0.829
"Mar 6, 2019",0.372
"Mar 6, 2019",0.792
"Mar 11, 2019",-0.052
"Mar 16, 2019",0.884
"Mar 16, 2019",0.811
"Mar 21, 2019",0.61
"Mar 21, 2019",0.597
"Mar 26, 2019",0.834
"Mar 26, 2019",0.752
"Mar 26, 2019",0.36
"Mar 26, 2019",0.695
"Mar 31, 2019",0.846
"Mar 31, 2019",0.72
"Mar 31, 2019",0.323
"Mar 31, 2019",0.649
"Apr 5, 2019",0.684
"Apr 5, 2019",0.477
"Apr 5, 2019",0.249
"Apr 5, 2019",0.462
"Apr 10, 2019",0.281
"Apr 10, 2019",0.315
"Apr 15, 2019",0.412
"Apr 15, 2019",0.299
"Apr 15, 2019",0.213
"Apr 15, 2019",0.255
"Apr 20, 2019",0.258
"Apr 20, 2019",0.209
"Apr 20, 2019",0.271
"Apr 20, 2019",0.183
"Apr 25, 2019",0.183
"Apr 25, 2019",0.172
"Apr 25, 2019",0.169
"Apr 30, 2019",0.163
"Apr 30, 2019",0.18
"Apr 30, 2019",0.234
"Apr 30, 2019",0.175
"May 5, 2019",0.175
"May 5, 2019",0.188
"May 5, 2019",0.183
"May 5, 2019",0.18
"May 10, 2019",0.158
"May 10, 2019",0.23
"May 10, 2019",0.145
"May 20, 2019",0.101
"May 25, 2019",0.15
"May 25, 2019",0.147
"May 25, 2019",0.305
"May 25, 2019",0.136
"May 30, 2019",0.141
"May 30, 2019",0.143
"May 30, 2019",0.266
"May 30, 2019",0.133
"Jun 4, 2019",0.111
"Jun 4, 2019",0.167
"Jun 4, 2019",0.088
"Jun 9, 2019",0.111
"Jun 9, 2019",0.115
"Jun 9, 2019",0.245
"Jun 9, 2019",0.114
"Jun 14, 2019",0.108
"Jun 14, 2019",0.139
"Jun 14, 2019",0.168
"Jun 14, 2019",0.138
"Jun 19, 2019",0.07
"Jun 19, 2019",0.132
"Jun 19, 2019",0.253
"Jun 19, 2019",0.123
"Jun 29, 2019",-0.074
"Jun 29, 2019",0.101
"Jun 29, 2019",0.101
"Jun 29, 2019",0.102
"Jul 24, 2019",0.417
"Jul 29, 2019",0.345
"Aug 13, 2019",0.608
"Aug 23, 2019",0.713
"Aug 23, 2019",0.628
"Aug 23, 2019",0.323
"Aug 23, 2019",0.639
"Aug 28, 2019",0.707
"Aug 28, 2019",0.537
"Aug 28, 2019",0.459
"Aug 28, 2019",0.525
"Sep 2, 2019",0.825
"Sep 2, 2019",0.583
"Sep 2, 2019",0.281
"Sep 2, 2019",0.543
"Sep 17, 2019",0.643
"Sep 17, 2019",0.677
"Oct 2, 2019",0.568
"Oct 2, 2019",0.411
"Oct 2, 2019",0.261
"Oct 2, 2019",0.414
"Oct 12, 2019",0.557
"Oct 12, 2019",0.498
"Oct 12, 2019",0.224
"Oct 12, 2019",0.407
"Oct 17, 2019",0.369
"Oct 17, 2019",0.277
"Oct 17, 2019",0.188
"Oct 17, 2019",0.224
"Oct 22, 2019",0.422
"Oct 22, 2019",0.366
"Oct 22, 2019",0.214
"Oct 22, 2019",0.335
"Oct 27, 2019",0.31
"Oct 27, 2019",0.26
"Oct 27, 2019",0.191
"Oct 27, 2019",0.22
"Nov 1, 2019",0.14
"Nov 6, 2019",0.088
"Nov 6, 2019",0.094
"Nov 6, 2019",0.085
"Nov 6, 2019",0.07
"Nov 16, 2019",0.076
"Nov 16, 2019",0.328
"Nov 16, 2019",0.197
"Dec 1, 2019",0.162
"Dec 1, 2019",0.297
"Dec 1, 2019",0.292
"Dec 1, 2019",0.334
"Dec 6, 2019",0.194
"Dec 6, 2019",0.352
"Dec 11, 2019",0.252
"Dec 11, 2019",0.21
"Dec 31, 2019",0.578
"Dec 31, 2019",0.518
"Dec 31, 2019",0.32
"Jan 5, 2020",0.656
"Jan 5, 2020",0.657
"Jan 5, 2020",0.285
"Jan 5, 2020",0.611
"Jan 10, 2020",0.631
"Jan 10, 2020",0.739
"Jan 10, 2020",0.328
"Jan 10, 2020",0.72
"Jan 30, 2020",0.897
"Jan 30, 2020",0.831
"Jan 30, 2020",0.373
"Jan 30, 2020",0.803
"Feb 4, 2020",0.634
"Feb 9, 2020",0.819
"Feb 9, 2020",0.799
"Feb 9, 2020",0.341
"Feb 14, 2020",0.92
"Feb 14, 2020",0.818
"Feb 14, 2020",0.353
"Feb 14, 2020",0.779
"Feb 24, 2020",0.918
"Feb 24, 2020",0.83
"Feb 24, 2020",0.452
"Feb 24, 2020",0.814
"Mar 5, 2020",0.619
"Mar 10, 2020",0.871
"Mar 10, 2020",0.826
"Mar 10, 2020",0.475
"Mar 10, 2020",0.8
"Mar 15, 2020",0.813
"Mar 15, 2020",0.805
"Mar 15, 2020",0.51
"Mar 15, 2020",0.745
"Mar 20, 2020",0.622
"Mar 20, 2020",0.4
"Mar 20, 2020",0.752
"Mar 25, 2020",0.54
"Mar 30, 2020",0.406
"Apr 4, 2020",0.518
"Apr 4, 2020",0.499
"Apr 4, 2020",0.343
"Apr 4, 2020",0.516
"Apr 14, 2020",0.249
"Apr 14, 2020",0.317
"Apr 14, 2020",0.248
"Apr 24, 2020",0.163
"Apr 24, 2020",0.211
"Apr 24, 2020",0.325
"Apr 24, 2020",0.217
"Apr 29, 2020",0.146
"Apr 29, 2020",0.16
"Apr 29, 2020",0.167
"Apr 29, 2020",0.175
"May 4, 2020",0.146
"May 4, 2020",0.389
"May 4, 2020",0.208
"May 9, 2020",0.166
"May 9, 2020",0.221
"May 9, 2020",0.18
"May 14, 2020",0.124
"May 14, 2020",0.161
"May 14, 2020",0.196
"May 14, 2020",0.158
"May 24, 2020",0.097
"May 24, 2020",0.158
"May 24, 2020",0.334
"May 24, 2020",0.162
"Jun 3, 2020",0.053
"Jun 3, 2020",0.135
"Jun 3, 2020",0.331
"Jun 8, 2020",0.038
"Jun 8, 2020",0.09
"Jun 8, 2020",0.245
"Jun 8, 2020",0.133
"Jun 13, 2020",0.077
"Jun 13, 2020",0.132
"Jun 13, 2020",0.293
"Jun 13, 2020",0.128
"Jun 18, 2020",0.056
"Jun 18, 2020",0.138
"Jun 18, 2020",0.22
"Jun 18, 2020",0.13
"Jun 23, 2020",0.033
"Jun 23, 2020",0.102
"Jun 28, 2020",0.03
"Jun 28, 2020",0.132
"Jun 28, 2020",0.207
"Jun 28, 2020",0.128
"Jul 3, 2020",0.172
"Jul 3, 2020",0.275
"Jul 3, 2020",0.169
"Jul 13, 2020",-0.049
"Jul 13, 2020",0.226
"Jul 13, 2020",0.439
"Jul 13, 2020",0.226
"Jul 23, 2020",0.28
