system:time_start,savi
"Dec 16, 2018",0.248
"Dec 16, 2018",0.346
"Dec 16, 2018",0.19
"Dec 16, 2018",0.32
"Dec 21, 2018",0.204
"Dec 21, 2018",0.341
"Dec 21, 2018",0.173
"Dec 21, 2018",0.344
"Dec 26, 2018",0.274
"Dec 26, 2018",0.362
"Dec 26, 2018",0.355
"Dec 31, 2018",0.296
"Dec 31, 2018",0.416
"Dec 31, 2018",0.148
"Dec 31, 2018",0.385
"Jan 5, 2019",0.168
"Jan 25, 2019",0.29
"Jan 25, 2019",0.391
"Feb 9, 2019",0.567
"Feb 9, 2019",0.584
"Feb 9, 2019",0.202
"Feb 9, 2019",0.555
"Feb 24, 2019",0.238
"Feb 24, 2019",0.568
"Mar 1, 2019",0.674
"Mar 1, 2019",0.598
"Mar 1, 2019",0.261
"Mar 1, 2019",0.572
"Mar 6, 2019",0.692
"Mar 6, 2019",0.589
"Mar 6, 2019",0.24
"Mar 6, 2019",0.552
"Mar 11, 2019",-0.065
"Mar 16, 2019",0.656
"Mar 16, 2019",0.568
"Mar 21, 2019",0.442
"Mar 21, 2019",0.41
"Mar 26, 2019",0.572
"Mar 26, 2019",0.494
"Mar 26, 2019",0.236
"Mar 26, 2019",0.44
"Mar 31, 2019",0.55
"Mar 31, 2019",0.461
"Mar 31, 2019",0.222
"Mar 31, 2019",0.395
"Apr 5, 2019",0.413
"Apr 5, 2019",0.292
"Apr 5, 2019",0.166
"Apr 5, 2019",0.27
"Apr 10, 2019",0.187
"Apr 10, 2019",0.192
"Apr 15, 2019",0.238
"Apr 15, 2019",0.2
"Apr 15, 2019",0.147
"Apr 15, 2019",0.169
"Apr 20, 2019",0.153
"Apr 20, 2019",0.135
"Apr 20, 2019",0.185
"Apr 20, 2019",0.124
"Apr 25, 2019",0.113
"Apr 25, 2019",0.12
"Apr 25, 2019",0.111
"Apr 30, 2019",0.108
"Apr 30, 2019",0.134
"Apr 30, 2019",0.158
"Apr 30, 2019",0.129
"May 5, 2019",0.138
"May 5, 2019",0.135
"May 5, 2019",0.128
"May 5, 2019",0.129
"May 10, 2019",0.123
"May 10, 2019",0.153
"May 10, 2019",0.101
"May 20, 2019",0.079
"May 25, 2019",0.102
"May 25, 2019",0.101
"May 25, 2019",0.206
"May 25, 2019",0.092
"May 30, 2019",0.091
"May 30, 2019",0.092
"May 30, 2019",0.179
"May 30, 2019",0.088
"Jun 4, 2019",0.072
"Jun 4, 2019",0.112
"Jun 4, 2019",0.062
"Jun 9, 2019",0.076
"Jun 9, 2019",0.078
"Jun 9, 2019",0.167
"Jun 9, 2019",0.075
"Jun 14, 2019",0.08
"Jun 14, 2019",0.093
"Jun 14, 2019",0.118
"Jun 14, 2019",0.091
"Jun 19, 2019",0.053
"Jun 19, 2019",0.086
"Jun 19, 2019",0.083
"Jun 19, 2019",0.08
"Jun 29, 2019",-0.043
"Jun 29, 2019",0.061
"Jun 29, 2019",0.07
"Jun 29, 2019",0.064
"Jul 24, 2019",0.241
"Jul 29, 2019",0.212
"Aug 13, 2019",0.427
"Aug 23, 2019",0.472
"Aug 23, 2019",0.433
"Aug 23, 2019",0.226
"Aug 23, 2019",0.441
"Aug 28, 2019",0.454
"Aug 28, 2019",0.365
"Aug 28, 2019",0.297
"Aug 28, 2019",0.347
"Sep 2, 2019",0.548
"Sep 2, 2019",0.38
"Sep 2, 2019",0.226
"Sep 2, 2019",0.373
"Sep 17, 2019",0.418
"Sep 17, 2019",0.456
"Oct 2, 2019",0.409
"Oct 2, 2019",0.283
"Oct 2, 2019",0.173
"Oct 2, 2019",0.282
"Oct 12, 2019",0.351
"Oct 12, 2019",0.327
"Oct 12, 2019",0.141
"Oct 12, 2019",0.264
"Oct 17, 2019",0.226
"Oct 17, 2019",0.191
"Oct 17, 2019",0.111
"Oct 17, 2019",0.153
"Oct 22, 2019",0.251
"Oct 22, 2019",0.249
"Oct 22, 2019",0.137
"Oct 22, 2019",0.215
"Oct 27, 2019",0.18
"Oct 27, 2019",0.166
"Oct 27, 2019",0.121
"Oct 27, 2019",0.139
"Nov 1, 2019",0.098
"Nov 6, 2019",0.06
"Nov 6, 2019",0.068
"Nov 6, 2019",0.061
"Nov 6, 2019",0.05
"Nov 16, 2019",0.044
"Nov 16, 2019",0.189
"Nov 16, 2019",0.116
"Dec 1, 2019",0.09
"Dec 1, 2019",0.176
"Dec 1, 2019",0.177
"Dec 1, 2019",0.194
"Dec 6, 2019",0.134
"Dec 6, 2019",0.22
"Dec 11, 2019",0.181
"Dec 11, 2019",0.144
"Dec 31, 2019",0.39
"Dec 31, 2019",0.345
"Dec 31, 2019",0.198
"Jan 5, 2020",0.425
"Jan 5, 2020",0.42
"Jan 5, 2020",0.165
"Jan 5, 2020",0.389
"Jan 10, 2020",0.483
"Jan 10, 2020",0.482
"Jan 10, 2020",0.2
"Jan 10, 2020",0.469
"Jan 30, 2020",0.632
"Jan 30, 2020",0.578
"Jan 30, 2020",0.21
"Jan 30, 2020",0.552
"Feb 4, 2020",0.477
"Feb 9, 2020",0.614
"Feb 9, 2020",0.589
"Feb 9, 2020",0.206
"Feb 14, 2020",0.721
"Feb 14, 2020",0.589
"Feb 14, 2020",0.2
"Feb 14, 2020",0.552
"Feb 24, 2020",0.713
"Feb 24, 2020",0.6
"Feb 24, 2020",0.274
"Feb 24, 2020",0.578
"Mar 5, 2020",0.445
"Mar 10, 2020",0.694
"Mar 10, 2020",0.585
"Mar 10, 2020",0.307
"Mar 10, 2020",0.555
"Mar 15, 2020",0.583
"Mar 15, 2020",0.55
"Mar 15, 2020",0.305
"Mar 15, 2020",0.502
"Mar 20, 2020",0.444
"Mar 20, 2020",0.263
"Mar 20, 2020",0.498
"Mar 25, 2020",0.345
"Mar 30, 2020",0.276
"Apr 4, 2020",0.305
"Apr 4, 2020",0.313
"Apr 4, 2020",0.23
"Apr 4, 2020",0.322
"Apr 14, 2020",0.163
"Apr 14, 2020",0.203
"Apr 14, 2020",0.164
"Apr 24, 2020",0.115
"Apr 24, 2020",0.151
"Apr 24, 2020",0.204
"Apr 24, 2020",0.152
"Apr 29, 2020",0.1
"Apr 29, 2020",0.11
"Apr 29, 2020",0.103
"Apr 29, 2020",0.118
"May 4, 2020",0.101
"May 4, 2020",0.237
"May 4, 2020",0.143
"May 9, 2020",0.111
"May 9, 2020",0.135
"May 9, 2020",0.117
"May 14, 2020",0.093
"May 14, 2020",0.111
"May 14, 2020",0.122
"May 14, 2020",0.106
"May 24, 2020",0.078
"May 24, 2020",0.106
"May 24, 2020",0.212
"May 24, 2020",0.107
"Jun 3, 2020",0.043
"Jun 3, 2020",0.095
"Jun 3, 2020",0.219
"Jun 8, 2020",0.022
"Jun 8, 2020",0.055
"Jun 8, 2020",0.167
"Jun 8, 2020",0.085
"Jun 13, 2020",0.051
"Jun 13, 2020",0.09
"Jun 13, 2020",0.195
"Jun 13, 2020",0.086
"Jun 18, 2020",0.04
"Jun 18, 2020",0.094
"Jun 18, 2020",0.143
"Jun 18, 2020",0.085
"Jun 23, 2020",0.021
"Jun 23, 2020",0.065
"Jun 28, 2020",0.023
"Jun 28, 2020",0.085
"Jun 28, 2020",0.145
"Jun 28, 2020",0.083
"Jul 3, 2020",0.103
"Jul 3, 2020",0.186
"Jul 3, 2020",0.1
"Jul 13, 2020",-0.03
"Jul 13, 2020",0.117
"Jul 13, 2020",0.311
"Jul 13, 2020",0.119
"Jul 23, 2020",0.148
"Jul 23, 2020",0.169
"Jul 23, 2020",0.149
