-BEGIN HEADER-,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,
Dates (month/day/year): 01/01/2017 through 12/09/2022 ,,,,,,,
Location: Latitude  29.8711   Longitude 76.9229 ,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 260.75 meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,
Parameter(s): ,,,,,,,
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,
TS                     MERRA-2 Earth Skin Temperature (C) ,,,,,,,
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) ,,,,,,,
-END HEADER-,,,,,,,
YEAR,MO,DY,PRECTOTCORR,TS,T2M_MAX,T2M_MIN,ALLSKY_SFC_PAR_TOT
2017,1,1,2.33,14.3,22.96,9.44,60.66
2017,1,2,0.05,15.3,24.05,11.62,62.7
2017,1,3,0,16.06,25.03,10.17,61.36
2017,1,4,0,14.98,24.4,11.54,53.21
2017,1,5,0,15.29,25.17,10.3,52.24
2017,1,6,9.04,15.21,24.22,9.65,42.08
2017,1,7,20.15,11.93,16.51,8.86,16.46
2017,1,8,0.1,11.15,18.15,6.4,38.73
2017,1,9,0,10.28,18.4,5.14,57.59
2017,1,10,0.01,8.58,18.08,2.29,67.27
2017,1,11,0.05,8.21,18.01,1.52,67.05
2017,1,12,0.11,7.97,18.47,1.51,64.53
2017,1,13,0,8.13,19.62,3.07,64.98
2017,1,14,0,9.79,20.06,4.41,45.4
2017,1,15,0.08,11.35,21.43,6.81,59.26
2017,1,16,1.07,11.24,19.95,6.84,36.55
2017,1,17,0.01,10.86,19.21,5.93,35.81
2017,1,18,0,11.58,21.09,5.06,59.4
2017,1,19,0,11.6,20.13,5.92,69.68
2017,1,20,0,12.09,22.41,4.8,67.05
2017,1,21,0.01,12.43,23.44,8.05,50.47
2017,1,22,0.89,15.07,25.33,9.23,58.95
2017,1,23,0,14.84,24.77,9.15,63.23
2017,1,24,0,14.23,22.97,8.47,58.64
2017,1,25,1.07,16.37,23.33,12.47,41.85
2017,1,26,25.45,15.11,21.99,11.72,14.68
2017,1,27,7.03,13.04,18.73,9.15,60.09
2017,1,28,0,13.64,21.5,6.62,41.99
2017,1,29,0,15.44,24.61,10.65,62.8
2017,1,30,0,14.83,24.69,8.05,64.59
2017,1,31,0.04,15.14,24.18,9.4,67.73
2017,2,1,0,14.73,23.7,8.29,75.08
2017,2,2,0,14.3,22.9,9.67,66.18
2017,2,3,0,14.68,24.49,8.73,71.06
2017,2,4,0.05,16.56,24.91,10.38,50.98
2017,2,5,3.14,14.92,18.48,12.87,48.23
2017,2,6,0.03,14.24,22.26,8.86,74.47
2017,2,7,0,13.12,22.69,6.21,78.26
2017,2,8,0,14.33,23.83,8.5,76.48
2017,2,9,0,13.16,22.19,7.23,83.14
2017,2,10,0,13.8,24,6.37,86.02
2017,2,11,0,14.73,25.54,7.44,85.39
2017,2,12,0,14.65,24.44,9.24,79.35
2017,2,13,0,15.27,25.87,8.16,86.47
2017,2,14,0,15.81,26.79,8.61,84
2017,2,15,0,18.01,28.01,10.79,83.45
2017,2,16,0,20.64,30.25,13.55,80.02
2017,2,17,0,20.33,29.7,15.15,75.52
2017,2,18,0,21.13,30.87,13.59,77.33
2017,2,19,0.03,21.76,30.52,15,75.39
2017,2,20,0.4,21.5,30.04,15.85,74.5
