system:index,.geo
0,"{""type"":""Point"",""coordinates"":[76.52635676632663,30.066573763006364]}"
1,"{""type"":""Point"",""coordinates"":[76.63136074268715,30.113873212357195]}"
2,"{""type"":""Point"",""coordinates"":[76.894068566099,29.93843733852149]}"
3,"{""type"":""Point"",""coordinates"":[76.50905372710434,30.02427611766398]}"
4,"{""type"":""Point"",""coordinates"":[77.08505050376064,30.034400711560313]}"
5,"{""type"":""Point"",""coordinates"":[77.12783355417008,30.080685389951746]}"
6,"{""type"":""Point"",""coordinates"":[76.81668731951103,30.098616958218848]}"
7,"{""type"":""Point"",""coordinates"":[76.8948403641266,30.14140271074203]}"
8,"{""type"":""Point"",""coordinates"":[76.74700167125023,29.96594738813517]}"
9,"{""type"":""Point"",""coordinates"":[76.53690871783539,30.05234716495052]}"
10,"{""type"":""Point"",""coordinates"":[76.77935434671983,30.11662829652658]}"
11,"{""type"":""Point"",""coordinates"":[76.88519037432404,30.079691641273943]}"
12,"{""type"":""Point"",""coordinates"":[76.81248471024065,30.039921780592003]}"
13,"{""type"":""Point"",""coordinates"":[76.51367010370504,30.033609485777305]}"
14,"{""type"":""Point"",""coordinates"":[76.8685123299,29.934562285789276]}"
15,"{""type"":""Point"",""coordinates"":[76.87967745482473,30.14201902081513]}"
16,"{""type"":""Point"",""coordinates"":[76.86916714545669,30.1700093584004]}"
17,"{""type"":""Point"",""coordinates"":[76.96771910387294,30.148724374312057]}"
18,"{""type"":""Point"",""coordinates"":[76.85364167000223,30.189681333950606]}"
19,"{""type"":""Point"",""coordinates"":[76.9410300553613,30.193203847872837]}"
20,"{""type"":""Point"",""coordinates"":[76.70072454691538,30.112456486247506]}"
21,"{""type"":""Point"",""coordinates"":[77.03241224562004,30.05429545520951]}"
22,"{""type"":""Point"",""coordinates"":[76.89359052839862,30.02212026217951]}"
23,"{""type"":""Point"",""coordinates"":[76.84169175057066,30.158703760261147]}"
24,"{""type"":""Point"",""coordinates"":[76.94811000980174,30.146527379691797]}"
25,"{""type"":""Point"",""coordinates"":[76.70648167119573,30.055632539106696]}"
26,"{""type"":""Point"",""coordinates"":[77.1481491806937,30.118433451007586]}"
27,"{""type"":""Point"",""coordinates"":[76.46333174382133,29.986750736028263]}"
28,"{""type"":""Point"",""coordinates"":[76.95491819775339,30.08749159629027]}"
29,"{""type"":""Point"",""coordinates"":[76.69856796239263,30.114501068464214]}"
