system:time_start,ndre
"Dec 16, 2018",0.324
"Dec 16, 2018",0.396
"Dec 21, 2018",0.271
"Dec 21, 2018",0.335
"Dec 26, 2018",0.167
"Dec 26, 2018",0.337
"Dec 31, 2018",0.331
"Dec 31, 2018",0.41
"Jan 25, 2019",0.357
"Feb 9, 2019",0.38
"Feb 9, 2019",0.535
"Mar 1, 2019",0.457
"Mar 1, 2019",0.551
"Mar 6, 2019",0.472
"Mar 6, 2019",0.562
"Mar 16, 2019",0.452
"Mar 16, 2019",0.496
"Mar 21, 2019",0.486
"Mar 26, 2019",0.418
"Mar 26, 2019",0.463
"Mar 31, 2019",0.406
"Mar 31, 2019",0.418
"Apr 5, 2019",0.241
"Apr 5, 2019",0.257
"Apr 15, 2019",0.213
"Apr 15, 2019",0.192
"Apr 20, 2019",0.203
"Apr 20, 2019",0.159
"Apr 25, 2019",0.149
"Apr 25, 2019",0.116
"Apr 30, 2019",0.13
"Apr 30, 2019",0.146
"May 5, 2019",0.208
"May 5, 2019",0.168
"May 10, 2019",0.127
"May 25, 2019",0.081
"May 25, 2019",0.132
"May 30, 2019",0.133
"May 30, 2019",0.125
"Jun 4, 2019",0.121
"Jun 9, 2019",0.115
"Jun 9, 2019",0.118
"Jun 14, 2019",0.162
"Jun 14, 2019",0.135
"Jun 19, 2019",0.158
"Jun 19, 2019",0.093
"Jun 29, 2019",0.062
"Jun 29, 2019",0.061
"Jul 24, 2019",0.205
"Aug 23, 2019",0.266
"Aug 23, 2019",0.36
"Aug 28, 2019",0.386
"Aug 28, 2019",0.328
"Sep 2, 2019",0.325
"Sep 2, 2019",0.378
"Sep 17, 2019",0.356
"Oct 2, 2019",0.225
"Oct 2, 2019",0.227
"Oct 12, 2019",0.275
"Oct 12, 2019",0.265
"Oct 17, 2019",0.162
"Oct 17, 2019",0.132
"Oct 22, 2019",0.241
"Oct 22, 2019",0.205
"Oct 27, 2019",0.187
"Oct 27, 2019",0.15
"Nov 1, 2019",0.103
"Nov 6, 2019",0.172
"Nov 6, 2019",0.096
"Nov 16, 2019",0.192
"Dec 1, 2019",0.207
"Dec 1, 2019",0.251
"Dec 6, 2019",0.21
"Dec 6, 2019",0.286
"Dec 11, 2019",0.145
"Dec 31, 2019",0.329
"Dec 31, 2019",0.39
"Jan 5, 2020",0.348
"Jan 5, 2020",0.429
"Jan 10, 2020",0.326
"Jan 10, 2020",0.489
"Jan 30, 2020",0.402
"Jan 30, 2020",0.549
"Feb 4, 2020",0.419
"Feb 9, 2020",0.389
"Feb 9, 2020",0.536
"Feb 14, 2020",0.377
"Feb 14, 2020",0.536
"Feb 24, 2020",0.421
"Feb 24, 2020",0.531
"Mar 10, 2020",0.416
"Mar 10, 2020",0.517
"Mar 15, 2020",0.383
"Mar 15, 2020",0.453
"Mar 20, 2020",0.242
"Apr 4, 2020",0.278
"Apr 4, 2020",0.294
"Apr 14, 2020",0.17
"Apr 24, 2020",0.169
"Apr 24, 2020",0.17
"Apr 29, 2020",0.11
"Apr 29, 2020",0.149
"May 4, 2020",0.125
"May 9, 2020",0.138
"May 14, 2020",0.147
"May 14, 2020",0.13
"May 24, 2020",0.121
"May 24, 2020",0.116
"Jun 3, 2020",0.144
"Jun 3, 2020",0.109
"Jun 8, 2020",0.202
"Jun 8, 2020",0.12
"Jun 13, 2020",0.132
"Jun 13, 2020",0.086
"Jun 18, 2020",0.171
"Jun 18, 2020",0.088
"Jun 23, 2020",0.017
"Jun 28, 2020",0.155
"Jun 28, 2020",0.076
"Jul 3, 2020",0.085
"Jul 13, 2020",0.249
"Jul 13, 2020",0.126
"Jul 23, 2020",0.374
"Jul 23, 2020",0.199
"Aug 2, 2020",0.431
"Aug 2, 2020",0.39
"Aug 7, 2020",0.39
"Sep 11, 2020",0.408
"Sep 11, 2020",0.479
"Sep 16, 2020",0.38
"Sep 21, 2020",0.358
"Sep 21, 2020",0.379
"Sep 26, 2020",0.33
"Oct 1, 2020",0.303
"Oct 1, 2020",0.292
"Oct 6, 2020",0.322
"Oct 6, 2020",0.271
"Oct 11, 2020",0.221
"Oct 11, 2020",0.191
"Oct 16, 2020",0.175
"Oct 16, 2020",0.179
"Oct 21, 2020",0.145
"Oct 21, 2020",0.141
"Oct 26, 2020",0.173
"Oct 26, 2020",0.127
"Oct 31, 2020",0.158
"Oct 31, 2020",0.142
"Nov 5, 2020",0.159
"Nov 5, 2020",0.153
"Nov 10, 2020",0.151
"Nov 10, 2020",0.134
"Nov 15, 2020",0.088
"Nov 20, 2020",0.161
"Nov 20, 2020",0.179
"Nov 30, 2020",0.165
"Nov 30, 2020",0.198
"Dec 5, 2020",0.158
"Dec 5, 2020",0.203
"Dec 10, 2020",0.212
"Dec 10, 2020",0.267
"Dec 15, 2020",0.203
"Dec 15, 2020",0.263
"Dec 20, 2020",0.125
"Dec 20, 2020",0.253
"Dec 25, 2020",0.276
"Jan 9, 2021",0.304
"Jan 14, 2021",0.003
"Jan 19, 2021",0.356
"Jan 19, 2021",0.408
"Feb 3, 2021",0.305
"Feb 8, 2021",0.387
"Feb 8, 2021",0.497
"Feb 18, 2021",0.417
"Feb 18, 2021",0.477
"Feb 23, 2021",0.318
"Feb 23, 2021",0.458
"Feb 28, 2021",0.447
"Feb 28, 2021",0.514
"Mar 5, 2021",0.423
"Mar 5, 2021",0.496
"Mar 15, 2021",0.342
"Mar 15, 2021",0.398
"Mar 20, 2021",0.292
"Mar 20, 2021",0.4
"Mar 25, 2021",0.278
"Mar 30, 2021",0.226
"Mar 30, 2021",0.215
"Apr 4, 2021",0.24
"Apr 4, 2021",0.207
"Apr 9, 2021",0.181
"Apr 9, 2021",0.185
"Apr 24, 2021",0.199
"Apr 24, 2021",0.172
"Apr 29, 2021",0.174
"Apr 29, 2021",0.137
"May 4, 2021",0.129
"May 9, 2021",0.115
"May 9, 2021",0.111
"May 14, 2021",0.145
"May 14, 2021",0.131
"May 24, 2021",0.179
"May 24, 2021",0.132
"May 29, 2021",0.127
"May 29, 2021",0.087
"Jun 3, 2021",0.066
"Jun 8, 2021",0.118
"Jun 8, 2021",0.088
"Jun 23, 2021",0.113
"Jun 23, 2021",0.073
"Jun 28, 2021",0.117
"Jun 28, 2021",0.048
"Jul 8, 2021",0.148
"Jul 8, 2021",0.108
"Aug 12, 2021",0.533
"Aug 17, 2021",0.471
"Aug 17, 2021",0.525
"Aug 27, 2021",0.515
"Sep 6, 2021",0.264
"Sep 16, 2021",0.441
"Sep 16, 2021",0.422
"Sep 26, 2021",0.294
"Sep 26, 2021",0.216
"Oct 1, 2021",0.215
"Oct 6, 2021",0.324
"Oct 6, 2021",0.292
"Oct 11, 2021",0.243
"Oct 11, 2021",0.247
"Oct 16, 2021",0.222
"Oct 16, 2021",0.162
"Oct 21, 2021",0.233
"Oct 21, 2021",0.164
"Oct 26, 2021",0.206
"Oct 26, 2021",0.155
"Oct 31, 2021",0.18
"Oct 31, 2021",0.124
"Nov 5, 2021",0.132
"Nov 10, 2021",0.139
"Nov 10, 2021",0.135
"Nov 15, 2021",0.111
"Nov 15, 2021",0.118
"Nov 20, 2021",0.172
"Nov 20, 2021",0.188
"Nov 25, 2021",0.116
"Nov 25, 2021",0.156
"Nov 30, 2021",0.18
"Nov 30, 2021",0.231
"Dec 5, 2021",0.129
"Dec 5, 2021",0.211
"Dec 10, 2021",0.206
"Dec 10, 2021",0.312
"Dec 15, 2021",0.208
"Dec 15, 2021",0.293
"Dec 20, 2021",0.264
"Dec 20, 2021",0.343
"Dec 25, 2021",0.187
"Dec 25, 2021",0.259
"Jan 29, 2022",0.475
"Feb 8, 2022",0.395
"Feb 8, 2022",0.457
"Feb 13, 2022",0.459
"Feb 13, 2022",0.469
"Feb 18, 2022",0.463
"Feb 18, 2022",0.477
"Feb 28, 2022",0.501
"Feb 28, 2022",0.473
"Feb 28, 2022",0.547
"Mar 5, 2022",0.501
"Mar 5, 2022",0.451
"Mar 10, 2022",0.498
"Mar 10, 2022",0.444
"Mar 15, 2022",0.411
"Mar 15, 2022",0.394
"Mar 20, 2022",0.441
"Mar 20, 2022",0.317
"Mar 25, 2022",0.418
"Mar 25, 2022",0.29
"Mar 30, 2022",0.336
"Mar 30, 2022",0.235
"Apr 4, 2022",0.272
"Apr 4, 2022",0.201
"Apr 9, 2022",0.216
"Apr 9, 2022",0.169
"Apr 9, 2022",0.152
"Apr 14, 2022",0.142
"Apr 14, 2022",0.15
"Apr 19, 2022",0.138
"Apr 19, 2022",0.149
"Apr 24, 2022",0.14
"Apr 24, 2022",0.151
"Apr 29, 2022",0.123
"Apr 29, 2022",0.138
"May 4, 2022",0.138
"May 9, 2022",0.111
"May 9, 2022",0.182
"May 14, 2022",0.125
"May 14, 2022",0.171
"May 19, 2022",0.127
"May 19, 2022",0.162
"May 29, 2022",0.144
"May 29, 2022",0.168
"Jun 3, 2022",0.195
"Jun 3, 2022",0.195
"Jun 8, 2022",0.179
"Jun 8, 2022",0.167
"Jun 13, 2022",0.107
"Jun 13, 2022",0.118
"Jun 23, 2022",0.092
"Jun 23, 2022",0.116
"Jul 18, 2022",0.327
"Jul 18, 2022",0.198
"Aug 12, 2022",0.433
"Aug 12, 2022",0.523
"Aug 17, 2022",0.499
"Sep 1, 2022",0.454
"Sep 6, 2022",0.339
"Sep 6, 2022",0.485
"Sep 11, 2022",0.332
"Sep 11, 2022",0.475
"Oct 1, 2022",0.236
"Oct 6, 2022",0.193
"Oct 6, 2022",0.272
"Oct 16, 2022",0.214
"Oct 16, 2022",0.205
"Oct 21, 2022",0.125
"Oct 21, 2022",0.137
"Oct 26, 2022",0.166
"Oct 26, 2022",0.138
"Oct 31, 2022",0.156
"Oct 31, 2022",0.098
"Nov 5, 2022",0.086
"Nov 5, 2022",0.05
"Nov 15, 2022",0.196
"Nov 15, 2022",0.122
"Nov 20, 2022",0.167
"Nov 20, 2022",0.199
"Nov 25, 2022",0.188
"Nov 25, 2022",0.233
"Nov 30, 2022",0.231
"Nov 30, 2022",0.274
"Dec 5, 2022",0.279
"Dec 5, 2022",0.324
