system:time_start,ndvi
"Dec 16, 2018",0.49
"Dec 16, 2018",0.588
"Dec 21, 2018",0.388
"Dec 21, 2018",0.496
"Dec 26, 2018",0.21
"Dec 26, 2018",0.472
"Dec 31, 2018",0.478
"Dec 31, 2018",0.617
"Jan 25, 2019",0.478
"Feb 9, 2019",0.568
"Feb 9, 2019",0.722
"Mar 1, 2019",0.657
"Mar 1, 2019",0.732
"Mar 6, 2019",0.634
"Mar 6, 2019",0.73
"Mar 16, 2019",0.639
"Mar 16, 2019",0.653
"Mar 21, 2019",0.678
"Mar 26, 2019",0.597
"Mar 26, 2019",0.656
"Mar 31, 2019",0.59
"Mar 31, 2019",0.616
"Apr 5, 2019",0.402
"Apr 5, 2019",0.403
"Apr 15, 2019",0.365
"Apr 15, 2019",0.304
"Apr 20, 2019",0.352
"Apr 20, 2019",0.258
"Apr 25, 2019",0.244
"Apr 25, 2019",0.191
"Apr 30, 2019",0.233
"Apr 30, 2019",0.214
"May 5, 2019",0.218
"May 5, 2019",0.24
"May 10, 2019",0.213
"May 25, 2019",0.193
"May 25, 2019",0.223
"May 30, 2019",0.233
"May 30, 2019",0.208
"Jun 4, 2019",0.202
"Jun 9, 2019",0.191
"Jun 9, 2019",0.208
"Jun 14, 2019",0.213
"Jun 14, 2019",0.215
"Jun 19, 2019",0.179
"Jun 19, 2019",0.171
"Jun 29, 2019",0.166
"Jun 29, 2019",0.17
"Jul 24, 2019",0.343
"Aug 23, 2019",0.37
"Aug 23, 2019",0.485
"Aug 28, 2019",0.531
"Aug 28, 2019",0.45
"Sep 2, 2019",0.417
"Sep 2, 2019",0.503
"Sep 17, 2019",0.521
"Oct 2, 2019",0.325
"Oct 2, 2019",0.357
"Oct 12, 2019",0.401
"Oct 12, 2019",0.443
"Oct 17, 2019",0.258
"Oct 17, 2019",0.23
"Oct 22, 2019",0.333
"Oct 22, 2019",0.327
"Oct 27, 2019",0.262
"Oct 27, 2019",0.254
"Nov 1, 2019",0.145
"Nov 6, 2019",0.221
"Nov 6, 2019",0.161
"Nov 16, 2019",0.261
"Dec 1, 2019",0.298
"Dec 1, 2019",0.392
"Dec 6, 2019",0.366
"Dec 6, 2019",0.474
"Dec 11, 2019",0.246
"Dec 31, 2019",0.465
"Dec 31, 2019",0.549
"Jan 5, 2020",0.516
"Jan 5, 2020",0.639
"Jan 10, 2020",0.432
"Jan 10, 2020",0.683
"Jan 30, 2020",0.57
"Jan 30, 2020",0.754
