system:time_start,savi
"Dec 16, 2018",0.279
"Dec 16, 2018",0.363
"Dec 21, 2018",0.237
"Dec 21, 2018",0.315
"Dec 26, 2018",0.161
"Dec 26, 2018",0.314
"Dec 31, 2018",0.285
"Dec 31, 2018",0.391
"Jan 25, 2019",0.331
"Feb 9, 2019",0.36
"Feb 9, 2019",0.5
"Mar 1, 2019",0.46
"Mar 1, 2019",0.524
"Mar 6, 2019",0.447
"Mar 6, 2019",0.517
"Mar 16, 2019",0.448
"Mar 16, 2019",0.457
"Mar 21, 2019",0.453
"Mar 26, 2019",0.391
"Mar 26, 2019",0.42
"Mar 31, 2019",0.373
"Mar 31, 2019",0.377
"Apr 5, 2019",0.225
"Apr 5, 2019",0.24
"Apr 15, 2019",0.22
"Apr 15, 2019",0.194
"Apr 20, 2019",0.202
"Apr 20, 2019",0.172
"Apr 25, 2019",0.156
"Apr 25, 2019",0.131
"Apr 30, 2019",0.157
"Apr 30, 2019",0.154
"May 5, 2019",0.161
"May 5, 2019",0.175
"May 10, 2019",0.153
"May 25, 2019",0.126
"May 25, 2019",0.144
"May 30, 2019",0.14
"May 30, 2019",0.134
"Jun 4, 2019",0.133
"Jun 9, 2019",0.128
"Jun 9, 2019",0.135
"Jun 14, 2019",0.146
"Jun 14, 2019",0.143
"Jun 19, 2019",0.116
"Jun 19, 2019",0.113
"Jun 29, 2019",0.105
"Jun 29, 2019",0.108
"Jul 24, 2019",0.22
"Aug 23, 2019",0.225
"Aug 23, 2019",0.329
"Aug 28, 2019",0.356
"Aug 28, 2019",0.297
"Sep 2, 2019",0.282
"Sep 2, 2019",0.346
"Sep 17, 2019",0.369
"Oct 2, 2019",0.248
"Oct 2, 2019",0.241
"Oct 12, 2019",0.246
"Oct 12, 2019",0.278
"Oct 17, 2019",0.15
"Oct 17, 2019",0.149
"Oct 22, 2019",0.194
"Oct 22, 2019",0.2
"Oct 27, 2019",0.171
"Oct 27, 2019",0.155
"Nov 1, 2019",0.099
"Nov 6, 2019",0.141
"Nov 6, 2019",0.103
"Nov 16, 2019",0.15
"Dec 1, 2019",0.174
"Dec 1, 2019",0.239
"Dec 6, 2019",0.203
"Dec 6, 2019",0.287
"Dec 11, 2019",0.157
"Dec 31, 2019",0.298
"Dec 31, 2019",0.368
"Jan 5, 2020",0.32
"Jan 5, 2020",0.412
"Jan 10, 2020",0.283
"Jan 10, 2020",0.442
"Jan 30, 2020",0.361
"Jan 30, 2020",0.5
"Feb 4, 2020",0.413
"Feb 9, 2020",0.364
"Feb 9, 2020",0.5
"Feb 14, 2020",0.403
"Feb 14, 2020",0.507
"Feb 24, 2020",0.411
"Feb 24, 2020",0.504
"Mar 10, 2020",0.405
"Mar 10, 2020",0.492
"Mar 15, 2020",0.384
"Mar 15, 2020",0.463
"Mar 20, 2020",0.249
"Apr 4, 2020",0.285
"Apr 4, 2020",0.309
"Apr 14, 2020",0.183
"Apr 24, 2020",0.155
"Apr 24, 2020",0.181
"Apr 29, 2020",0.125
"Apr 29, 2020",0.16
"May 4, 2020",0.119
"May 9, 2020",0.144
"May 14, 2020",0.128
"May 14, 2020",0.139
"May 24, 2020",0.107
"May 24, 2020",0.135
"Jun 3, 2020",0.136
"Jun 3, 2020",0.131
"Jun 8, 2020",0.158
"Jun 8, 2020",0.128
"Jun 13, 2020",0.126
"Jun 13, 2020",0.116
"Jun 18, 2020",0.141
"Jun 18, 2020",0.106
"Jun 23, 2020",0.063
"Jun 28, 2020",0.171
"Jun 28, 2020",0.112
"Jul 3, 2020",0.133
"Jul 13, 2020",0.238
"Jul 13, 2020",0.175
"Jul 23, 2020",0.345
"Jul 23, 2020",0.208
"Aug 2, 2020",0.416
"Aug 2, 2020",0.369
"Aug 7, 2020",0.38
"Sep 11, 2020",0.38
"Sep 11, 2020",0.463
"Sep 16, 2020",0.385
"Sep 21, 2020",0.358
"Sep 21, 2020",0.394
"Sep 26, 2020",0.34
"Oct 1, 2020",0.332
"Oct 1, 2020",0.334
"Oct 6, 2020",0.309
"Oct 6, 2020",0.284
"Oct 11, 2020",0.2
"Oct 11, 2020",0.218
"Oct 16, 2020",0.139
"Oct 16, 2020",0.18
"Oct 21, 2020",0.134
"Oct 21, 2020",0.147
"Oct 26, 2020",0.155
"Oct 26, 2020",0.129
"Oct 31, 2020",0.15
"Oct 31, 2020",0.144
"Nov 5, 2020",0.139
"Nov 5, 2020",0.14
"Nov 10, 2020",0.129
"Nov 10, 2020",0.131
"Nov 15, 2020",0.08
"Nov 20, 2020",0.135
"Nov 20, 2020",0.174
"Nov 30, 2020",0.157
"Nov 30, 2020",0.196
"Dec 5, 2020",0.144
"Dec 5, 2020",0.191
"Dec 10, 2020",0.212
"Dec 10, 2020",0.256
"Dec 15, 2020",0.176
"Dec 15, 2020",0.251
"Dec 20, 2020",0.132
"Dec 20, 2020",0.247
"Dec 25, 2020",0.239
"Jan 9, 2021",0.288
"Jan 14, 2021",0.013
"Jan 19, 2021",0.328
"Jan 19, 2021",0.379
"Feb 3, 2021",0.277
"Feb 8, 2021",0.372
"Feb 8, 2021",0.477
"Feb 18, 2021",0.361
"Feb 18, 2021",0.446
"Feb 23, 2021",0.298
"Feb 23, 2021",0.401
"Feb 28, 2021",0.406
"Feb 28, 2021",0.463
"Mar 5, 2021",0.377
"Mar 5, 2021",0.438
"Mar 15, 2021",0.298
"Mar 15, 2021",0.389
"Mar 20, 2021",0.274
"Mar 20, 2021",0.379
"Mar 25, 2021",0.246
"Mar 30, 2021",0.216
"Mar 30, 2021",0.222
"Apr 4, 2021",0.216
"Apr 4, 2021",0.209
"Apr 9, 2021",0.169
"Apr 9, 2021",0.196
"Apr 24, 2021",0.154
"Apr 24, 2021",0.183
"Apr 29, 2021",0.133
"Apr 29, 2021",0.154
"May 4, 2021",0.103
"May 9, 2021",0.114
"May 9, 2021",0.125
"May 14, 2021",0.134
"May 14, 2021",0.138
"May 24, 2021",0.158
"May 24, 2021",0.137
"May 29, 2021",0.132
"May 29, 2021",0.107
"Jun 3, 2021",0.072
"Jun 8, 2021",0.114
"Jun 8, 2021",0.108
"Jun 23, 2021",0.101
"Jun 23, 2021",0.107
"Jun 28, 2021",0.127
"Jun 28, 2021",0.097
"Jul 8, 2021",0.178
"Jul 8, 2021",0.164
"Aug 12, 2021",0.5
"Aug 17, 2021",0.414
"Aug 17, 2021",0.485
"Aug 27, 2021",0.504
"Sep 6, 2021",0.285
"Sep 16, 2021",0.435
"Sep 16, 2021",0.438
"Sep 26, 2021",0.351
"Sep 26, 2021",0.264
"Oct 1, 2021",0.232
"Oct 6, 2021",0.35
"Oct 6, 2021",0.331
"Oct 11, 2021",0.283
"Oct 11, 2021",0.289
"Oct 16, 2021",0.244
"Oct 16, 2021",0.2
"Oct 21, 2021",0.208
"Oct 21, 2021",0.169
"Oct 26, 2021",0.158
"Oct 26, 2021",0.151
"Oct 31, 2021",0.152
"Oct 31, 2021",0.12
"Nov 5, 2021",0.144
"Nov 10, 2021",0.135
"Nov 10, 2021",0.134
"Nov 15, 2021",0.107
"Nov 15, 2021",0.118
"Nov 20, 2021",0.126
"Nov 20, 2021",0.173
"Nov 25, 2021",0.111
"Nov 25, 2021",0.155
"Nov 30, 2021",0.14
"Nov 30, 2021",0.211
"Dec 5, 2021",0.128
"Dec 5, 2021",0.217
"Dec 10, 2021",0.188
"Dec 10, 2021",0.288
"Dec 15, 2021",0.194
"Dec 15, 2021",0.279
"Dec 20, 2021",0.227
"Dec 20, 2021",0.307
"Dec 25, 2021",0.177
"Dec 25, 2021",0.249
"Jan 29, 2022",0.473
"Feb 8, 2022",0.387
"Feb 8, 2022",0.475
"Feb 13, 2022",0.439
"Feb 13, 2022",0.464
"Feb 18, 2022",0.425
"Feb 18, 2022",0.454
"Feb 28, 2022",0.457
"Feb 28, 2022",0.436
"Feb 28, 2022",0.496
"Mar 5, 2022",0.459
"Mar 5, 2022",0.418
"Mar 10, 2022",0.464
"Mar 10, 2022",0.409
"Mar 15, 2022",0.369
"Mar 15, 2022",0.378
"Mar 20, 2022",0.381
"Mar 20, 2022",0.286
"Mar 25, 2022",0.369
"Mar 25, 2022",0.273
"Mar 30, 2022",0.283
"Mar 30, 2022",0.227
"Apr 4, 2022",0.231
"Apr 4, 2022",0.189
"Apr 9, 2022",0.188
"Apr 9, 2022",0.175
"Apr 9, 2022",0.156
"Apr 14, 2022",0.163
"Apr 14, 2022",0.182
"Apr 19, 2022",0.15
"Apr 19, 2022",0.174
"Apr 24, 2022",0.155
"Apr 24, 2022",0.175
"Apr 29, 2022",0.135
"Apr 29, 2022",0.163
"May 4, 2022",0.173
"May 9, 2022",0.115
"May 9, 2022",0.218
"May 14, 2022",0.144
"May 14, 2022",0.192
"May 19, 2022",0.136
"May 19, 2022",0.2
"May 29, 2022",0.147
"May 29, 2022",0.188
"Jun 3, 2022",0.162
"Jun 3, 2022",0.222
"Jun 8, 2022",0.173
"Jun 8, 2022",0.188
"Jun 13, 2022",0.112
"Jun 13, 2022",0.148
"Jun 23, 2022",0.149
"Jun 23, 2022",0.165
"Jul 18, 2022",0.287
"Jul 18, 2022",0.215
"Aug 12, 2022",0.348
"Aug 12, 2022",0.464
"Aug 17, 2022",0.467
"Sep 1, 2022",0.427
"Sep 6, 2022",0.299
"Sep 6, 2022",0.472
"Sep 11, 2022",0.367
"Sep 11, 2022",0.489
"Oct 1, 2022",0.283
"Oct 6, 2022",0.22
"Oct 6, 2022",0.304
"Oct 16, 2022",0.18
"Oct 16, 2022",0.197
