system:index,.geo
0,"{""type"":""Point"",""coordinates"":[76.13384496370693,28.0781246643807]}"
1,"{""type"":""Point"",""coordinates"":[75.99860514836037,28.136532860949924]}"
2,"{""type"":""Point"",""coordinates"":[76.03573131750707,28.240167937860033]}"
3,"{""type"":""Point"",""coordinates"":[76.29076826797106,28.360924350441366]}"
4,"{""type"":""Point"",""coordinates"":[76.12988135629676,28.371740535538724]}"
5,"{""type"":""Point"",""coordinates"":[76.12541556104797,28.160003892446145]}"
6,"{""type"":""Point"",""coordinates"":[76.22729576371906,28.31050381051605]}"
7,"{""type"":""Point"",""coordinates"":[76.27793487212075,28.196182972363342]}"
8,"{""type"":""Point"",""coordinates"":[76.02752340788746,28.345394203315646]}"
9,"{""type"":""Point"",""coordinates"":[76.08782249256387,28.067170852569173]}"
10,"{""type"":""Point"",""coordinates"":[76.08596250690773,28.050310168138765]}"
11,"{""type"":""Point"",""coordinates"":[76.21316372233609,28.22874489083377]}"
12,"{""type"":""Point"",""coordinates"":[76.19586584046361,28.26838528871338]}"
13,"{""type"":""Point"",""coordinates"":[76.05229383160041,28.078488340640227]}"
14,"{""type"":""Point"",""coordinates"":[76.0339288450854,28.233271491255653]}"
15,"{""type"":""Point"",""coordinates"":[76.15701295785395,28.056923178217428]}"
16,"{""type"":""Point"",""coordinates"":[76.14260859209566,28.357505418003914]}"
17,"{""type"":""Point"",""coordinates"":[76.25930751244285,28.172190578120592]}"
18,"{""type"":""Point"",""coordinates"":[76.17862409898498,28.42937640896124]}"
19,"{""type"":""Point"",""coordinates"":[75.93439788465136,28.34910140977782]}"
20,"{""type"":""Point"",""coordinates"":[76.1460369638251,28.153553531070106]}"
21,"{""type"":""Point"",""coordinates"":[76.03883130955195,28.348415173713832]}"
22,"{""type"":""Point"",""coordinates"":[76.07989511882067,27.940531166694107]}"
23,"{""type"":""Point"",""coordinates"":[76.15726984299445,28.330753069483574]}"
24,"{""type"":""Point"",""coordinates"":[76.29334428385611,28.101200152338745]}"
25,"{""type"":""Point"",""coordinates"":[76.27704688255453,28.134289812459592]}"
26,"{""type"":""Point"",""coordinates"":[76.01533240160492,27.875287817804814]}"
27,"{""type"":""Point"",""coordinates"":[75.98815606056299,28.012569991866705]}"
28,"{""type"":""Point"",""coordinates"":[76.15787085829342,28.12554005597145]}"
29,"{""type"":""Point"",""coordinates"":[76.30171019798745,28.327925356644144]}"
