system:time_start,ndre
"Dec 16, 2018",0.345
"Dec 16, 2018",0.258
"Dec 16, 2018",0.161
"Dec 16, 2018",0.211
"Dec 21, 2018",0.369
"Dec 21, 2018",0.306
"Dec 21, 2018",0.207
"Dec 21, 2018",0.205
"Dec 26, 2018",0.359
"Dec 26, 2018",0.295
"Dec 26, 2018",0.275
"Dec 31, 2018",0.41
"Dec 31, 2018",0.309
"Dec 31, 2018",0.266
"Dec 31, 2018",0.247
"Jan 5, 2019",0.331
"Jan 5, 2019",0.254
"Jan 5, 2019",0.295
"Jan 5, 2019",0.242
"Jan 10, 2019",0.41
"Jan 10, 2019",0.317
"Jan 20, 2019",0.441
"Jan 20, 2019",0.327
"Jan 20, 2019",0.546
"Jan 20, 2019",0.354
"Jan 25, 2019",0.247
"Jan 25, 2019",0.167
"Jan 25, 2019",-0.06
"Jan 25, 2019",0.041
"Jan 30, 2019",0.376
"Jan 30, 2019",0.668
"Jan 30, 2019",0.376
"Feb 4, 2019",0.513
"Feb 4, 2019",0.41
"Feb 4, 2019",0.703
"Feb 4, 2019",0.44
"Feb 9, 2019",0.503
"Feb 9, 2019",0.415
"Feb 9, 2019",0.705
"Feb 9, 2019",0.408
"Feb 14, 2019",0.284
"Feb 19, 2019",0.417
"Feb 19, 2019",0.375
"Feb 19, 2019",0.635
"Feb 19, 2019",0.359
"Feb 24, 2019",0.509
"Feb 24, 2019",0.415
"Feb 24, 2019",0.387
"Mar 1, 2019",0.478
"Mar 1, 2019",0.414
"Mar 1, 2019",0.736
"Mar 1, 2019",0.414
"Mar 6, 2019",0.476
"Mar 6, 2019",0.421
"Mar 6, 2019",0.667
"Mar 6, 2019",0.402
"Mar 11, 2019",0.251
"Mar 11, 2019",0.668
"Mar 11, 2019",0.31
"Mar 16, 2019",0.392
"Mar 16, 2019",0.228
"Mar 21, 2019",0.26
"Mar 21, 2019",0.276
"Mar 21, 2019",0.681
"Mar 21, 2019",0.25
"Mar 26, 2019",0.3
"Mar 26, 2019",0.253
"Mar 26, 2019",0.651
"Mar 26, 2019",0.305
"Mar 31, 2019",0.196
"Mar 31, 2019",0.147
"Apr 5, 2019",0.157
"Apr 5, 2019",0.122
"Apr 5, 2019",0.259
"Apr 5, 2019",0.152
"Apr 10, 2019",0.098
"Apr 10, 2019",0.091
"Apr 10, 2019",0.137
"Apr 10, 2019",0.11
"Apr 20, 2019",0.092
"Apr 20, 2019",0.082
"Apr 20, 2019",0.064
"Apr 20, 2019",0.092
"Apr 25, 2019",0.088
"Apr 25, 2019",0.077
"Apr 25, 2019",0.06
"Apr 25, 2019",0.078
"Apr 30, 2019",0.079
"Apr 30, 2019",0.077
"Apr 30, 2019",0.05
"Apr 30, 2019",0.075
"May 5, 2019",0.114
"May 5, 2019",0.099
"May 5, 2019",0.085
"May 5, 2019",0.1
"May 10, 2019",0.07
"May 10, 2019",0.063
"May 10, 2019",0.056
"May 10, 2019",0.066
"May 15, 2019",0.068
"May 15, 2019",0.051
"May 15, 2019",0.061
"May 20, 2019",0
"May 20, 2019",0.036
"May 20, 2019",0.025
"May 25, 2019",0.081
"May 25, 2019",0.069
"May 25, 2019",0.048
"May 25, 2019",0.071
"May 30, 2019",0.079
"May 30, 2019",0.08
"May 30, 2019",0.044
"May 30, 2019",0.074
"Jun 4, 2019",0.062
"Jun 4, 2019",0.039
"Jun 4, 2019",0.054
"Jun 4, 2019",-0.008
"Jun 9, 2019",0.077
"Jun 9, 2019",0.07
"Jun 9, 2019",0.05
"Jun 9, 2019",0.062
"Jun 14, 2019",0.089
"Jun 14, 2019",0.081
"Jun 14, 2019",0.053
"Jun 14, 2019",0.063
"Jun 19, 2019",0.074
"Jun 19, 2019",0.075
"Jun 19, 2019",0.057
"Jun 24, 2019",0.091
"Jun 24, 2019",0.028
"Jun 24, 2019",0.077
"Jun 29, 2019",0.08
"Jun 29, 2019",0.08
"Jun 29, 2019",0.026
"Jun 29, 2019",0.062
"Jul 4, 2019",0.029
"Jul 14, 2019",0.15
"Jul 14, 2019",0.126
"Jul 14, 2019",0.133
