system:time_start,ndvi
"Dec 16, 2018",0.506
"Dec 16, 2018",0.373
"Dec 16, 2018",0.223
"Dec 16, 2018",0.295
"Dec 21, 2018",0.527
"Dec 21, 2018",0.419
"Dec 21, 2018",0.234
"Dec 21, 2018",0.262
"Dec 26, 2018",0.514
"Dec 26, 2018",0.405
"Dec 26, 2018",0.324
"Dec 31, 2018",0.601
"Dec 31, 2018",0.438
"Dec 31, 2018",0.376
"Dec 31, 2018",0.34
"Jan 5, 2019",0.466
"Jan 5, 2019",0.361
"Jan 5, 2019",0.425
"Jan 5, 2019",0.346
"Jan 10, 2019",0.593
"Jan 10, 2019",0.441
"Jan 20, 2019",0.646
"Jan 20, 2019",0.509
"Jan 20, 2019",0.814
"Jan 20, 2019",0.508
"Jan 25, 2019",0.37
"Jan 25, 2019",0.261
"Jan 25, 2019",0.081
"Jan 25, 2019",0.089
"Jan 30, 2019",0.551
"Jan 30, 2019",0.888
"Jan 30, 2019",0.522
"Feb 4, 2019",0.723
"Feb 4, 2019",0.591
"Feb 4, 2019",0.929
"Feb 4, 2019",0.617
"Feb 9, 2019",0.713
"Feb 9, 2019",0.6
"Feb 9, 2019",0.903
"Feb 9, 2019",0.557
"Feb 14, 2019",0.392
"Feb 19, 2019",0.602
"Feb 19, 2019",0.554
"Feb 19, 2019",0.822
"Feb 19, 2019",0.495
"Feb 24, 2019",0.72
"Feb 24, 2019",0.607
"Feb 24, 2019",0.546
"Mar 1, 2019",0.705
"Mar 1, 2019",0.618
"Mar 1, 2019",0.948
"Mar 1, 2019",0.578
"Mar 6, 2019",0.695
"Mar 6, 2019",0.614
"Mar 6, 2019",0.859
"Mar 6, 2019",0.57
"Mar 11, 2019",0.393
"Mar 11, 2019",0.873
"Mar 11, 2019",0.453
"Mar 16, 2019",0.587
"Mar 16, 2019",0.34
"Mar 21, 2019",0.41
"Mar 21, 2019",0.43
"Mar 21, 2019",0.877
"Mar 21, 2019",0.343
"Mar 26, 2019",0.467
"Mar 26, 2019",0.412
"Mar 26, 2019",0.872
"Mar 26, 2019",0.441
"Mar 31, 2019",0.321
"Mar 31, 2019",0.255
