system:time_start,savi
"Dec 16, 2018",0.342
"Dec 16, 2018",0.25
"Dec 16, 2018",0.142
"Dec 16, 2018",0.189
"Dec 21, 2018",0.368
"Dec 21, 2018",0.295
"Dec 21, 2018",0.152
"Dec 21, 2018",0.173
"Dec 26, 2018",0.34
"Dec 26, 2018",0.274
"Dec 26, 2018",0.192
"Dec 31, 2018",0.422
"Dec 31, 2018",0.31
"Dec 31, 2018",0.246
"Dec 31, 2018",0.223
"Jan 5, 2019",0.326
"Jan 5, 2019",0.248
"Jan 5, 2019",0.28
"Jan 5, 2019",0.228
"Jan 10, 2019",0.401
"Jan 10, 2019",0.294
"Jan 20, 2019",0.446
"Jan 20, 2019",0.342
"Jan 20, 2019",0.54
"Jan 20, 2019",0.34
"Jan 25, 2019",0.26
"Jan 25, 2019",0.18
"Jan 25, 2019",0.074
"Jan 25, 2019",0.083
"Jan 30, 2019",0.374
"Jan 30, 2019",0.593
"Jan 30, 2019",0.344
"Feb 4, 2019",0.501
"Feb 4, 2019",0.399
"Feb 4, 2019",0.628
"Feb 4, 2019",0.407
"Feb 9, 2019",0.495
"Feb 9, 2019",0.415
"Feb 9, 2019",0.619
"Feb 9, 2019",0.374
"Feb 14, 2019",0.276
"Feb 19, 2019",0.424
"Feb 19, 2019",0.39
"Feb 19, 2019",0.562
"Feb 19, 2019",0.33
"Feb 24, 2019",0.502
"Feb 24, 2019",0.419
"Feb 24, 2019",0.37
"Mar 1, 2019",0.489
"Mar 1, 2019",0.427
"Mar 1, 2019",0.655
"Mar 1, 2019",0.394
"Mar 6, 2019",0.47
"Mar 6, 2019",0.416
"Mar 6, 2019",0.572
"Mar 6, 2019",0.377
"Mar 11, 2019",0.281
"Mar 11, 2019",0.644
"Mar 11, 2019",0.313
"Mar 16, 2019",0.397
"Mar 16, 2019",0.241
"Mar 21, 2019",0.274
"Mar 21, 2019",0.301
"Mar 21, 2019",0.645
"Mar 21, 2019",0.248
"Mar 26, 2019",0.309
"Mar 26, 2019",0.284
"Mar 26, 2019",0.592
"Mar 26, 2019",0.302
"Mar 31, 2019",0.218
"Mar 31, 2019",0.178
"Apr 5, 2019",0.182
"Apr 5, 2019",0.154
"Apr 5, 2019",0.27
"Apr 5, 2019",0.175
"Apr 10, 2019",0.133
"Apr 10, 2019",0.125
"Apr 10, 2019",0.164
"Apr 10, 2019",0.13
"Apr 20, 2019",0.129
"Apr 20, 2019",0.121
"Apr 20, 2019",0.096
"Apr 20, 2019",0.11
"Apr 25, 2019",0.114
"Apr 25, 2019",0.108
"Apr 25, 2019",0.089
"Apr 25, 2019",0.1
"Apr 30, 2019",0.116
"Apr 30, 2019",0.108
"Apr 30, 2019",0.079
"Apr 30, 2019",0.096
"May 5, 2019",0.144
"May 5, 2019",0.135
"May 5, 2019",0.109
"May 5, 2019",0.12
"May 10, 2019",0.106
"May 10, 2019",0.099
"May 10, 2019",0.075
"May 10, 2019",0.088
"May 15, 2019",0.108
"May 15, 2019",0.08
"May 15, 2019",0.092
"May 20, 2019",0.045
"May 20, 2019",0.098
"May 20, 2019",0.078
"May 25, 2019",0.117
"May 25, 2019",0.105
"May 25, 2019",0.083
"May 25, 2019",0.101
"May 30, 2019",0.118
"May 30, 2019",0.112
"May 30, 2019",0.085
"May 30, 2019",0.107
"Jun 4, 2019",0.093
"Jun 4, 2019",0.065
"Jun 4, 2019",0.051
"Jun 4, 2019",0.014
"Jun 9, 2019",0.115
"Jun 9, 2019",0.109
"Jun 9, 2019",0.079
"Jun 9, 2019",0.092
"Jun 14, 2019",0.13
"Jun 14, 2019",0.122
"Jun 14, 2019",0.08
"Jun 14, 2019",0.099
"Jun 19, 2019",0.12
"Jun 19, 2019",0.116
"Jun 19, 2019",0.087
"Jun 24, 2019",0.13
"Jun 24, 2019",0.07
"Jun 24, 2019",0.105
"Jun 29, 2019",0.12
"Jun 29, 2019",0.123
"Jun 29, 2019",0.068
"Jun 29, 2019",0.096
"Jul 4, 2019",0.066
"Jul 14, 2019",0.188
"Jul 14, 2019",0.122
"Jul 14, 2019",0.163
"Jul 19, 2019",0.195
"Jul 19, 2019",0.191
"Jul 24, 2019",0.309
"Jul 24, 2019",0.273
"Aug 8, 2019",0.521
"Aug 23, 2019",0.443
"Aug 23, 2019",0.397
"Aug 23, 2019",0.449
"Aug 23, 2019",0.438
"Aug 28, 2019",0.31
"Aug 28, 2019",0.326
"Sep 12, 2019",0.344
"Sep 12, 2019",0.288
"Sep 17, 2019",0.297
"Sep 17, 2019",0.241
"Sep 17, 2019",0.225
"Sep 17, 2019",0.287
"Sep 27, 2019",0.086
"Oct 2, 2019",0.127
"Oct 2, 2019",0.147
