system:index,.geo
0,"{""type"":""Point"",""coordinates"":[76.91278501547997,30.749289572150943]}"
1,"{""type"":""Point"",""coordinates"":[76.82565611283925,30.835904322529437]}"
2,"{""type"":""Point"",""coordinates"":[76.83326381172954,30.74064881642229]}"
3,"{""type"":""Point"",""coordinates"":[76.99073426192093,30.754520117979723]}"
4,"{""type"":""Point"",""coordinates"":[76.95870704294947,30.64211432719822]}"
5,"{""type"":""Point"",""coordinates"":[76.83597125400688,30.819285788088674]}"
6,"{""type"":""Point"",""coordinates"":[77.06908478536826,30.64104848369434]}"
7,"{""type"":""Point"",""coordinates"":[77.10021709139802,30.60012531954557]}"
8,"{""type"":""Point"",""coordinates"":[76.92585721486459,30.591452056328922]}"
9,"{""type"":""Point"",""coordinates"":[76.94906660857639,30.75975822938854]}"
10,"{""type"":""Point"",""coordinates"":[76.9150053086276,30.749545043835585]}"
11,"{""type"":""Point"",""coordinates"":[77.04969444124433,30.650231154866233]}"
12,"{""type"":""Point"",""coordinates"":[76.91933277087657,30.78737712197708]}"
13,"{""type"":""Point"",""coordinates"":[76.99648309524515,30.736934281169308]}"
14,"{""type"":""Point"",""coordinates"":[76.82816592426407,30.730112969437794]}"
15,"{""type"":""Point"",""coordinates"":[76.86826619259796,30.785711772845076]}"
16,"{""type"":""Point"",""coordinates"":[77.03461021415806,30.718174513661552]}"
17,"{""type"":""Point"",""coordinates"":[76.84622273782166,30.79543938806595]}"
18,"{""type"":""Point"",""coordinates"":[77.09570748269282,30.712566199882275]}"
19,"{""type"":""Point"",""coordinates"":[76.82452317136719,30.742893137562454]}"
20,"{""type"":""Point"",""coordinates"":[76.97609299212239,30.684346939430654]}"
21,"{""type"":""Point"",""coordinates"":[76.98343873477742,30.664444713458288]}"
22,"{""type"":""Point"",""coordinates"":[76.91526002940401,30.685188518306816]}"
23,"{""type"":""Point"",""coordinates"":[76.88383692446811,30.8282534764109]}"
24,"{""type"":""Point"",""coordinates"":[77.00394125052948,30.638865180489717]}"
25,"{""type"":""Point"",""coordinates"":[76.89523979030199,30.7234087230577]}"
26,"{""type"":""Point"",""coordinates"":[77.1123171343966,30.636335589697804]}"
27,"{""type"":""Point"",""coordinates"":[77.15139987525836,30.66906762455223]}"
28,"{""type"":""Point"",""coordinates"":[76.98283771830171,30.705949501883726]}"
29,"{""type"":""Point"",""coordinates"":[76.93511516375791,30.6677481101364]}"
