system:time_start,ndre
"Dec 16, 2018",0.575
"Dec 16, 2018",0.392
"Dec 16, 2018",0.466
"Dec 16, 2018",0.428
"Dec 21, 2018",0.552
"Dec 21, 2018",0.363
"Dec 21, 2018",0.48
"Dec 21, 2018",0.429
"Dec 26, 2018",0.404
"Dec 26, 2018",0.316
"Dec 26, 2018",0.372
"Dec 26, 2018",0.337
"Dec 31, 2018",0.435
"Dec 31, 2018",0.314
"Dec 31, 2018",0.404
"Dec 31, 2018",0.388
"Jan 25, 2019",0.28
"Feb 4, 2019",0.402
"Feb 9, 2019",0.412
"Feb 9, 2019",0.332
"Feb 9, 2019",0.361
"Feb 9, 2019",0.378
"Mar 1, 2019",0.385
"Mar 1, 2019",0.307
"Mar 1, 2019",0.316
"Mar 1, 2019",0.327
"Mar 6, 2019",0.382
"Mar 6, 2019",0.332
"Mar 6, 2019",0.327
"Mar 6, 2019",0.351
"Mar 16, 2019",0.396
"Mar 16, 2019",0.337
"Mar 16, 2019",0.325
"Mar 16, 2019",0.35
"Mar 21, 2019",0.278
"Mar 21, 2019",0.279
"Mar 26, 2019",0.363
"Mar 26, 2019",0.346
"Mar 26, 2019",0.322
"Mar 26, 2019",0.367
"Mar 31, 2019",0.365
"Mar 31, 2019",0.328
"Mar 31, 2019",0.326
"Mar 31, 2019",0.331
"Apr 5, 2019",0.285
"Apr 5, 2019",0.281
"Apr 5, 2019",0.235
"Apr 5, 2019",0.242
"Apr 15, 2019",0.334
"Apr 15, 2019",0.273
"Apr 15, 2019",0.293
"Apr 15, 2019",0.257
"Apr 20, 2019",0.32
"Apr 20, 2019",0.283
"Apr 20, 2019",0.213
"Apr 25, 2019",0.256
"Apr 25, 2019",0.25
"Apr 25, 2019",0.197
"Apr 30, 2019",0.212
"Apr 30, 2019",0.13
"Apr 30, 2019",0.168
"May 5, 2019",0.351
"May 5, 2019",0.273
"May 5, 2019",0.305
"May 5, 2019",0.262
"May 10, 2019",0.188
"May 10, 2019",0.153
"May 25, 2019",0.305
"May 25, 2019",0.218
"May 25, 2019",0.26
"May 25, 2019",0.197
"May 30, 2019",0.273
"May 30, 2019",0.186
"May 30, 2019",0.238
"May 30, 2019",0.17
"Jun 4, 2019",0.09
"Jun 4, 2019",0.173
"Jun 4, 2019",0.091
"Jun 9, 2019",0.248
"Jun 9, 2019",0.179
"Jun 9, 2019",0.211
"Jun 9, 2019",0.158
"Jun 14, 2019",0.262
"Jun 14, 2019",0.201
"Jun 14, 2019",0.23
"Jun 14, 2019",0.172
"Jun 19, 2019",0.225
"Jun 19, 2019",0.155
"Jun 19, 2019",0.208
"Jun 19, 2019",0.152
"Jun 29, 2019",0.237
"Jun 29, 2019",0.148
"Jun 29, 2019",0.21
"Jun 29, 2019",0.136
"Jul 24, 2019",0.305
"Jul 24, 2019",0.233
"Aug 8, 2019",0.299
"Aug 23, 2019",0.424
"Aug 23, 2019",0.415
"Aug 23, 2019",0.415
"Aug 28, 2019",0.498
"Aug 28, 2019",0.362
"Aug 28, 2019",0.503
"Aug 28, 2019",0.376
"Aug 28, 2019",0.514
"Aug 28, 2019",0.387
"Aug 28, 2019",0.404
"Sep 2, 2019",0.359
"Sep 2, 2019",0.376
"Sep 17, 2019",0.512
"Sep 17, 2019",0.461
"Sep 17, 2019",0.539
"Oct 2, 2019",0.27
"Oct 2, 2019",0.271
"Oct 2, 2019",0.215
"Oct 2, 2019",0.211
"Oct 12, 2019",0.572
"Oct 12, 2019",0.455
"Oct 12, 2019",0.548
"Oct 12, 2019",0.54
"Oct 17, 2019",0.54
"Oct 17, 2019",0.403
"Oct 17, 2019",0.503
"Oct 17, 2019",0.431
"Oct 22, 2019",0.621
"Oct 22, 2019",0.462
"Oct 22, 2019",0.55
"Oct 22, 2019",0.505
"Oct 27, 2019",0.476
"Oct 27, 2019",0.377
"Oct 27, 2019",0.464
"Oct 27, 2019",0.393
"Nov 1, 2019",0.513
"Nov 1, 2019",0.473
"Nov 6, 2019",0.552
"Nov 6, 2019",0.398
"Nov 6, 2019",0.5
"Nov 6, 2019",0.409
"Nov 16, 2019",0.46
"Dec 1, 2019",0.599
"Dec 1, 2019",0.399
"Dec 1, 2019",0.521
"Dec 1, 2019",0.436
"Dec 6, 2019",0.556
"Dec 6, 2019",0.387
"Dec 6, 2019",0.49
"Dec 6, 2019",0.431
"Dec 11, 2019",0.479
"Dec 11, 2019",0.342
"Dec 11, 2019",0.441
"Dec 16, 2019",0.514
"Dec 21, 2019",0.538
"Dec 26, 2019",0.294
"Dec 31, 2019",0.472
"Dec 31, 2019",0.405
"Dec 31, 2019",0.196
"Jan 5, 2020",0.483
"Jan 5, 2020",0.413
"Jan 5, 2020",0.421
"Jan 10, 2020",0.529
"Jan 10, 2020",0.382
"Jan 10, 2020",0.459
"Jan 10, 2020",0.449
"Jan 20, 2020",0.178
"Jan 25, 2020",0.13
"Jan 30, 2020",0.424
"Jan 30, 2020",0.36
"Jan 30, 2020",0.363
"Jan 30, 2020",0.383
"Feb 4, 2020",0.223
"Feb 9, 2020",0.402
"Feb 9, 2020",0.353
"Feb 9, 2020",0.346
"Feb 9, 2020",0.405
"Feb 14, 2020",0.409
"Feb 14, 2020",0.353
"Feb 14, 2020",0.36
"Feb 14, 2020",0.369
"Feb 24, 2020",0.361
"Feb 24, 2020",0.343
