system:time_start,ndvi
"Dec 16, 2018",0.74
"Dec 16, 2018",0.558
"Dec 16, 2018",0.644
"Dec 16, 2018",0.632
"Dec 21, 2018",0.825
"Dec 21, 2018",0.55
"Dec 21, 2018",0.683
"Dec 21, 2018",0.643
"Dec 26, 2018",0.575
"Dec 26, 2018",0.469
"Dec 26, 2018",0.529
"Dec 26, 2018",0.508
"Dec 31, 2018",0.672
"Dec 31, 2018",0.488
"Dec 31, 2018",0.582
"Dec 31, 2018",0.609
"Jan 25, 2019",0.448
"Feb 4, 2019",0.57
"Feb 9, 2019",0.682
"Feb 9, 2019",0.524
"Feb 9, 2019",0.572
"Feb 9, 2019",0.588
"Mar 1, 2019",0.664
"Mar 1, 2019",0.467
"Mar 1, 2019",0.538
"Mar 1, 2019",0.519
"Mar 6, 2019",0.624
"Mar 6, 2019",0.499
"Mar 6, 2019",0.525
"Mar 6, 2019",0.541
"Mar 16, 2019",0.654
"Mar 16, 2019",0.511
"Mar 16, 2019",0.533
"Mar 16, 2019",0.546
"Mar 21, 2019",0.445
"Mar 21, 2019",0.469
"Mar 26, 2019",0.602
"Mar 26, 2019",0.532
"Mar 26, 2019",0.526
"Mar 26, 2019",0.582
"Mar 31, 2019",0.599
"Mar 31, 2019",0.519
"Mar 31, 2019",0.52
"Mar 31, 2019",0.54
"Apr 5, 2019",0.468
"Apr 5, 2019",0.441
"Apr 5, 2019",0.414
"Apr 5, 2019",0.392
"Apr 15, 2019",0.555
"Apr 15, 2019",0.421
"Apr 15, 2019",0.49
"Apr 15, 2019",0.423
"Apr 20, 2019",0.551
"Apr 20, 2019",0.511
"Apr 20, 2019",0.373
"Apr 25, 2019",0.426
"Apr 25, 2019",0.435
"Apr 25, 2019",0.321
"Apr 30, 2019",0.33
"Apr 30, 2019",0.176
"Apr 30, 2019",0.27
"May 5, 2019",0.557
"May 5, 2019",0.403
"May 5, 2019",0.464
"May 5, 2019",0.393
"May 10, 2019",0.324
"May 10, 2019",0.285
"May 25, 2019",0.513
"May 25, 2019",0.369
"May 25, 2019",0.439
"May 25, 2019",0.349
"May 30, 2019",0.46
"May 30, 2019",0.317
"May 30, 2019",0.43
"May 30, 2019",0.301
"Jun 4, 2019",0.161
"Jun 4, 2019",0.3
"Jun 4, 2019",0.167
"Jun 9, 2019",0.437
"Jun 9, 2019",0.319
"Jun 9, 2019",0.387
"Jun 9, 2019",0.298
"Jun 14, 2019",0.438
"Jun 14, 2019",0.343
"Jun 14, 2019",0.396
"Jun 14, 2019",0.305
"Jun 19, 2019",0.411
"Jun 19, 2019",0.282
"Jun 19, 2019",0.381
"Jun 19, 2019",0.278
"Jun 29, 2019",0.419
"Jun 29, 2019",0.278
"Jun 29, 2019",0.396
"Jun 29, 2019",0.262
"Jul 24, 2019",0.48
"Jul 24, 2019",0.388
"Aug 8, 2019",0.466
"Aug 23, 2019",0.612
"Aug 23, 2019",0.644
"Aug 23, 2019",0.599
"Aug 28, 2019",0.768
"Aug 28, 2019",0.529
"Aug 28, 2019",0.773
"Aug 28, 2019",0.549
"Aug 28, 2019",0.809
"Aug 28, 2019",0.57
"Aug 28, 2019",0.593
"Sep 2, 2019",0.523
"Sep 2, 2019",0.544
"Sep 17, 2019",0.725
"Sep 17, 2019",0.66
"Sep 17, 2019",0.787
"Oct 2, 2019",0.366
"Oct 2, 2019",0.395
"Oct 2, 2019",0.316
"Oct 2, 2019",0.322
"Oct 12, 2019",0.772
"Oct 12, 2019",0.646
"Oct 12, 2019",0.75
"Oct 12, 2019",0.777
"Oct 17, 2019",0.753
"Oct 17, 2019",0.584
"Oct 17, 2019",0.697
"Oct 17, 2019",0.616
"Oct 22, 2019",0.839
"Oct 22, 2019",0.653
"Oct 22, 2019",0.75
"Oct 22, 2019",0.712
"Oct 27, 2019",0.658
"Oct 27, 2019",0.534
"Oct 27, 2019",0.676
"Oct 27, 2019",0.551
"Nov 1, 2019",0.699
"Nov 1, 2019",0.695
"Nov 6, 2019",0.748
"Nov 6, 2019",0.577
"Nov 6, 2019",0.709
"Nov 6, 2019",0.586
"Nov 16, 2019",0.669
"Dec 1, 2019",0.807
"Dec 1, 2019",0.564
"Dec 1, 2019",0.715
"Dec 1, 2019",0.624
"Dec 6, 2019",0.8
"Dec 6, 2019",0.571
"Dec 6, 2019",0.698
"Dec 6, 2019",0.641
