system:time_start,savi
"Dec 16, 2018",0.346
"Dec 16, 2018",0.292
"Dec 16, 2018",0.318
"Dec 16, 2018",0.332
"Dec 21, 2018",0.37
"Dec 21, 2018",0.295
"Dec 21, 2018",0.323
"Dec 21, 2018",0.352
"Dec 26, 2018",0.296
"Dec 26, 2018",0.252
"Dec 26, 2018",0.276
"Dec 26, 2018",0.28
"Dec 31, 2018",0.313
"Dec 31, 2018",0.261
"Dec 31, 2018",0.277
"Dec 31, 2018",0.323
"Jan 25, 2019",0.278
"Feb 4, 2019",0.286
"Feb 9, 2019",0.316
"Feb 9, 2019",0.278
"Feb 9, 2019",0.274
"Feb 9, 2019",0.322
"Mar 1, 2019",0.333
"Mar 1, 2019",0.268
"Mar 1, 2019",0.279
"Mar 1, 2019",0.306
"Mar 6, 2019",0.321
"Mar 6, 2019",0.278
"Mar 6, 2019",0.275
"Mar 6, 2019",0.309
"Mar 16, 2019",0.339
"Mar 16, 2019",0.288
"Mar 16, 2019",0.284
"Mar 16, 2019",0.313
"Mar 21, 2019",0.26
"Mar 21, 2019",0.272
"Mar 26, 2019",0.324
"Mar 26, 2019",0.306
"Mar 26, 2019",0.287
"Mar 26, 2019",0.332
"Mar 31, 2019",0.328
"Mar 31, 2019",0.297
"Mar 31, 2019",0.288
"Mar 31, 2019",0.309
"Apr 5, 2019",0.258
"Apr 5, 2019",0.249
"Apr 5, 2019",0.23
"Apr 5, 2019",0.221
"Apr 15, 2019",0.325
"Apr 15, 2019",0.26
"Apr 15, 2019",0.29
"Apr 15, 2019",0.256
"Apr 20, 2019",0.327
"Apr 20, 2019",0.302
"Apr 20, 2019",0.23
"Apr 25, 2019",0.268
"Apr 25, 2019",0.272
"Apr 25, 2019",0.202
"Apr 30, 2019",0.214
"Apr 30, 2019",0.135
"Apr 30, 2019",0.184
"May 5, 2019",0.342
"May 5, 2019",0.253
"May 5, 2019",0.288
"May 5, 2019",0.249
"May 10, 2019",0.21
"May 10, 2019",0.174
"May 25, 2019",0.31
"May 25, 2019",0.228
"May 25, 2019",0.267
"May 25, 2019",0.213
"May 30, 2019",0.278
"May 30, 2019",0.194
"May 30, 2019",0.258
"May 30, 2019",0.181
"Jun 4, 2019",0.12
"Jun 4, 2019",0.196
"Jun 4, 2019",0.122
"Jun 9, 2019",0.262
"Jun 9, 2019",0.199
"Jun 9, 2019",0.233
"Jun 9, 2019",0.184
"Jun 14, 2019",0.268
"Jun 14, 2019",0.217
"Jun 14, 2019",0.242
"Jun 14, 2019",0.192
"Jun 19, 2019",0.245
"Jun 19, 2019",0.176
"Jun 19, 2019",0.227
"Jun 19, 2019",0.173
"Jun 29, 2019",0.261
"Jun 29, 2019",0.172
"Jun 29, 2019",0.244
"Jun 29, 2019",0.162
"Jul 24, 2019",0.308
"Jul 24, 2019",0.248
"Aug 8, 2019",0.32
"Aug 23, 2019",0.413
"Aug 23, 2019",0.465
"Aug 23, 2019",0.434
"Aug 28, 2019",0.504
"Aug 28, 2019",0.376
"Aug 28, 2019",0.505
"Aug 28, 2019",0.374
"Aug 28, 2019",0.518
"Aug 28, 2019",0.404
"Aug 28, 2019",0.39
"Sep 2, 2019",0.376
"Sep 2, 2019",0.38
"Sep 17, 2019",0.44
"Sep 17, 2019",0.434
"Sep 17, 2019",0.511
"Oct 2, 2019",0.261
"Oct 2, 2019",0.266
"Oct 2, 2019",0.234
"Oct 2, 2019",0.227
"Oct 12, 2019",0.498
"Oct 12, 2019",0.402
"Oct 12, 2019",0.483
"Oct 12, 2019",0.497
"Oct 17, 2019",0.483
"Oct 17, 2019",0.368
"Oct 17, 2019",0.446
"Oct 17, 2019",0.395
"Oct 22, 2019",0.506
"Oct 22, 2019",0.395
"Oct 22, 2019",0.46
"Oct 22, 2019",0.447
"Oct 27, 2019",0.409
"Oct 27, 2019",0.329
"Oct 27, 2019",0.417
"Oct 27, 2019",0.348
"Nov 1, 2019",0.413
"Nov 1, 2019",0.409
"Nov 6, 2019",0.432
"Nov 6, 2019",0.339
"Nov 6, 2019",0.411
"Nov 6, 2019",0.352
"Nov 16, 2019",0.417
"Dec 1, 2019",0.427
"Dec 1, 2019",0.31
"Dec 1, 2019",0.386
"Dec 1, 2019",0.348
"Dec 6, 2019",0.411
"Dec 6, 2019",0.314
"Dec 6, 2019",0.371
"Dec 6, 2019",0.36
"Dec 11, 2019",0.368
"Dec 11, 2019",0.276
"Dec 11, 2019",0.349
"Dec 16, 2019",0.386
"Dec 21, 2019",0.371
"Dec 26, 2019",0.212
"Dec 31, 2019",0.341
"Dec 31, 2019",0.291
"Dec 31, 2019",0.142
"Jan 5, 2020",0.36
"Jan 5, 2020",0.314
"Jan 5, 2020",0.352
"Jan 10, 2020",0.352
"Jan 10, 2020",0.296
"Jan 10, 2020",0.32
"Jan 10, 2020",0.35
"Jan 20, 2020",0.168
"Jan 25, 2020",0.117
"Jan 30, 2020",0.317
"Jan 30, 2020",0.285
"Jan 30, 2020",0.281
"Jan 30, 2020",0.311
"Feb 4, 2020",0.228
"Feb 9, 2020",0.307
"Feb 9, 2020",0.283
"Feb 9, 2020",0.273
"Feb 9, 2020",0.335
"Feb 14, 2020",0.325
"Feb 14, 2020",0.301
"Feb 14, 2020",0.289
"Feb 14, 2020",0.318
"Feb 24, 2020",0.332
"Feb 24, 2020",0.304
"Feb 24, 2020",0.281
"Feb 24, 2020",0.331
"Mar 10, 2020",0.346
"Mar 10, 2020",0.321
"Mar 10, 2020",0.298
"Mar 10, 2020",0.325
"Mar 15, 2020",0.353
"Mar 15, 2020",0.308
"Mar 15, 2020",0.31
"Mar 15, 2020",0.341
"Mar 20, 2020",0.323
"Mar 20, 2020",0.312
"Mar 20, 2020",0.278
"Mar 25, 2020",0.147
"Apr 4, 2020",0.386
"Apr 4, 2020",0.327
"Apr 4, 2020",0.329
"Apr 4, 2020",0.323
"Apr 14, 2020",0.299
"Apr 14, 2020",0.184
"Apr 19, 2020",0.323
"Apr 19, 2020",0.281
"Apr 24, 2020",0.375
"Apr 24, 2020",0.28
"Apr 24, 2020",0.329
"Apr 24, 2020",0.26
"Apr 29, 2020",0.368
"Apr 29, 2020",0.272
"Apr 29, 2020",0.344
"Apr 29, 2020",0.254
"May 4, 2020",0.277
"May 9, 2020",0.264
"May 9, 2020",0.166
"May 9, 2020",0.221
"May 14, 2020",0.143
"May 14, 2020",0.149
"May 14, 2020",0.097
"May 24, 2020",0.383
"May 24, 2020",0.24
"May 24, 2020",0.341
"May 24, 2020",0.243
"Jun 3, 2020",0.369
"Jun 3, 2020",0.243
"Jun 8, 2020",0.425
"Jun 8, 2020",0.274
"Jun 8, 2020",0.37
"Jun 8, 2020",0.271
"Jun 13, 2020",0.168
"Jun 13, 2020",0.19
"Jun 13, 2020",0.136
"Jun 13, 2020",0.168
"Jun 18, 2020",0.214
"Jun 18, 2020",0.172
"Jun 18, 2020",0.205
"Jun 18, 2020",0.172
"Jun 23, 2020",0.155
"Jun 28, 2020",0.312
"Jun 28, 2020",0.263
"Jun 28, 2020",0.272
"Jun 28, 2020",0.237
"Jul 3, 2020",0.161
"Jul 3, 2020",0.149
"Jul 13, 2020",0.359
"Jul 13, 2020",0.312
"Jul 13, 2020",0.343
"Jul 13, 2020",0.321
"Jul 23, 2020",0.353
"Jul 23, 2020",0.29
"Jul 23, 2020",0.312
"Aug 2, 2020",0.326
"Aug 2, 2020",0.313
"Aug 7, 2020",0.435
"Aug 22, 2020",0.046
"Sep 11, 2020",0.276
"Sep 11, 2020",0.394
"Sep 11, 2020",0.264
"Sep 11, 2020",0.359
"Sep 16, 2020",0.381
"Sep 16, 2020",0.338
"Sep 16, 2020",0.319
"Sep 21, 2020",0.551
"Sep 21, 2020",0.444
"Sep 21, 2020",0.526
"Sep 21, 2020",0.477
"Sep 26, 2020",0.479
"Oct 1, 2020",0.523
"Oct 1, 2020",0.433
"Oct 1, 2020",0.517
"Oct 1, 2020",0.484
"Oct 6, 2020",0.507
"Oct 6, 2020",0.419
"Oct 6, 2020",0.505
"Oct 6, 2020",0.467
"Oct 11, 2020",0.462
"Oct 11, 2020",0.356
"Oct 11, 2020",0.438
"Oct 11, 2020",0.4
"Oct 16, 2020",0.45
"Oct 16, 2020",0.319
"Oct 16, 2020",0.427
"Oct 16, 2020",0.347
"Oct 21, 2020",0.485
"Oct 21, 2020",0.331
"Oct 21, 2020",0.436
"Oct 21, 2020",0.328
"Oct 26, 2020",0.402
"Oct 26, 2020",0.309
"Oct 26, 2020",0.398
"Oct 26, 2020",0.302
"Oct 31, 2020",0.414
"Oct 31, 2020",0.302
"Oct 31, 2020",0.403
"Oct 31, 2020",0.298
"Nov 5, 2020",0.341
"Nov 5, 2020",0.279
"Nov 5, 2020",0.36
"Nov 5, 2020",0.274
"Nov 10, 2020",0.38
"Nov 10, 2020",0.363
"Nov 10, 2020",0.266
"Nov 15, 2020",0.167
"Nov 20, 2020",0.404
"Nov 20, 2020",0.282
"Nov 20, 2020",0.373
"Nov 20, 2020",0.277
"Nov 30, 2020",0.332
"Nov 30, 2020",0.237
"Nov 30, 2020",0.302
"Nov 30, 2020",0.243
"Dec 5, 2020",0.318
"Dec 5, 2020",0.207
"Dec 5, 2020",0.311
"Dec 5, 2020",0.257
"Dec 10, 2020",0.361
"Dec 10, 2020",0.269
"Dec 10, 2020",0.322
"Dec 10, 2020",0.276
"Dec 15, 2020",0.331
"Dec 15, 2020",0.25
"Dec 15, 2020",0.292
"Dec 15, 2020",0.262
"Dec 20, 2020",0.334
"Dec 20, 2020",0.254
"Dec 20, 2020",0.302
"Dec 20, 2020",0.273
"Dec 25, 2020",0.309
"Dec 25, 2020",0.265
"Dec 25, 2020",0.29
"Dec 30, 2020",0.293
"Jan 9, 2021",0.284
"Jan 9, 2021",0.259
"Jan 14, 2021",0.26
"Jan 14, 2021",0.249
"Jan 19, 2021",0.289
"Jan 19, 2021",0.245
"Jan 19, 2021",0.278
"Jan 19, 2021",0.255
"Jan 24, 2021",0.214
"Jan 29, 2021",0.26
"Jan 29, 2021",0.211
"Feb 3, 2021",0.086
"Feb 8, 2021",0.297
"Feb 8, 2021",0.247
"Feb 8, 2021",0.26
"Feb 8, 2021",0.283
"Feb 13, 2021",0.183
"Feb 18, 2021",0.259
"Feb 18, 2021",0.239
"Feb 18, 2021",0.243
"Feb 18, 2021",0.239
"Feb 23, 2021",0.219
"Feb 23, 2021",0.2
"Feb 23, 2021",0.183
"Feb 28, 2021",0.289
"Feb 28, 2021",0.272
"Feb 28, 2021",0.247
"Feb 28, 2021",0.27
"Mar 5, 2021",0.282
"Mar 5, 2021",0.272
"Mar 5, 2021",0.242
