system:index,.geo
0,"{""type"":""Point"",""coordinates"":[76.89060037432914,29.327410651496724]}"
1,"{""type"":""Point"",""coordinates"":[76.77513566948275,29.472238942498443]}"
2,"{""type"":""Point"",""coordinates"":[77.1278341316851,29.43590249339514]}"
3,"{""type"":""Point"",""coordinates"":[76.79999598754092,29.293050618354812]}"
4,"{""type"":""Point"",""coordinates"":[77.03463123427649,29.443393724927073]}"
5,"{""type"":""Point"",""coordinates"":[77.09512627329441,29.385126306065533]}"
6,"{""type"":""Point"",""coordinates"":[76.84324095725722,29.350960048900326]}"
7,"{""type"":""Point"",""coordinates"":[76.80053045687988,29.29882328027403]}"
8,"{""type"":""Point"",""coordinates"":[76.82135174538058,29.262608220778777]}"
9,"{""type"":""Point"",""coordinates"":[76.90264638066704,29.310702061171295]}"
10,"{""type"":""Point"",""coordinates"":[76.89309499677604,29.33058128819685]}"
11,"{""type"":""Point"",""coordinates"":[77.01604935551443,29.33746616995925]}"
12,"{""type"":""Point"",""coordinates"":[76.94539344135909,29.325980242753275]}"
13,"{""type"":""Point"",""coordinates"":[77.00269582079362,29.427320170402282]}"
14,"{""type"":""Point"",""coordinates"":[77.12898718745987,29.428779309078703]}"
15,"{""type"":""Point"",""coordinates"":[76.80668642697042,29.30088580635831]}"
16,"{""type"":""Point"",""coordinates"":[77.02139723752744,29.287579746399576]}"
17,"{""type"":""Point"",""coordinates"":[77.01408588919855,29.443256079992764]}"
18,"{""type"":""Point"",""coordinates"":[77.0179925942295,29.235089194763045]}"
19,"{""type"":""Point"",""coordinates"":[76.79414473410785,29.235011265307254]}"
20,"{""type"":""Point"",""coordinates"":[77.02079343935694,29.353416682927488]}"
21,"{""type"":""Point"",""coordinates"":[77.02715534887196,29.437248971149035]}"
22,"{""type"":""Point"",""coordinates"":[76.83744045143784,29.382337709430146]}"
23,"{""type"":""Point"",""coordinates"":[76.98075489027143,29.276270086132214]}"
24,"{""type"":""Point"",""coordinates"":[76.77919099586197,29.293213005987162]}"
25,"{""type"":""Point"",""coordinates"":[76.89792260232012,29.402734146731685]}"
26,"{""type"":""Point"",""coordinates"":[76.72761235618884,29.35019857250446]}"
27,"{""type"":""Point"",""coordinates"":[77.12526710834463,29.416305553298308]}"
28,"{""type"":""Point"",""coordinates"":[77.011375741798,29.381617041834673]}"
29,"{""type"":""Point"",""coordinates"":[76.81234093280422,29.362310697564613]}"
