system:time_start,ndre
"Dec 16, 2018",0.339
"Dec 16, 2018",0.3
"Dec 21, 2018",0.361
"Dec 21, 2018",0.316
"Dec 26, 2018",0.285
"Dec 31, 2018",0.41
"Dec 31, 2018",0.366
"Jan 5, 2019",0.349
"Jan 25, 2019",0.303
"Feb 9, 2019",0.508
"Feb 9, 2019",0.569
"Feb 24, 2019",0.537
"Feb 24, 2019",0.602
"Mar 1, 2019",0.508
"Mar 1, 2019",0.589
"Mar 6, 2019",0.514
"Mar 6, 2019",0.586
"Mar 11, 2019",0.296
"Mar 21, 2019",0.403
"Mar 26, 2019",0.407
"Mar 26, 2019",0.49
"Mar 31, 2019",0.326
"Mar 31, 2019",0.423
"Apr 5, 2019",0.195
"Apr 5, 2019",0.27
"Apr 10, 2019",0.159
"Apr 10, 2019",0.176
"Apr 15, 2019",0.134
"Apr 15, 2019",0.133
"Apr 20, 2019",0.11
"Apr 20, 2019",0.068
"Apr 25, 2019",0.112
"Apr 30, 2019",0.14
"Apr 30, 2019",0.099
"May 5, 2019",0.159
"May 5, 2019",0.118
"May 10, 2019",0.119
"May 10, 2019",0.068
"May 20, 2019",0.119
"May 25, 2019",0.222
"May 25, 2019",0.111
"May 30, 2019",0.199
"May 30, 2019",0.098
"Jun 4, 2019",0.202
"Jun 4, 2019",0.102
"Jun 9, 2019",0.283
"Jun 9, 2019",0.119
"Jun 14, 2019",0.316
"Jun 14, 2019",0.146
"Jun 19, 2019",0.311
"Jun 19, 2019",0.105
"Jun 29, 2019",0.208
"Jun 29, 2019",0.089
"Jul 29, 2019",0.111
"Aug 13, 2019",0.353
"Aug 23, 2019",0.363
"Aug 23, 2019",0.313
"Aug 28, 2019",0.505
"Aug 28, 2019",0.461
"Sep 2, 2019",0.322
"Sep 2, 2019",0.403
"Sep 17, 2019",0.493
"Oct 2, 2019",0.29
"Oct 2, 2019",0.389
"Oct 12, 2019",0.447
"Oct 12, 2019",0.432
"Oct 17, 2019",0.211
"Oct 17, 2019",0.265
"Oct 22, 2019",0.407
"Oct 22, 2019",0.395
"Oct 27, 2019",0.273
"Oct 27, 2019",0.278
"Nov 6, 2019",0.086
"Nov 6, 2019",0.099
"Nov 16, 2019",0.202
"Nov 16, 2019",0.147
"Dec 1, 2019",0.237
"Dec 1, 2019",0.167
"Dec 11, 2019",0.197
"Dec 31, 2019",0.32
"Jan 5, 2020",0.313
"Jan 5, 2020",0.292
"Jan 10, 2020",0.375
"Jan 10, 2020",0.384
"Jan 30, 2020",0.435
"Jan 30, 2020",0.498
"Feb 9, 2020",0.389
"Feb 14, 2020",0.399
"Feb 14, 2020",0.544
"Feb 24, 2020",0.363
"Feb 24, 2020",0.541
"Mar 5, 2020",0.272
"Mar 10, 2020",0.393
"Mar 10, 2020",0.594
"Mar 15, 2020",0.318
"Mar 15, 2020",0.521
"Mar 20, 2020",0.313
"Mar 20, 2020",0.518
"Mar 25, 2020",0.274
"Mar 30, 2020",0.261
"Apr 4, 2020",0.212
"Apr 4, 2020",0.35
"Apr 14, 2020",0.151
"Apr 14, 2020",0.145
"Apr 24, 2020",0.153
"Apr 24, 2020",0.108
"Apr 29, 2020",0.123
"Apr 29, 2020",0.077
"May 4, 2020",0.214
"May 4, 2020",0.1
"May 9, 2020",0.171
"May 9, 2020",0.101
"May 14, 2020",0.135
"May 14, 2020",0.078
"May 24, 2020",0.248
"May 24, 2020",0.128
"Jun 3, 2020",0.306
"Jun 8, 2020",0.327
"Jun 8, 2020",0.157
"Jun 13, 2020",0.322
"Jun 13, 2020",0.113
"Jun 18, 2020",0.411
"Jun 18, 2020",0.161
"Jun 23, 2020",0.095
"Jun 28, 2020",0.208
"Jun 28, 2020",0.105
"Jul 3, 2020",0.274
"Jul 3, 2020",0.126
"Jul 13, 2020",0.376
"Jul 13, 2020",0.094
"Jul 23, 2020",0.11
"Aug 2, 2020",0.24
"Aug 7, 2020",0.359
"Sep 6, 2020",0.471
"Sep 11, 2020",0.475
"Sep 11, 2020",0.495
"Sep 16, 2020",0.502
"Sep 16, 2020",0.512
"Sep 21, 2020",0.536
"Sep 21, 2020",0.534
"Sep 26, 2020",0.438
"Oct 1, 2020",0.514
"Oct 1, 2020",0.493
"Oct 6, 2020",0.512
"Oct 6, 2020",0.481
"Oct 11, 2020",0.38
"Oct 11, 2020",0.4
"Oct 16, 2020",0.364
"Oct 16, 2020",0.374
"Oct 21, 2020",0.348
"Oct 21, 2020",0.328
"Oct 26, 2020",0.252
"Oct 26, 2020",0.205
"Oct 31, 2020",0.268
"Oct 31, 2020",0.189
"Nov 5, 2020",0.19
"Nov 5, 2020",0.153
"Nov 10, 2020",0.189
"Nov 10, 2020",0.125
"Nov 15, 2020",0.079
"Nov 15, 2020",0.035
"Nov 20, 2020",0.22
"Nov 20, 2020",0.137
"Nov 30, 2020",0.187
"Nov 30, 2020",0.138
"Dec 5, 2020",0.155
"Dec 5, 2020",0.13
"Dec 10, 2020",0.209
"Dec 10, 2020",0.193
"Dec 15, 2020",0.13
"Dec 15, 2020",0.231
"Dec 25, 2020",0.25
"Dec 25, 2020",0.315
"Jan 4, 2021",0.3
"Jan 4, 2021",0.337
"Jan 19, 2021",0.345
"Jan 29, 2021",0.246
"Feb 3, 2021",0.364
"Feb 3, 2021",0.397
"Feb 8, 2021",0.457
"Feb 8, 2021",0.538
"Feb 18, 2021",0.467
"Feb 23, 2021",0.514
"Feb 23, 2021",0.581
"Feb 28, 2021",0.549
"Feb 28, 2021",0.594
"Mar 5, 2021",0.552
"Mar 5, 2021",0.589
"Mar 10, 2021",0.433
"Mar 10, 2021",0.534
"Mar 15, 2021",0.37
"Mar 15, 2021",0.363
"Mar 20, 2021",0.37
"Mar 20, 2021",0.439
"Mar 25, 2021",0.343
"Mar 30, 2021",0.245
"Mar 30, 2021",0.212
"Apr 4, 2021",0.208
"Apr 4, 2021",0.19
"Apr 9, 2021",0.168
"Apr 9, 2021",0.165
"Apr 9, 2021",0.164
"Apr 9, 2021",0.141
"Apr 14, 2021",0.115
"Apr 19, 2021",0.076
"Apr 24, 2021",0.096
"Apr 24, 2021",0.102
"Apr 29, 2021",0.101
"Apr 29, 2021",0.063
"May 4, 2021",0.101
"May 9, 2021",0.086
"May 9, 2021",0.057
"May 14, 2021",0.126
"May 14, 2021",0.083
"May 24, 2021",0.165
"May 24, 2021",0.097
"May 29, 2021",0.133
"May 29, 2021",0.066
"Jun 3, 2021",0.137
"Jun 3, 2021",0.08
"Jun 8, 2021",0.167
"Jun 8, 2021",0.095
"Jun 23, 2021",0.299
"Jun 23, 2021",0.137
"Jun 28, 2021",0.206
"Jun 28, 2021",0.103
"Jul 8, 2021",0.238
"Jul 8, 2021",0.11
"Aug 12, 2021",0.347
"Aug 12, 2021",0.376
"Aug 17, 2021",0.335
"Aug 17, 2021",0.32
"Aug 27, 2021",0.46
"Sep 21, 2021",0.405
"Sep 21, 2021",0.427
"Oct 6, 2021",0.393
"Oct 6, 2021",0.373
"Oct 11, 2021",0.398
"Oct 11, 2021",0.398
"Oct 16, 2021",0.268
"Oct 16, 2021",0.297
"Oct 21, 2021",0.357
"Oct 21, 2021",0.325
"Oct 26, 2021",0.382
"Oct 26, 2021",0.274
"Oct 31, 2021",0.257
"Oct 31, 2021",0.201
"Nov 5, 2021",0.136
"Nov 10, 2021",0.272
"Nov 10, 2021",0.151
"Nov 15, 2021",0.144
"Nov 15, 2021",0.1
"Nov 20, 2021",0.196
"Nov 20, 2021",0.137
"Nov 25, 2021",0.113
"Nov 25, 2021",0.08
"Dec 5, 2021",0.175
"Dec 5, 2021",0.124
"Dec 10, 2021",0.235
"Dec 10, 2021",0.185
"Dec 15, 2021",0.212
"Dec 15, 2021",0.189
"Dec 20, 2021",0.271
"Dec 20, 2021",0.241
"Dec 25, 2021",0.114
"Jan 29, 2022",0.514
"Jan 29, 2022",0.512
"Feb 8, 2022",0.335
"Feb 8, 2022",0.453
"Feb 13, 2022",0.536
