system:time_start,ndvi
"Dec 16, 2018",0.516
"Dec 16, 2018",0.437
"Dec 21, 2018",0.566
"Dec 21, 2018",0.497
"Dec 26, 2018",0.422
"Dec 31, 2018",0.624
"Dec 31, 2018",0.568
"Jan 5, 2019",0.501
"Jan 25, 2019",0.413
"Feb 9, 2019",0.663
"Feb 9, 2019",0.769
"Feb 24, 2019",0.686
"Feb 24, 2019",0.783
"Mar 1, 2019",0.662
"Mar 1, 2019",0.789
"Mar 6, 2019",0.678
"Mar 6, 2019",0.764
"Mar 11, 2019",0.427
"Mar 21, 2019",0.549
"Mar 26, 2019",0.599
"Mar 26, 2019",0.695
"Mar 31, 2019",0.499
"Mar 31, 2019",0.637
"Apr 5, 2019",0.337
"Apr 5, 2019",0.46
"Apr 10, 2019",0.275
"Apr 10, 2019",0.312
"Apr 15, 2019",0.237
"Apr 15, 2019",0.24
"Apr 20, 2019",0.198
"Apr 20, 2019",0.158
"Apr 25, 2019",0.2
"Apr 30, 2019",0.234
"Apr 30, 2019",0.178
"May 5, 2019",0.267
"May 5, 2019",0.193
"May 10, 2019",0.197
"May 10, 2019",0.134
"May 20, 2019",0.207
"May 25, 2019",0.345
"May 25, 2019",0.192
"May 30, 2019",0.323
"May 30, 2019",0.186
"Jun 4, 2019",0.309
"Jun 4, 2019",0.175
"Jun 9, 2019",0.448
"Jun 9, 2019",0.209
"Jun 14, 2019",0.472
"Jun 14, 2019",0.226
"Jun 19, 2019",0.442
"Jun 19, 2019",0.184
"Jun 29, 2019",0.361
"Jun 29, 2019",0.172
"Jul 29, 2019",0.239
"Aug 13, 2019",0.572
"Aug 23, 2019",0.491
"Aug 23, 2019",0.452
"Aug 28, 2019",0.688
"Aug 28, 2019",0.678
"Sep 2, 2019",0.428
"Sep 2, 2019",0.553
"Sep 17, 2019",0.691
"Oct 2, 2019",0.43
"Oct 2, 2019",0.545
"Oct 12, 2019",0.699
"Oct 12, 2019",0.655
"Oct 17, 2019",0.325
"Oct 17, 2019",0.406
"Oct 22, 2019",0.652
"Oct 22, 2019",0.627
"Oct 27, 2019",0.418
"Oct 27, 2019",0.452
"Nov 6, 2019",0.145
"Nov 6, 2019",0.173
"Nov 16, 2019",0.375
"Nov 16, 2019",0.266
"Dec 1, 2019",0.37
"Dec 1, 2019",0.261
"Dec 11, 2019",0.303
"Dec 31, 2019",0.447
"Jan 5, 2020",0.495
"Jan 5, 2020",0.465
"Jan 10, 2020",0.535
"Jan 10, 2020",0.564
"Jan 30, 2020",0.586
"Jan 30, 2020",0.7
"Feb 9, 2020",0.474
"Feb 14, 2020",0.503
"Feb 14, 2020",0.728
"Feb 24, 2020",0.477
"Feb 24, 2020",0.723
"Mar 5, 2020",0.371
"Mar 10, 2020",0.531
"Mar 10, 2020",0.774
"Mar 15, 2020",0.475
"Mar 15, 2020",0.723
"Mar 20, 2020",0.452
"Mar 20, 2020",0.721
"Mar 25, 2020",0.429
"Mar 30, 2020",0.384
"Apr 4, 2020",0.302
"Apr 4, 2020",0.534
"Apr 14, 2020",0.23
"Apr 14, 2020",0.242
"Apr 24, 2020",0.239
"Apr 24, 2020",0.182
"Apr 29, 2020",0.205
"Apr 29, 2020",0.141
"May 4, 2020",0.347
"May 4, 2020",0.197
"May 9, 2020",0.27
"May 9, 2020",0.171
"May 14, 2020",0.218
"May 14, 2020",0.148
"May 24, 2020",0.388
"May 24, 2020",0.217
"Jun 3, 2020",0.482
"Jun 8, 2020",0.522
"Jun 8, 2020",0.268
"Jun 13, 2020",0.507
"Jun 13, 2020",0.198
"Jun 18, 2020",0.654
"Jun 18, 2020",0.258
"Jun 23, 2020",0.18
"Jun 28, 2020",0.3
"Jun 28, 2020",0.187
"Jul 3, 2020",0.396
"Jul 3, 2020",0.234
"Jul 13, 2020",0.567
"Jul 13, 2020",0.225
"Jul 23, 2020",0.225
"Aug 2, 2020",0.416
"Aug 7, 2020",0.577
"Sep 6, 2020",0.636
"Sep 11, 2020",0.631
"Sep 11, 2020",0.672
"Sep 16, 2020",0.692
"Sep 16, 2020",0.697
"Sep 21, 2020",0.752
"Sep 21, 2020",0.74
"Sep 26, 2020",0.639
"Oct 1, 2020",0.738
"Oct 1, 2020",0.721
"Oct 6, 2020",0.764
"Oct 6, 2020",0.703
"Oct 11, 2020",0.582
"Oct 11, 2020",0.638
"Oct 16, 2020",0.572
"Oct 16, 2020",0.594
"Oct 21, 2020",0.555
"Oct 21, 2020",0.56
"Oct 26, 2020",0.375
"Oct 26, 2020",0.335
"Oct 31, 2020",0.403
"Oct 31, 2020",0.312
"Nov 5, 2020",0.3
"Nov 5, 2020",0.235
"Nov 10, 2020",0.298
"Nov 10, 2020",0.197
"Nov 15, 2020",0.122
"Nov 15, 2020",0.077
"Nov 20, 2020",0.39
"Nov 20, 2020",0.213
"Nov 30, 2020",0.303
"Nov 30, 2020",0.22
"Dec 5, 2020",0.262
"Dec 5, 2020",0.208
"Dec 10, 2020",0.345
"Dec 10, 2020",0.335
"Dec 15, 2020",0.222
"Dec 15, 2020",0.358
"Dec 25, 2020",0.377
"Dec 25, 2020",0.466
"Jan 4, 2021",0.48
"Jan 4, 2021",0.515
"Jan 19, 2021",0.502
"Jan 29, 2021",0.327
"Feb 3, 2021",0.491
"Feb 3, 2021",0.511
"Feb 8, 2021",0.622
"Feb 8, 2021",0.715
"Feb 18, 2021",0.627
"Feb 23, 2021",0.681
"Feb 23, 2021",0.749
"Feb 28, 2021",0.731
"Feb 28, 2021",0.768
"Mar 5, 2021",0.734
"Mar 5, 2021",0.752
"Mar 10, 2021",0.597
"Mar 10, 2021",0.748
"Mar 15, 2021",0.492
"Mar 15, 2021",0.487
"Mar 20, 2021",0.53
"Mar 20, 2021",0.652
"Mar 25, 2021",0.489
"Mar 30, 2021",0.398
"Mar 30, 2021",0.339
"Apr 4, 2021",0.403
"Apr 4, 2021",0.298
"Apr 9, 2021",0.309
"Apr 9, 2021",0.284
"Apr 9, 2021",0.286
"Apr 9, 2021",0.232
"Apr 14, 2021",0.213
"Apr 19, 2021",0.143
"Apr 24, 2021",0.223
"Apr 24, 2021",0.17
"Apr 29, 2021",0.172
"Apr 29, 2021",0.133
"May 4, 2021",0.187
"May 9, 2021",0.178
"May 9, 2021",0.13
"May 14, 2021",0.229
"May 14, 2021",0.147
"May 24, 2021",0.304
"May 24, 2021",0.178
"May 29, 2021",0.226
"May 29, 2021",0.142
"Jun 3, 2021",0.242
"Jun 3, 2021",0.148
"Jun 8, 2021",0.269
"Jun 8, 2021",0.178
"Jun 23, 2021",0.439
"Jun 23, 2021",0.213
"Jun 28, 2021",0.296
"Jun 28, 2021",0.182
"Jul 8, 2021",0.359
"Jul 8, 2021",0.217
"Aug 12, 2021",0.564
"Aug 12, 2021",0.583
"Aug 17, 2021",0.489
"Aug 17, 2021",0.466
"Aug 27, 2021",0.664
"Sep 21, 2021",0.594
"Sep 21, 2021",0.606
"Oct 6, 2021",0.548
"Oct 6, 2021",0.566
"Oct 11, 2021",0.537
"Oct 11, 2021",0.608
"Oct 16, 2021",0.378
"Oct 16, 2021",0.495
"Oct 21, 2021",0.506
"Oct 21, 2021",0.512
"Oct 26, 2021",0.591
"Oct 26, 2021",0.477
"Oct 31, 2021",0.376
"Oct 31, 2021",0.342
"Nov 5, 2021",0.201
"Nov 10, 2021",0.385
"Nov 10, 2021",0.24
"Nov 15, 2021",0.227
"Nov 15, 2021",0.16
"Nov 20, 2021",0.305
"Nov 20, 2021",0.201
"Nov 25, 2021",0.182
"Nov 25, 2021",0.138
"Dec 5, 2021",0.307
"Dec 5, 2021",0.232
"Dec 10, 2021",0.359
"Dec 10, 2021",0.293
"Dec 15, 2021",0.313
"Dec 15, 2021",0.298
"Dec 20, 2021",0.389
"Dec 20, 2021",0.368
"Dec 25, 2021",0.18
"Jan 29, 2022",0.741
"Jan 29, 2022",0.712
"Feb 8, 2022",0.461
"Feb 8, 2022",0.627
"Feb 13, 2022",0.725
"Feb 13, 2022",0.738
"Feb 18, 2022",0.707
"Feb 18, 2022",0.76
"Feb 28, 2022",0.709
"Feb 28, 2022",0.772
"Mar 5, 2022",0.658
"Mar 5, 2022",0.755
"Mar 10, 2022",0.721
"Mar 15, 2022",0.629
"Mar 15, 2022",0.726
"Mar 20, 2022",0.591
"Mar 20, 2022",0.571
"Mar 25, 2022",0.581
"Mar 25, 2022",0.614
"Mar 30, 2022",0.506
"Mar 30, 2022",0.443
"Apr 4, 2022",0.395
"Apr 4, 2022",0.308
"Apr 9, 2022",0.376
"Apr 9, 2022",0.263
"Apr 14, 2022",0.41
"Apr 14, 2022",0.241
"Apr 19, 2022",0.37
"Apr 19, 2022",0.206
"Apr 24, 2022",0.331
"Apr 24, 2022",0.185
"Apr 29, 2022",0.312
"Apr 29, 2022",0.167
"May 4, 2022",0.353
"May 4, 2022",0.159
"May 9, 2022",0.27
"May 9, 2022",0.21
"May 14, 2022",0.453
"May 14, 2022",0.217
"May 19, 2022",0.489
"May 19, 2022",0.196
"May 24, 2022",0.052
"May 29, 2022",0.522
"May 29, 2022",0.193
"Jun 3, 2022",0.424
"Jun 3, 2022",0.24
"Jun 8, 2022",0.388
"Jun 8, 2022",0.197
"Jun 13, 2022",0.37
"Jun 13, 2022",0.192
"Jun 23, 2022",0.604
"Jun 23, 2022",0.283
"Jul 18, 2022",0.192
"Aug 12, 2022",0.695
"Aug 12, 2022",0.691
"Sep 1, 2022",0.597
"Sep 6, 2022",0.602
"Sep 11, 2022",0.482
"Sep 11, 2022",0.595
"Sep 21, 2022",0.528
"Oct 1, 2022",0.57
"Oct 6, 2022",0.654
"Oct 16, 2022",0.63
"Oct 16, 2022",0.588
"Oct 21, 2022",0.619
"Oct 21, 2022",0.526
"Oct 26, 2022",0.542
"Oct 26, 2022",0.423
"Oct 31, 2022",0.301
"Oct 31, 2022",0.248
"Nov 5, 2022",0.274
"Nov 5, 2022",0.239
"Nov 10, 2022",0.453
"Nov 10, 2022",0.164
"Nov 20, 2022",0.491
"Nov 20, 2022",0.299
"Nov 25, 2022",0.463
"Nov 25, 2022",0.28
"Nov 30, 2022",0.513
"Nov 30, 2022",0.301
"Dec 5, 2022",0.608
"Dec 5, 2022",0.361
