system:time_start,savi
"Dec 16, 2018",0.287
"Dec 16, 2018",0.257
"Dec 21, 2018",0.313
"Dec 21, 2018",0.296
"Dec 26, 2018",0.263
"Dec 31, 2018",0.352
"Dec 31, 2018",0.344
"Jan 5, 2019",0.303
"Jan 25, 2019",0.284
"Feb 9, 2019",0.444
"Feb 9, 2019",0.527
"Feb 24, 2019",0.462
"Feb 24, 2019",0.552
"Mar 1, 2019",0.448
"Mar 1, 2019",0.558
"Mar 6, 2019",0.451
"Mar 6, 2019",0.534
"Mar 11, 2019",0.271
"Mar 21, 2019",0.364
"Mar 26, 2019",0.363
"Mar 26, 2019",0.445
"Mar 31, 2019",0.303
"Mar 31, 2019",0.388
"Apr 5, 2019",0.192
"Apr 5, 2019",0.266
"Apr 10, 2019",0.161
"Apr 10, 2019",0.185
"Apr 15, 2019",0.154
"Apr 15, 2019",0.154
"Apr 20, 2019",0.136
"Apr 20, 2019",0.107
"Apr 25, 2019",0.132
"Apr 30, 2019",0.161
"Apr 30, 2019",0.13
"May 5, 2019",0.182
"May 5, 2019",0.141
"May 10, 2019",0.135
"May 10, 2019",0.091
"May 20, 2019",0.146
"May 25, 2019",0.226
"May 25, 2019",0.122
"May 30, 2019",0.208
"May 30, 2019",0.125
"Jun 4, 2019",0.206
"Jun 4, 2019",0.117
"Jun 9, 2019",0.308
"Jun 9, 2019",0.141
"Jun 14, 2019",0.34
"Jun 14, 2019",0.16
"Jun 19, 2019",0.3
"Jun 19, 2019",0.128
"Jun 29, 2019",0.266
"Jun 29, 2019",0.12
"Jul 29, 2019",0.164
"Aug 13, 2019",0.349
"Aug 23, 2019",0.316
"Aug 23, 2019",0.283
"Aug 28, 2019",0.409
"Aug 28, 2019",0.41
"Sep 2, 2019",0.247
"Sep 2, 2019",0.357
"Sep 17, 2019",0.46
"Oct 2, 2019",0.269
"Oct 2, 2019",0.356
"Oct 12, 2019",0.419
"Oct 12, 2019",0.415
"Oct 17, 2019",0.218
"Oct 17, 2019",0.267
"Oct 22, 2019",0.382
"Oct 22, 2019",0.411
"Oct 27, 2019",0.249
"Oct 27, 2019",0.293
"Nov 6, 2019",0.102
"Nov 6, 2019",0.121
"Nov 16, 2019",0.188
"Nov 16, 2019",0.153
"Dec 1, 2019",0.204
"Dec 1, 2019",0.152
"Dec 11, 2019",0.19
"Dec 31, 2019",0.277
"Jan 5, 2020",0.29
"Jan 5, 2020",0.285
"Jan 10, 2020",0.324
"Jan 10, 2020",0.341
"Jan 30, 2020",0.361
"Jan 30, 2020",0.442
"Feb 9, 2020",0.31
"Feb 14, 2020",0.327
"Feb 14, 2020",0.486
"Feb 24, 2020",0.309
"Feb 24, 2020",0.506
"Mar 5, 2020",0.275
"Mar 10, 2020",0.314
"Mar 10, 2020",0.539
"Mar 15, 2020",0.268
"Mar 15, 2020",0.489
"Mar 20, 2020",0.25
"Mar 20, 2020",0.475
"Mar 25, 2020",0.24
"Mar 30, 2020",0.192
"Apr 4, 2020",0.188
"Apr 4, 2020",0.325
"Apr 14, 2020",0.149
"Apr 14, 2020",0.154
"Apr 24, 2020",0.156
"Apr 24, 2020",0.121
"Apr 29, 2020",0.131
"Apr 29, 2020",0.099
"May 4, 2020",0.208
"May 4, 2020",0.13
"May 9, 2020",0.175
"May 9, 2020",0.113
"May 14, 2020",0.14
"May 14, 2020",0.1
"May 24, 2020",0.252
"May 24, 2020",0.144
"Jun 3, 2020",0.325
"Jun 8, 2020",0.338
"Jun 8, 2020",0.174
"Jun 13, 2020",0.344
"Jun 13, 2020",0.134
"Jun 18, 2020",0.446
"Jun 18, 2020",0.178
"Jun 23, 2020",0.122
"Jun 28, 2020",0.211
"Jun 28, 2020",0.132
"Jul 3, 2020",0.271
"Jul 3, 2020",0.156
"Jul 13, 2020",0.413
"Jul 13, 2020",0.145
"Jul 23, 2020",0.151
"Aug 2, 2020",0.261
"Aug 7, 2020",0.375
"Sep 6, 2020",0.432
"Sep 11, 2020",0.419
"Sep 11, 2020",0.438
"Sep 16, 2020",0.452
"Sep 16, 2020",0.448
"Sep 21, 2020",0.479
"Sep 21, 2020",0.462
"Sep 26, 2020",0.445
"Oct 1, 2020",0.473
"Oct 1, 2020",0.459
"Oct 6, 2020",0.485
"Oct 6, 2020",0.453
"Oct 11, 2020",0.356
"Oct 11, 2020",0.407
"Oct 16, 2020",0.353
"Oct 16, 2020",0.381
"Oct 21, 2020",0.339
"Oct 21, 2020",0.361
"Oct 26, 2020",0.225
"Oct 26, 2020",0.214
"Oct 31, 2020",0.232
"Oct 31, 2020",0.197
"Nov 5, 2020",0.173
"Nov 5, 2020",0.149
"Nov 10, 2020",0.168
"Nov 10, 2020",0.118
"Nov 15, 2020",0.08
"Nov 15, 2020",0.051
"Nov 20, 2020",0.234
"Nov 20, 2020",0.134
"Nov 30, 2020",0.176
"Nov 30, 2020",0.135
"Dec 5, 2020",0.158
"Dec 5, 2020",0.13
"Dec 10, 2020",0.193
"Dec 10, 2020",0.186
"Dec 15, 2020",0.132
"Dec 15, 2020",0.215
"Dec 25, 2020",0.214
"Dec 25, 2020",0.276
"Jan 4, 2021",0.263
"Jan 4, 2021",0.304
"Jan 19, 2021",0.3
"Jan 29, 2021",0.238
"Feb 3, 2021",0.323
"Feb 3, 2021",0.358
"Feb 8, 2021",0.398
"Feb 8, 2021",0.497
"Feb 18, 2021",0.396
"Feb 23, 2021",0.426
"Feb 23, 2021",0.494
"Feb 28, 2021",0.468
"Feb 28, 2021",0.517
"Mar 5, 2021",0.464
"Mar 5, 2021",0.496
"Mar 10, 2021",0.379
"Mar 10, 2021",0.478
"Mar 15, 2021",0.332
"Mar 15, 2021",0.334
"Mar 20, 2021",0.33
"Mar 20, 2021",0.394
"Mar 25, 2021",0.311
"Mar 30, 2021",0.241
"Mar 30, 2021",0.209
"Apr 4, 2021",0.225
"Apr 4, 2021",0.188
"Apr 9, 2021",0.177
"Apr 9, 2021",0.181
"Apr 9, 2021",0.166
"Apr 9, 2021",0.156
"Apr 14, 2021",0.14
"Apr 19, 2021",0.111
"Apr 24, 2021",0.14
"Apr 24, 2021",0.123
"Apr 29, 2021",0.11
"Apr 29, 2021",0.09
"May 4, 2021",0.113
"May 9, 2021",0.11
"May 9, 2021",0.083
"May 14, 2021",0.144
"May 14, 2021",0.097
"May 24, 2021",0.187
"May 24, 2021",0.121
"May 29, 2021",0.149
"May 29, 2021",0.096
"Jun 3, 2021",0.159
"Jun 3, 2021",0.1
"Jun 8, 2021",0.18
"Jun 8, 2021",0.125
"Jun 23, 2021",0.298
"Jun 23, 2021",0.148
"Jun 28, 2021",0.205
"Jun 28, 2021",0.125
"Jul 8, 2021",0.25
"Jul 8, 2021",0.148
"Aug 12, 2021",0.342
"Aug 12, 2021",0.372
"Aug 17, 2021",0.3
"Aug 17, 2021",0.302
"Aug 27, 2021",0.448
"Sep 21, 2021",0.372
"Sep 21, 2021",0.394
"Oct 6, 2021",0.326
"Oct 6, 2021",0.348
"Oct 11, 2021",0.313
"Oct 11, 2021",0.386
"Oct 16, 2021",0.234
"Oct 16, 2021",0.326
"Oct 21, 2021",0.3
"Oct 21, 2021",0.351
"Oct 26, 2021",0.34
"Oct 26, 2021",0.317
"Oct 31, 2021",0.229
"Oct 31, 2021",0.232
"Nov 5, 2021",0.136
"Nov 10, 2021",0.219
"Nov 10, 2021",0.156
"Nov 15, 2021",0.142
"Nov 15, 2021",0.107
"Nov 20, 2021",0.174
"Nov 20, 2021",0.121
"Nov 25, 2021",0.109
"Nov 25, 2021",0.085
"Dec 5, 2021",0.163
"Dec 5, 2021",0.132
"Dec 10, 2021",0.196
"Dec 10, 2021",0.167
"Dec 15, 2021",0.182
"Dec 15, 2021",0.176
"Dec 20, 2021",0.212
"Dec 20, 2021",0.208
"Dec 25, 2021",0.117
"Jan 29, 2022",0.428
