-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2017 through 10/12/2021 
Location: Latitude  29.3306   Longitude 76.8931 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 237.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
TS                     MERRA-2 Earth Skin Temperature (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,TS,T2M_MAX,T2M_MIN,ALLSKY_SFC_PAR_TOT
2017,1,1,1.03,14.01,22.83,8.51,60.66
2017,1,2,0.06,15.44,24.14,10.45,62.7
2017,1,3,0.0,16.01,25.02,9.38,61.36
2017,1,4,0.0,15.12,24.73,11.55,53.21
2017,1,5,0.0,15.49,25.65,10.83,52.24
2017,1,6,3.18,15.36,24.72,9.05,42.08
2017,1,7,13.01,13.02,18.67,9.25,16.46
2017,1,8,0.01,12.0,19.21,6.51,38.73
2017,1,9,0.0,10.61,18.48,5.28,57.59
2017,1,10,0.0,8.5,18.14,1.92,67.27
2017,1,11,0.0,7.92,17.8,0.75,67.05
2017,1,12,0.08,8.01,18.36,1.51,64.53
2017,1,13,0.0,8.21,19.61,2.37,64.98
2017,1,14,0.0,9.56,19.83,3.73,45.4
2017,1,15,0.05,11.48,22.05,5.62,59.26
2017,1,16,0.19,11.42,20.75,6.36,36.55
2017,1,17,0.11,10.28,19.0,4.2,35.81
2017,1,18,0.0,11.47,20.97,4.43,59.4
2017,1,19,0.0,11.48,20.12,5.65,69.68
2017,1,20,0.0,11.5,21.29,4.37,67.05
2017,1,21,0.02,12.28,21.8,7.8,50.47
2017,1,22,0.67,15.51,25.3,8.75,58.95
2017,1,23,0.0,14.98,24.6,8.69,63.23
2017,1,24,0.0,14.57,22.74,8.14,58.64
2017,1,25,0.8,17.24,25.21,12.2,41.85
2017,1,26,19.41,16.13,23.55,11.65,14.68
2017,1,27,7.4,13.21,19.0,8.69,60.09
2017,1,28,0.0,13.81,21.76,6.22,41.99
2017,1,29,0.0,15.53,24.65,9.62,62.8
2017,1,30,0.0,15.05,24.5,7.87,64.59
2017,1,31,0.0,15.08,24.38,8.95,67.73
2017,2,1,0.0,14.46,23.38,7.42,75.08
2017,2,2,0.0,14.19,22.84,9.08,66.18
2017,2,3,0.0,14.64,24.68,7.26,71.06
2017,2,4,0.02,17.08,25.44,10.55,50.98
2017,2,5,1.54,15.36,20.22,12.15,48.23
2017,2,6,0.01,14.2,22.5,8.61,74.47
2017,2,7,0.0,12.96,22.57,5.65,78.26
2017,2,8,0.0,14.68,24.19,8.21,76.48
2017,2,9,0.0,13.33,22.42,6.89,83.14
2017,2,10,0.0,13.68,23.8,5.63,86.02
2017,2,11,0.0,14.55,25.47,6.26,85.39
2017,2,12,0.0,14.57,24.5,7.5,79.35
2017,2,13,0.0,14.94,25.51,7.21,86.47
2017,2,14,0.0,15.8,26.83,7.07,84.0
2017,2,15,0.0,18.0,28.17,9.32,83.45
2017,2,16,0.0,20.78,30.43,13.51,80.02
2017,2,17,0.0,19.92,29.24,14.51,75.52
2017,2,18,0.0,20.81,30.69,12.89,77.33
2017,2,19,0.0,21.83,30.49,14.37,75.39
2017,2,20,0.02,21.71,30.6,15.62,74.5
2017,2,21,0.65,17.75,25.87,11.01,69.59
